vnr,Pname,dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE,ATC
31713,Viagra,filmovertrukne tabletter,50 mg,12 stk. (blister) (Europharma),28101907097,50,MG,12,G04BE03
31725,Tahor,filmovertrukne tabletter,10 mg,28 stk. (blister),28104419008,10,MG,28,C10AA05
31736,Tahor,filmovertrukne tabletter,10 mg,90 stk. (blister),28104419008,10,MG,90,C10AA05
31747,Detrusitol Retard,"depotkapsler, hårde","2,8 mg",28 stk. (blister),28104377608,2.8,MG,28,G04BD07
31758,Detrusitol Retard,"depotkapsler, hårde","2,8 mg",98 stk. (blister),28104377608,2.8,MG,98,G04BD07
31765,"Heparin ""Leo""","injektionsvæske, opløsning",100 IE/ml,10 x 2 ml,28100983778,100,IUM,20,B01AB01
31769,"Gemfibrozil ""Alternova""",filmovertrukne tabletter,600 mg,30 stk. (blister),28103792705,600,MG,30,C10AB04
31770,Fosavance,tabletter,70 mg + 70 mikrogram,4 stk. (blister) (EuroPharma),28103733204,,,4,M05BB03
31778,"Gemfibrozil ""Alternova""",filmovertrukne tabletter,600 mg,100 stk. (blister),28103792705,600,MG,100,C10AB04
31782,Fosavance,tabletter,70 mg + 70 mikrogram,12 stk. (blister) (Europharma),28103733204,,,12,M05BB03
31787,"Amlodipin ""Orion""",tabletter,5 mg,28 stk. (blister),28103574903,5,MG,28,C08CA01
31793,Symbicort Turbohaler,inhalationspulver,"4,5+160 mikrog/dosis",60 doser,28104315408,,,60,R03AK07
31796,"Amlodipin ""Orion""",tabletter,5 mg,98 stk. (blister),28103574903,5,MG,98,C08CA01
31799,Ridzol Vet.,"pulver, uopløseligt",12%,1 kg,28100696376,12,PC,1,QP51AA08
31804,Mirapexin,tabletter,"0,7 mg",100 stk. (blister) (EuroPharmaDK),28101827196,0.7,MG,100,N04BC05
31805,"Amlodipin ""Orion""",tabletter,10 mg,28 stk. (blister),28103575003,10,MG,28,C08CA01
31814,"Amlodipin ""Orion""",tabletter,10 mg,98 stk. (blister),28103575003,10,MG,98,C08CA01
31815,Penamycin Vet.,intramammær salve,,48 appl. a 8 g,28100087855,,,384,QJ51RC08
31816,Bonviva,filmovertrukne tabletter,150 mg,1 stk. (blister) (EuropharmaDK),28103711904,150,MG,1,M05BA06
31827,Bonviva,filmovertrukne tabletter,150 mg,3 stk. (blister) (Europharma),28103711904,150,MG,3,M05BA06
31833,"Glimepirid ""Stada""",tabletter,1 mg,30 stk. (blister),28103618403,1,MG,30,A10BB12
31842,"Glimepirid ""Stada""",tabletter,1 mg,90 stk. (blister),28103618403,1,MG,90,A10BB12
31849,Novorapid Penfill,"injektionsvæske, opløsning",100 E/ml,5 x 3 ml,28103036598,100,UML,15,A10AB05
31851,"Glimepirid ""Stada""",tabletter,2 mg,90 stk. (blister),28103618503,2,MG,90,A10BB12
31852,Minirin,smeltetabletter,60 mikg,30 stk. (blister),28104436908,60,RG,30,H01BA02
31856,Lacrisert,øjenlamel,5 mg,60 stk.,28101100682,5,MG,60,S01XA20
31860,"Glimepirid ""Stada""",tabletter,3 mg,90 stk. (blister),28103618603,3,MG,90,A10BB12
31863,Minirin,smeltetabletter,60 mikg,100 stk. (blister),28104436908,60,RG,100,H01BA02
31864,Octavi,injektionssubstans,,500 i.e.,28101352289,,,500,B02BD02
31869,"Glimepirid ""Stada""",tabletter,4 mg,90 stk. (blister),28103618703,4,MG,90,A10BB12
31872,Durbis,"kapsler, hårde",100 mg,100 stk.,28100608072,100,MG,100,C01BA03
31873,Tilmovet Vet.,koncentrat til oral opløsning,250 mg/ml,960 ml,28104106107,250,MGM,960,QJ01FA91
31874,Minirin,smeltetabletter,120 mikg,30 stk. (blister),28104436808,120,RG,30,H01BA02
31885,Minirin,smeltetabletter,120 mikg,100 stk. (blister),28104436808,120,RG,100,H01BA02
31887,"Doxycyclin ""BioVet"" Vet.",pulver til opløsning i drikkevand,50 %,1000 g,28103774705,50,PC,1000,QJ01AA02
31896,"Lisinopril/Hydrochlorthiazid ""Alternova""",tabletter,"10+12,5 mg",30 stk. (blister),28103782205,,,30,C09BA03
31905,"Lisinopril/Hydrochlorthiazid ""Alternova""",tabletter,"10+12,5 mg",100 stk. (blister),28103782205,,,100,C09BA03
31906,Nizoral,creme,2%,30 g,28101889097,2,PC,30,D01AC08
31909,"Escitalopram ""Abacus Medicine""",filmovertrukne tabletter,10 mg,98 stk. (blister),28103822405,10,MG,98,N06AB10
31915,"Lisinopril/Hydrochlorthiazid ""Alternova""",tabletter,"20+12,5 mg",30 stk. (blister),28103782305,,,30,C09BA03
31919,Minirinmelt,smeltetabletter,120 mikg,30 stk. (blister),28104440308,120,RG,30,H01BA02
31922,Durbis,"injektionsvæske, opløsning",10 mg/ml,5 amp. a 5 ml,28100984278,10,MGM,25,C01BA03
31924,"Lisinopril/Hydrochlorthiazid ""Alternova""",tabletter,"20+12,5 mg",100 stk. (blister),28103782305,,,100,C09BA03
31930,Nizoral,shampoo,2%,100 ml,28101889197,2,PC,100,D01AC08
31942,Glypressin,"pulver og solvens til injektionsvæske, opløsning",1 mg,5 sæt,28101805996,1,MG,5,H01BA04
31948,Octavi,injektionssubstans,,1000 i.e.,28101352289,,,1000,B02BD02
31951,"Metacam til kvæg, grise og heste","injektionsvæske, opløsning",20 mg/ml,1/12 af: 12 x 50 ml,28103066299,20,MGM,50,QM01AC06
31954,Spiriva Respimat,"inhalationsvæske, opløsning","2,5 mikrogram",30 doser (60 pust),28104562409,2.5,RG,30,R03BB04
31955,Inotyol,salve,,Tube a 50 g,28100105055,,,50,D05AA
31963,Pulmicort,"inhalationsspray, suspension",200 mikrogram/dosis,100 doser,28101889797,200,RGD,100,R03BA02
31971,"Sotalol ""Mylan""",tabletter,160 mg,100 stk.,28101564693,160,MG,100,C07AA07
31978,"Methotrexate ""Orifarm""",tabletter,"2,5 mg",100 stk.,28101818796,2.5,MG,100,L04AX03
31989,Globacillin,tabletter,750 mg,10 stk.,28100544570,750,MG,10,J01CE04
31997,"Sotalol ""Mylan""",tabletter,80 mg,100 stk.,28101564593,80,MG,100,C07AA07
31999,"Amoxicillin/clavuvlansyre ""2care4""",filmovertrukne tabletter,500 mg + 125 mg,32 stk. (blister),28104208807,,,32,J01CR02
32003,Mamyzin Vet.,"pulver og solvens til injektionsvæske, suspension",10 Mill. IE,10 htgl. + solvens,28101040680,10,MIU,10,QJ01CE90
32011,Ridzol Vet.,"pulver, uopløseligt",12%,5x1 kg,28100696376,12,PC,5,QP51AA08
32029,Septopal,kæde til implantation,"4,5 mg",1 kæde a 30 kugler,28100975678,4.5,MG,30,J01GB03
32044,Amlopharm,tabletter,5 mg,30 stk. (blister),28103576803,5,MG,30,C08CA01
32045,Triatec,tabletter,5 mg,28 stk. (blister),28103042298,5,MG,28,C09AA05
32053,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, kryogen",100 %,175 l,28104267308,100,PV,175,V03AN01
32055,Amlopharm,tabletter,5 mg,100 stk. (blister),28103576803,5,MG,100,C08CA01
32064,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, kryogen",100 %,"195,11",28104267308,100,PV,,V03AN01
32066,Amlopharm,tabletter,10 mg,30 stk. (blister),28103576903,10,MG,30,C08CA01
32078,Abboticin,filmovertrukne tabletter,250 mg,24 stk.,28100157755,250,MG,24,J01FA01
32079,Amlopharm,tabletter,10 mg,100 stk. (blister),28103576903,10,MG,100,C08CA01
32086,Septopal,kæde til implantation,"4,5 mg",5 kæder a 30 kugler,28100975678,4.5,MG,150,J01GB03
32094,Pulmicort,"inhalationsspray, suspension",200 mikrogram/dosis,200 doser (refill),28101889797,200,RGD,200,R03BA02
32102,Alk (802) Hvepsegift,"pulver og solvens til injektionsvæske, opløsning",450.000 sq-u/htgl,1 htgl. + 1 htgl. alk diluent,28101249985,450000,SQV,1,V01AA07
32112,Stalevo,filmovertrukne tabletter,"75+18,75+200 mg",30 stk.,28104371808,,,30,N04BA03
32122,"Medicinsk Dinitrogenoxid ""Strandmøllen""","medicinsk gas, flydende",100 %,4 l,28104268308,100,PV,4,N01AX13
32128,Amoglandin,injektionsvæske,5 MG/ML,10 amp. a 2 ml,28100622072,5,MGM,20,G02AD01
32134,Singulair Paediatric,tyggetabletter,4 mg,98 stk. (blister),28104671910,4,MG,98,R03DC03
32135,Stalevo,filmovertrukne tabletter,"75+18,75+200 mg",130 stk.,28104371808,,,130,N04BA03
32136,Methergin,"injektionsvæske, opløsning","0,2 mg/ml",5 amp. a 1 ml,28101002855,0.2,MGM,5,G02AB01
32145,"Medicinsk Dinitrogenoxid ""Strandmøllen""","medicinsk gas, flydende",100 %,7,28104268308,100,PV,,N01AX13
32146,Stalevo,filmovertrukne tabletter,"125+31,25+200 mg",30 stk.,28104371908,,,30,N04BA03
32150,Alvesco,"inhalationsspray, opløsning",80 mikrogram/dosis,120 doser,28103707704,80,RGD,120,R03BA08
32170,Stalevo,filmovertrukne tabletter,"125+31,25+200 mg",130 stk.,28104371908,,,130,N04BA03
32179,"Medicinsk Dinitrogenoxid ""Strandmøllen""","medicinsk gas, flydende",100 %,37,28104268308,100,PV,,N01AX13
32190,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, komprimeret",100 %,"0,25",28104267408,100,PV,,V03AN01
32193,Rapinovet Vet.,"injektionsvæske, emulsion",10 mg/ml,1 x 20 ml,28101375189,10,MGM,20,QN01AX10
32202,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, komprimeret",100 %,"0,50",28104267408,100,PV,,V03AN01
32213,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, komprimeret",100 %,"0,63",28104267408,100,PV,,V03AN01
32219,Fluanxol Depot,injektionsvæske,20 mg/ml,1 htgl. a 10 ml,28100563969,20,MGM,10,N05AF01
32222,Dolpac Vet.,tabletter,"40,06+9,99+10,10 mg",10 stk.,28104121007,,,10,QP52AA51
32223,Alvesco,"inhalationsspray, opløsning",160 mikrogram/dosis,120 doser,28103707804,160,RGD,120,R03BA08
32236,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, komprimeret",100 %,4 l,28104267408,100,PV,4,V03AN01
32237,"Escitalopram ""Teva""",filmovertrukne tabletter,15 mg,98 stk. (blister),28104290208,15,MG,98,N06AB10
32243,Geref,injektionssubstans,50 mikg,1 amp + solvens,28101370789,50,RG,1,V04CD03
32247,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, komprimeret",100 %,"1,25",28104267408,100,PV,,V03AN01
32250,Regaine,kutanopløsning,20 mg/ml,3 x 60 ml,28101279886,20,MGM,180,D11AX01
32253,"Letrozol ""Teva""",filmovertrukne tabletter,"2,5 mg",100 stk. (blister),28104353308,2.5,MG,100,L02BG04
32258,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, komprimeret",100 %,"2,51",28104267408,100,PV,,V03AN01
32270,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, komprimeret",100 %,"5,02",28104267408,100,PV,,V03AN01
32281,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, komprimeret",100 %,"12,44",28104267408,100,PV,,V03AN01
32284,Parvosorb Vet.,injektionsvæske (vaccine),,49 x 20 ml,28101292787,,,980,QJ57EA01
32292,Alk (802) Hvepsegift,opløsning til priktest (Soluprick-SQ),(10+100+300) mikg,3 htgl. a 1 ml,28101265886,,,3,V04CL
32296,INexium,enterotabletter,40 mg,28 stk. (blister),28103807205,40,MG,28,A02BC05
32304,"Medicinsk Oxygen ""Strandmøllen""","medicinsk gas, komprimeret",100 %,"149,24",28104267408,100,PV,,V03AN01
32305,INexium,enterotabletter,40 mg,56 stk. (blister),28103807205,40,MG,56,A02BC05
32314,INexium,enterotabletter,40 mg,98 stk (blister),28103807205,40,MG,98,A02BC05
32328,Seroquel XR,depottabletter,300 mg,100 stk. (blister),28104443108,300,MG,100,N05AH04
32351,Seroquel Prolong,depottabletter,300 mg,100 stk. (blister),28104444208,300,MG,100,N05AH04
32360,Esopral,enterotabletter,20 mg,14 stk. (blister),28103832005,20,MG,14,A02BC05
32362,Seroquel Prolong,depottabletter,400 mg,100 stk. (blister),28104444308,400,MG,100,N05AH04
32369,Esopral,enterotabletter,20 mg,28 stk. (blister),28103832005,20,MG,28,A02BC05
32375,Acetard,depottabletter,500 mg,100 stk.,28100655074,500,MG,100,N02BA01
32378,Esopral,enterotabletter,20 mg,56 stk. blister),28103832005,20,MG,56,A02BC05
32384,Mycobac Uno Vet.,"injektionsvæske, suspension","Min. 1,0 ELISA un/ml",100 ml,28104399908,1,EUM,100,QI09AB13
32387,Esopral,enterotabletter,20 mg,98 stk. (blister),28103832005,20,MG,98,A02BC05
32395,Mycobac Uno Vet.,"injektionsvæske, suspension","Min. 1,0 ELISA un/ml",12 x 100 ml,28104399908,1,EUM,1200,QI09AB13
32396,Memac,filmovertrukne tabletter,5 mg,28 stk. (blister),28103832205,5,MG,28,N06DA02
32405,Memac,filmovertrukne tabletter,5 mg,98 stk. (blister),28103832205,5,MG,98,N06DA02
32406,Minirinmelt,smeltetabletter,60 mikg,100 stk. (blister),28104360008,60,RG,100,H01BA02
32409,Adesan Mite Vet.,"injektionsvæske, opløsning",,5 x 100 ml,28101360189,,,500,QA11JA
32414,Memac,filmovertrukne tabletter,10 mg,28 stk. (blister),28103832105,10,MG,28,N06DA02
32418,Minirinmelt,smeltetabletter,120 mikg,100 stk. (blister),28104360108,120,RG,100,H01BA02
32423,Memac,filmovertrukne tabletter,10 mg,98 stk. (blister),28103832105,10,MG,98,N06DA02
32442,Esopral,enterotabletter,40 mg,28 stk. (blister),28103831905,40,MG,28,A02BC05
32458,Ronal,tabletter,2 mg,50 stk.,28101304487,2,MG,50,N05CD03
32465,Venbig,"pulver og solvens til infusionsvæske, opløsning",50 IE/ml,50 ml,28104300008,50,IUM,50,J06BB04
32474,Lamictal,tabletter,100 mg,56 stk. (blister),28101748195,100,MG,56,N03AX09
32482,Triatec,tabletter,5 mg,98 stk. (blister),28103042298,5,MG,98,C09AA05
32505,Seroquel,filmovertrukne tabletter,300 mg,30 stk. (blister),28103830605,300,MG,30,N05AH04
32510,Spiriva,inhalationspulver i kapsler,18 mikrogram,90 stk. (blister),28104458008,18,RG,90,R03BB04
32514,Seroquel,filmovertrukne tabletter,300 mg,100 stk (blister),28103830605,300,MG,100,N05AH04
32523,Abilify,oral opløsning,1 mg/ml,150 ml,28103765004,1,MGM,150,N05AX12
32524,Imigran,tabletter,100 mg,12 stk. (blister),28103040598,100,MG,12,N02CC01
32540,Ronal,tabletter,2 mg,100 stk,28101304487,2,MG,100,N05CD03
32545,"Glucosamin ""Copyfarm""",filmovertrukne tabletter,400 mg,90 stk.,28103598603,400,MG,90,M01AX05
32556,"Glucosamin ""Copyfarm""",filmovertrukne tabletter,400 mg,270 stk.,28103598603,400,MG,270,M01AX05
32557,Ronal,tabletter,2 mg,10 x 100 stk.,28101304487,2,MG,1000,N05CD03
32565,Ivomec Vet.,"injektionsvæske, opløsning",10 mg/ml,10 x 50 ml,28101079981,10,MGM,500,QP54AA01
32566,"Brimonidintartrat ""Teva""","øjendråber, opløsning",2 mg/ml,5 ml,28104128607,2,MGM,5,S01EA05
32567,"Glucosamin ""Copyfarm""",filmovertrukne tabletter,400 mg,1000 stk.,28103598603,400,MG,1000,M01AX05
32577,"Brimonidintartrat ""Teva""","øjendråber, opløsning",2 mg/ml,3 x 5 ml,28104128607,2,MGM,15,S01EA05
32588,"Risedronatnatrium ""Teva""",filmovertrukne tabletter,35 mg,4 stk. (blister),28104208407,35,MG,4,M05BA07
32600,"Risedronatnatrium ""Teva""",filmovertrukne tabletter,35 mg,12 stk. (blister),28104208407,35,MG,12,M05BA07
32607,Ivomec Vet.,"injektionsvæske, opløsning",10 mg/ml,4 x 200 ml,28101079981,10,MGM,800,QP54AA01
32622,"Omeprazol ""AGP""","enterokapsler, hårde",20 mg,28 stk. (blister),28104044406,20,MG,28,A02BC01
32623,"Pantoprazol ""Actavis""",enterotabletter,40 mg,56 stk. (blister),28104069507,40,MG,56,A02BC02
32634,"Omeprazol ""AGP""","enterokapsler, hårde",20 mg,56 stk. (blister),28104044406,20,MG,56,A02BC01
32645,"Omeprazol ""AGP""","enterokapsler, hårde",20 mg,98 stk. (blister),28104044406,20,MG,98,A02BC01
32648,Strattera,"kapsler, hårde",25 mg,28 stk. (blister),28104989411,25,MG,28,N06BA09
32649,Ivomec Vet.,"injektionsvæske, opløsning",10 mg/ml,1 x 50 ml,28101079981,10,MGM,50,QP54AA01
32657,Alforion,depottabletter,10 mg,90 stk. (blister),28103671004,10,MG,90,G04CA01
32660,Rebif,"injektionsvæske, opløsning","8,8 + 22 mikrogram","6x0,2ml+6x0,5ml fyldt inj.spr.",28103779405,,,1,L03AB07
32664,Ivomec Vet.,"injektionsvæske, opløsning",10 mg/ml,1 x 200 ml,28101079981,10,MGM,200,QP54AA01
32680,Alk (108) Betula Verrucosa,"pulver og solvens til injektionsvæske, opløsning",450.000 sq-u/htgl,1 htgl. + 1 htgl. alk diluent,28101236085,450000,SQV,1,V01AA05
32698,Ivomec Vet.,"injektionsvæske, opløsning",10 mg/ml (svin),100 ml,28101385489,10,MGM,100,QP54AA01
32714,"Indapamide ""Mylan""",filmovertrukne tabletter,"2,5 mg",30 stk.,28101378189,2.5,MG,30,C03BA11
32723,"Venlafaxin ""Ranbaxy""",depotkapsler,75 mg,100 stk. (blister),28104150907,75,MG,100,N06AX16
32730,"Indapamide ""Mylan""",filmovertrukne tabletter,"2,5 mg",100 stk.,28101378189,2.5,MG,100,C03BA11
32748,Melleril,filmovertrukne tabletter,25 mg,100 stk. (blister),28100929159,25,MG,100,N05AC02
32759,Irinokabi,"koncentrat til infusionsvæske, opløsning",20 mg/ml,15 ml,28104134307,20,MGM,15,L01XX19
32763,Melleril,filmovertrukne tabletter,50 mg,100 stk.,28100358960,50,MG,100,N05AC02
32794,"Pantoprazol ""ratiopharm""",enterotabletter,20 mg,100 stk.,28104048906,20,MG,100,A02BC02
32797,Lamictal,tabletter,50 mg,56 stk. (blister),28101748095,50,MG,56,N03AX09
32807,"Pantoprazol ""ratiopharm""",enterotabletter,40 mg,100 stk.,28104049006,40,MG,100,A02BC02
32812,Minirinmelt,smeltetabletter,60 mikg,30 stk. (blister),28104360008,60,RG,30,H01BA02
32821,Sandimmun,kapsler,25 mg,50 stk.,28101276886,25,MG,50,L04AD01
32823,Minirinmelt,smeltetabletter,120 mikg,30 stk. (blister),28104360108,120,RG,30,H01BA02
32834,Geavir,"pulver til infusionsvæske, opløsning",250 mg,5 htgl,28101537993,250,MG,5,J05AB01
32839,Sandimmun,kapsler,100 mg,50 stk.,28101276986,100,MG,50,L04AD01
32845,Geavir,"pulver til infusionsvæske, opløsning",500 mg,5 htgl. a 500 mg,28101538093,500,MG,5,J05AB01
32884,"Kinin ""Alternova""",filmovertrukne tabletter,100 mg,100 stk.,28104913411,100,MG,100,P01BC01
32891,Cialis,filmovertrukne tabletter,5 mg,28 stk. (blister) (EuroPharmaDK),28104084307,5,MG,28,G04BE08
32904,Alk (225) Phleum Pratense,injektionssubstans (aquagen-sq),450.000 sq-u/htgl,1 htgl. + 1 htgl. alk diluent,28101242985,450000,SQV,1,V01AA02
32946,Mamyzin Vet.,"pulver og solvens til injektionsvæske, suspension",10 Mill. IE,20 htgl.,28101040680,10,MIU,20,QJ01CE90
32961,Ivomec Vet.,"injektionsvæske, opløsning",10 mg/ml (svin),200 ml,28101385489,10,MGM,200,QP54AA01
32979,Link,oral suspension,150 mg/ml,500 ml,28100464864,150,MGM,500,A02AD01
32995,Ivomec Vet.,"injektionsvæske, opløsning",10 mg/ml (svin),500 ml,28101385489,10,MGM,500,QP54AA01
32998,"Oxycodonhydrochlorid ""Acino""",depottabletter,40 mg,98 stk. (blister),28104175607,40,MG,98,N02AA05
33001,Ivomec Vet.,"injektionsvæske, opløsning",10 mg/ml (svin),10 x 100 ml,28101385489,10,MGM,1000,QP54AA01
33019,Inolaxol,afdelte granulater,5 G,50x5 g,28101233885,5,G,250,A06AC03
33027,Zocor,filmovertrukne tabletter,20 mg,100 stk. (blister),28101533392,20,MG,100,C10AA01
33038,"Mycophenolatmofetil ""Accord""",filmovertrukne tabletter,500 mg,150 stk. (blister),28104064606,500,MG,150,L04AA06
33068,Vermox Vet.,tabletter,100 mg,10 stk. (blister),28100691676,100,MG,10,QP52AC09
33092,Flagyl,infusionsvæske,5 mg/ml,100 ml,28100983178,5,MGM,100,J01XD01
33100,Frekven,injektionsvæske,1 MG/ML,10 amp.,28100965578,1,MGM,,C07AA05
33118,Mixobar Oesophagus,"mikstur, suspension",1 g/ml,2 x 500 ml,28100433163,1,GML,1000,V08BA01
33124,Firmagon,"pulver og solvens til koncentrat til infusionsvæske, opløsning",80 mg,1 sæt,28104321608,80,MG,1,L02BX02
33126,Karbolytt,infusionsvæske,,10x1000 ml,28101267986,,,10000,B05BB02
33131,Mimpara,filmovertrukne tabletter,30 mg,28 stk. (blister) (Abacus),28103589303,30,MG,28,H05BX01
33135,Firmagon,"pulver og solvens til koncentrat til infusionsvæske, opløsning",120 mg,2 sæt,28104321708,120,MG,2,L02BX02
33168,Bronchi-Shield Vet,"pulver og solvens til næsedråber, suspension",,10 doser,28103764505,,,10,QI07AE01
33179,Pluset Vet.,"pulver og solvens til injektionsvæske, opløsning",500+500 IE,2 x 10 ml + 21 ml,28104239007,,,41,QG03GA99
33183,Ivomec Vet.,"injektionsvæske, opløsning",10 mg/ml (svin),4 x 200 ml,28101385489,10,MGM,800,QP54AA01
33191,Prothiaden,overtrukne tabletter,75 mg,100 stk.,28101003278,75,MG,100,N06AA16
33195,Targin,depottabletter,10+5 mg,28 stk. blister),28104367308,,,28,N02AA55
33201,Eficur Vet.,"injektionsvæske, suspension",50 mg/ml,100 ml,28104384808,50,MG,100,QJ01DD90
33206,Targin,depottabletter,10+5 mg,98 stk. (blister),28104367308,,,98,N02AA55
33217,Veraloc,injektionsvæske,"2,5 mg/ml",5 x 20 ml,28101067681,2.5,MGM,100,C08DA01
33218,Targin,depottabletter,20+10 mg,28 stk. (blister),28104367408,,,28,N02AA55
33229,Targin,depottabletter,20+10 mg,98 stk. (blister),28104367408,,,98,N02AA55
33236,Crestor,filmovertrukne tabletter,40 mg,98 stk. (blister),28105207813,40,MG,98,C10AA07
33251,Tobradex,"øjendråber, suspension",1+3 mg/ml,5 ml,28103794805,,,5,S01CA01
33297,"Atacand Zid 8 mg/12,5 mg",tabletter,"8+12,5 mg",28 stk. (blister),28103028498,,,28,C09DA06
33308,Terolut,tabletter,10 mg,30 stk.,28101036279,10,MG,30,G03DB01
33309,"Atacand Zid 8 mg/12,5 mg",tabletter,"8+12,5 mg",100 stk. (blister),28103028498,,,100,C09DA06
33318,Milbemax,filmovertrukne tabletter,4 mg+10 mg,2 stk. (blister),28105253213,0,,2,QP54AB51
33320,"Atacand Zid 16 mg/12,5 mg",tabletter,"16 + 12,5 mg",28 stk. (blister),28103169100,,,28,C09DA06
33331,"Atacand Zid 16 mg/12,5 mg",tabletter,"16 + 12,5 mg",100 stk.,28103169100,,,100,C09DA06
33333,"Gestoden/Ethinylestradiol 75/20 ""Schering""",overtrukne tabletter,75 + 20 mikrogram,3 x 21 stk. (blister),28101686694,,,63,G03AA10
33340,Vermox Vet.,pasta,200 mg/g,1 sprøjte a 20 g,28100691876,200,MGG,20,QP52AC09
33365,Ampivet Vet.,tabletter,500 mg,10 stk.,28100909476,500,MG,10,QJ01CA01
33381,Vermox Vet.,pasta,200 mg/g,10 sprøjter a 20 g,28100691876,200,MGG,200,QP52AC09
33399,Ampivet Vet.,tabletter,500 mg,20 stk.,28100909476,500,MG,20,QJ01CA01
33400,"Topiramat ""Orifarm""",filmovertrukne tabletter,25 mg,56 stk. (blister),28103876605,25,MG,56,N03AX11
33422,"Topiramat ""Orifarm""",filmovertrukne tabletter,50 mg,56 stk. (blister),28103876705,50,MG,56,N03AX11
33431,Ampivet Vet.,tabletter,500 mg,100 stk.,28100909476,500,MG,100,QJ01CA01
33445,"Topiramat ""Orifarm""",filmovertrukne tabletter,100 mg,56 stk. (blister),28103876805,100,MG,56,N03AX11
33449,Ampivet Vet.,uteritorier,500 mg,12 stk.,28100909576,500,MG,12,QG01AA
33456,Ampivet Vet.,uteritorier,500 mg,120 stk. (10x12),28100909576,500,MG,120,QG01AA
33464,Ampivet Vet.,injektionssubstans,1 g,5 htgl. + solvens,28100909676,1,G,,QJ01CA01
33468,"Topiramat ""Orifarm""",filmovertrukne tabletter,200 mg,56 stk. (blister),28103876905,200,MG,56,N03AX11
33471,"Amoxicillin ""EuroPharma""",filmovertrukne tabletter,500 mg,30 stk. (blister),28105202413,500,MG,30,J01CA04
33506,Ampivet Vet.,injektionssubstans,1 g,25 htgl. + solvens,28100909676,1,G,,QJ01CA01
33530,Link,tyggetabletter,1100 mg,24 stk.,28101113382,1100,MG,24,A02AD01
33590,"Pantoprazol ""Actavis""",enterotabletter,20 mg,56 stk. (blister),28104069407,20,MG,56,A02BC02
33594,Actiq,sugetabletter,600 mikrogram,30 stk. (blister),28103231901,600,RG,30,N02AB03
33597,Ivomec Vet.,"injektionsvæske, opløsning",10 mg/ml (svin),4 x 500 ml,28101385489,10,MGM,2000,QP54AA01
33605,Link,tyggetabletter,1100 mg,60 stk.,28101113382,1100,MG,60,A02AD01
33612,"Pantoprazol ""Actavis""",enterotabletter,40 mg,28 stk. (blister),28104069507,40,MG,28,A02BC02
33615,"Azithromycin ""ratiopharm""",filmovertrukne tabletter,500 mg,2 stk (blister),28103800405,500,MG,2,J01FA10
33623,"Pantoprazol ""Actavis""",enterotabletter,40 mg,56 stk. (blister),28104069507,40,MG,56,A02BC02
33624,"Azithromycin ""ratiopharm""",filmovertrukne tabletter,500 mg,3 stk (blister),28103800405,500,MG,3,J01FA10
33639,Link,tyggetabletter,1100 mg,300 stk. (5x60),28101113382,1100,MG,300,A02AD01
33647,Terolut,tabletter,10 mg,60 stk.,28101036279,10,MG,60,G03DB01
33651,"Gestoden/Ethinylestradiol 75/30 ""Berlipharm""",overtrukne tabletter,75 + 30 mikrogram,3 x 21 stk. (blister),28101261186,,,63,G03AA10
33661,Suprim Vet.,opløsning til anvendelse i drikkevand,20+100 mg/ml,5000 ml,28104918811,,,5000,QJ01EW11
33679,Alea,filmovertrukne tabletter,20 mg/5 mg,28 stk. (blister),28104206807,,,28,C09DB02
33688,Inderal,filmovertrukne tabletter,80 mg,100 stk.,28100562869,80,MG,100,C07AA05
33696,Ampivet Vet.,"pulver til injektionsvæske, suspension",5 g,5 htgl. + solvens,28100909776,5,G,5,QJ01CA01
33704,Soriflor,creme,"0,5 mg/g",20 g,28101070281,0.5,MGG,20,D07AC10
33712,Insulin Velosulin,injektionsvæske,40 I.E./ML,1 htgl. a 10 ml,28100522067,40,IUM,10,A10AB03
33738,Insulin Velosulin,injektionsvæske,40 I.E./ML,5 htgl. a 10 ml,28100522067,40,IUM,50,A10AB03
33742,Tevetenz,filmovertrukne tabletter,600 mg,98 stk. (blister),28103948806,600,MG,98,C09CA02
33746,"Baklofen ""Mylan""",tabletter,10 mg,5 x 50 stk.,28101278686,10,MG,250,M03BX01
33751,Zyprexa Velotab,smeltetabletter,5 mg,28 stk. (blister) Paranova),28103087699,5,MG,28,N05AH03
33753,"Baklofen ""Mylan""",tabletter,25 mg,5 x 50 stk.,28101278786,25,MG,250,M03BX01
33761,Inderal,filmovertrukne tabletter,80 mg,500 stk,28100562869,80,MG,500,C07AA05
33779,"Tamoxifen ""Mylan""",tabletter,10 mg,10 x 100 stk.,28101255886,10,MG,1000,L02BA01
33781,Telfast,filmovertrukne tabletter,120 mg,100 stk. (blister),28101891697,120,MG,100,R06AX26
