vnr,Pname,Product name (EN),dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE
30503,Losarstad,Losarstad,filmovertrukne tabletter,"12,5 mg",28 stk. (blister),28103954506,"12,500",MG,"28,000"
30510,Dopacard,Dopacard,"koncentrat til infusionsvÃ¦ske, oplÃ¸sning",10 mg/ml,10 amp. a 5 ml,28101287786,"10,000",MGM,"50,000"
30514,Losarstad,Losarstad,filmovertrukne tabletter,"12,5 mg",98 stk. (blister),28103954506,"12,500",MG,"98,000"
30519,Monoprost,mono Prost,"Ã¸jendrÃ¥ber, oplÃ¸sning, enkeltdosisbeholder",50 mikrogram/ml,"90 x 0,2 ml",28104944911,"50,000",RGM,"18,000"
30525,Losarstad,Losarstad,filmovertrukne tabletter,50 mg,28 stk. (blister),28103954606,"50,000",MG,"28,000"
30528,Diclon,Diclon,depottabletter,100 mg,30 stk.,28101350089,"100,000",MG,"30,000"
30544,Diclon,Diclon,depottabletter,100 mg,100 stk.,28101350089,"100,000",MG,"100,000"
30551,Alk (801) Bigift,Alk (801) Bee venom,oplÃ¸sning til priktest (Soluprick-SQ),(10+100+300) mikg,3 htgl. a 1 ml,28101265686,,,"3,000"
30561,Foradil HFA,Foradil HFA,"inhalationsspray, oplÃ¸sning",12 mikrogram/dosis,100 doser,28103756704,"12,000",RGD,"100,000"
30570,Glucomed,Glucomed,tabletter,625 mg,180 stk. (blister),28103843605,"625,000",MG,"180,000"
30571,Stesolid,Stesolid,tabletter,5 mg,7 stk. (Blister),28100950565,"5,000",MG,"7,000"
30577,Adalat Oros,Adalat Oros,depottabletter,30 mg,98 stk. (blister),28101743295,"30,000",MG,"98,000"
30588,Glucomed,Glucomed,tabletter,625 mg,60 stk.,28103843605,"625,000",MG,"60,000"
30597,Glucomed,Glucomed,tabletter,625 mg,180 stk. (blister),28103843605,"625,000",MG,"180,000"
30601,Adalat,Adalat,kapsler,10 mg,50 stk,28100651374,"10,000",MG,"50,000"
30618,"Quetiapin ""Arrow""","Quetiapine ""Arrow""",filmovertrukne tabletter,300 mg,100 stk. (blister),28104348008,"300,000",MG,"100,000"
30620,"Esomeprazol ""Sandoz""","Esomeprazole ""Sandoz""",enterotabletter,20 mg,100 stk.,28104297108,"20,000",MG,"100,000"
30621,"Sildenafil ""Aspen""","Sildenafil ""Aspen""",filmovertrukne tabletter,50 mg,4 stk. (blister),28104882711,"50,000",MG,"4,000"
30627,Leponex,Clozaril,tabletter,100 mg,100 stk.,28100643574,"100,000",MG,"100,000"
30635,Leponex,Clozaril,tabletter,25 mg,100 stk.,28100643374,"25,000",MG,"100,000"
30641,Neupro,Neupro,depotplastre,6 mg/24 timer,28 stk. (Abacus),28103739004,"6,000",MGH,"28,000"
30642,Reminyl,Reminyl,filmovertrukne tabletter,4 mg,56 stk. (blister),28103839205,"4,000",MG,"56,000"
30643,"Zink ""DAK""","Zinc ""DAK""",Ã¸jendrÃ¥ber,0.35%,10 ml (bott.pk),28100757976,0.350,PC,"10,000"
30650,Vaminolac,Vaminolac,"infusionsvÃ¦ske, oplÃ¸sning",,12 x 100 ml,28101113282,,,"1,200,000"
30651,Reminyl,Reminyl,filmovertrukne tabletter,8 mg,56 stk. (blister),28103839305,"8,000",MG,"56,000"
30655,"Esomeprazol ""Sandoz""","Esomeprazole ""Sandoz""",enterotabletter,40 mg,100 stk.,28104297208,"40,000",MG,"100,000"
30657,Ecalta,Ecalta,"pulver til koncentrat til infusionsvÃ¦ske, oplÃ¸sning",100 mg,1 stk. (Orifarm),28104400408,"100,000",MG,"1,000"
30660,"Metacam til kvÃ¦g, grise og heste","Metacam for cattle, pigs and horses","injektionsvÃ¦ske, oplÃ¸sning",20 mg/ml,1/12 af: 12 x 100 ml,28103066299,"20,000",MGM,"100,000"
30666,"Esomeprazol ""Sandoz""","Esomeprazole ""Sandoz""",enterotabletter,20 mg,14 stk. (blister),28104297108,"20,000",MG,"14,000"
30668,Vaminolac,Vaminolac,"infusionsvÃ¦ske, oplÃ¸sning",,12 x 500 ml,28101113282,,,"6,000,000"
30669,"Oxytocin ""Intervet"" Vet.","Oxytocin ""Intervet"" Vet.","injektionsvÃ¦ske, oplÃ¸sning",10 IE/ml,12 x 50 ml,28101201784,"10,000",IUM,"600,000"
30676,Inoxyl Premix Vet.,Inoxyl Premix Vet.,premix,24%,1 kg,28101271186,"24,000",PC,"1,000"
30692,Linco-spectin Vet.,Linco-spectin Vet.,pulver til oplÃ¸sning i drikkevand,12.50%,100 g,28100654174,"12,500",PC,"100,000"
30700,Apodorm,Apodorm,tabletter,5 mg,100 stk. (blister),28100639473,"5,000",MG,"100,000"
30703,Bonviva,Bonviva,"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",1 mg/ml,3 ml (Abacus),28103798605,"1,000",MGM,"3,000"
30709,"Sertralin ""Orion""","Sertraline ""Orion""",filmovertrukne tabletter,50 mg,100 stk. (blister),28103903306,"50,000",MG,"100,000"
30710,"Esomeprazol ""Sandoz""","Esomeprazole ""Sandoz""",enterotabletter,20 mg,28 stk. (blister),28104297108,"20,000",MG,"28,000"
30718,Penicillin-dihydrostreptomycin Vet.,Penicillin-dihydrostreptomycin Vet.,injektionsvÃ¦ske,,10 htgl. a 100 ml,28100629773,,,"1,000,000"
30719,Inspra,Inspra,filmovertrukne tabletter,25 mg,30 stk. (blister),28104443608,"25,000",MG,"30,000"
30721,"Esomeprazol ""Sandoz""","Esomeprazole ""Sandoz""",enterotabletter,20 mg,56 stk. (blister),28104297108,"20,000",MG,"56,000"
30725,"Moxonidin ""Teva""","Moxonidine ""Teva""",filmovertrukne tabletter,"0,2 mg",100 stk. (blister),28103303701,0.200,MG,"100,000"
30730,Mestinon,Mestinon,overtrukne tabletter,60 mg,150 stk. (blister),28104565609,"60,000",MG,"150,000"
30733,"Esomeprazol ""Sandoz""","Esomeprazole ""Sandoz""",enterotabletter,20 mg,100 stk.,28104297108,"20,000",MG,"100,000"
30737,Furix Retard,Furix Retard,"depotkapsler, hÃ¥rde",60 mg,100 stk.,28101365389,"60,000",MG,"100,000"
30744,"Esomeprazol ""Sandoz""","Esomeprazole ""Sandoz""",enterotabletter,40 mg,14 stk. (blister),28104297208,"40,000",MG,"14,000"
30755,"Esomeprazol ""Sandoz""","Esomeprazole ""Sandoz""",enterotabletter,40 mg,28 stk. (blister),28104297208,"40,000",MG,"28,000"
30766,"Esomeprazol ""Sandoz""","Esomeprazole ""Sandoz""",enterotabletter,40 mg,56 stk. (blister),28104297208,"40,000",MG,"56,000"
30767,Imigran,Imigran,tabletter,100 mg,6 stk. (blister),28103040598,"100,000",MG,"6,000"
30770,Vasotop Vet.,Vasotop Vet.,tabletter,"1,25 mg",28 stk.,28103077099,"1,250",MG,"28,000"
30771,Vasotop Vet.,Vasotop Vet.,tabletter,"2,5 mg",28 stk.,28103077199,"2,500",MG,"28,000"
30772,Vasotop Vet.,Vasotop Vet.,tabletter,5 mg,28 stk,28103077299,"5,000",MG,"28,000"
30776,Zanidip,Zanidip,filmovertrukne tabletter,10 mg,112 stk. (blister),28104396608,"10,000",MG,"112,000"
30777,"Esomeprazol ""Sandoz""","Esomeprazole ""Sandoz""",enterotabletter,40 mg,100 stk.,28104297208,"40,000",MG,"100,000"
30797,"Tolterodin ""Stada""","Tolterodine ""Stada""","depotkapsler, hÃ¥rde",4 mg,100 stk. (blister),28104893111,"4,000",MG,"100,000"
30800,Artiss,Artiss,vÃ¦vsklÃ¦ber,,4 ml,28104176907,,,"4,000"
30809,Adalat,Adalat,kapsler,10 mg,100 stk,28100651374,"10,000",MG,"100,000"
30816,Klyx,Klyx,"rektalvÃ¦ske, oplÃ¸sning",1 + 250 mg/ml,240 ml,28104335208,,,"240,000"
30817,Zymelin ukonserveret,Zymelin unpreserved,"nÃ¦sespray, oplÃ¸sning","0,5 mg/ml",10 ml,28103056398,0.500,MGM,"10,000"
30822,Startvac,Startvac,"injektionsvÃ¦ske, emulsion",,20 x 1 dosis,28104157507,,,"20,000"
30835,Startvac,Startvac,"injektionsvÃ¦ske, emulsion",,5 doser,28104157507,,,"5,000"
30842,"Oxytocin ""Intervet"" Vet.","Oxytocin ""Intervet"" Vet.","injektionsvÃ¦ske, oplÃ¸sning",10 IE/ml,1/12 af: 12 x 50 ml,28101201784,"10,000",IUM,"50,000"
30851,Pulairmax,Pulairmax,inhalationspulver,400 mikrogram/dosis,2 x 100 doser,28103142100,"400,000",RGD,"200,000"
30857,Startvac,Startvac,"injektionsvÃ¦ske, emulsion",,25 doser,28104157507,,,"25,000"
30861,"Metadon ""DAK""","Methadone ""DAK""",tabletter,20 mg,20 stk. (blister),28101162283,"20,000",MG,"20,000"
30867,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,50 mikrogram/time,16 stk.,28104152207,"50,000",RGT,"16,000"
30878,Amias,Amias,tabletter,4 mg,98 stk. (blister),28103851205,"4,000",MG,"98,000"
30879,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,75 mikrogram/time,4 stk.,28104152307,"75,000",RGT,"4,000"
30882,Zymelin ukonserveret,Zymelin unpreserved,"nÃ¦sespray, oplÃ¸sning",1 mg/ml,10 ml,28103056498,"1,000",MGM,"10,000"
30891,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,75 mikrogram/time,8 stk.,28104152307,"75,000",RGT,"8,000"
30902,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,75 mikrogram/time,16 stk.,28104152307,"75,000",RGT,"16,000"
30913,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,100 mikrogram/time,4 stk.,28104152407,"100,000",RGT,"4,000"
30915,"Escitalopram ""Teva""","Escitalopram ""Teva""",filmovertrukne tabletter,20 mg,28 stk. (blister),28104290308,"20,000",MG,"28,000"
30924,Adalat,Adalat,kapsler,10 mg,250 stk,28100651374,"10,000",MG,"250,000"
30925,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,100 mikrogram/time,8 stk.,28104152407,"100,000",RGT,"8,000"
30926,"Escitalopram ""Teva""","Escitalopram ""Teva""",filmovertrukne tabletter,20 mg,56 stk. (blister),28104290308,"20,000",MG,"56,000"
30936,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,100 mikrogram/time,16 stk.,28104152407,"100,000",RGT,"16,000"
30937,"Escitalopram ""Teva""","Escitalopram ""Teva""",filmovertrukne tabletter,20 mg,100 stk. (blister),28104290308,"20,000",MG,"100,000"
30947,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,12 mikrogram/time,4 stk.,28104151907,"12,000",RGT,"4,000"
30948,"Escitalopram ""Teva""","Escitalopram ""Teva""",filmovertrukne tabletter,5 mg,28 stk. (blister),28104290008,"5,000",MG,"28,000"
30957,Hematrate,Hematrate,injektionssubstans,,Ca. 1100 ahf-enh. pr. enhed,28100654874,,,
30958,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,12 mikrogram/time,8 stk.,28104151907,"12,000",RGT,"8,000"
30960,Actos,Actos,tabletter,15 mg,98 stk. (blister) (Orifarm),28103052198,"15,000",MG,"98,000"
30965,Inithyran,Inithyran,injektionssubstans,,"5 htgl. a 0,2 mg + solvens",28100656874,,,
30971,"Escitalopram ""Teva""","Escitalopram ""Teva""",filmovertrukne tabletter,15 mg,28 stk. (blister),28104290208,"15,000",MG,"28,000"
30982,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,25 mikrogram/time,4 stk.,28104152007,"25,000",RGT,"4,000"
30983,"Escitalopram ""Teva""","Escitalopram ""Teva""",filmovertrukne tabletter,15 mg,100 stk. (blister),28104290208,"15,000",MG,"100,000"
30993,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,25 mikrogram/time,8 stk.,28104152007,"25,000",RGT,"8,000"
30994,"Escitalopram ""Teva""","Escitalopram ""Teva""",filmovertrukne tabletter,10 mg,28 stk. (blister),28104290108,"10,000",MG,"28,000"
31004,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,25 mikrogram/time,16 stk.,28104152007,"25,000",RGT,"16,000"
31005,Comitin Vet.,Comitin Vet.,injektionsvÃ¦ske,320.000 IE/ml,2 x 50 ml,28100516267,"320,000,000",IUM,"100,000"
31007,"Escitalopram ""Teva""","Escitalopram ""Teva""",filmovertrukne tabletter,10 mg,56 stk. (blister),28104290108,"10,000",MG,"56,000"
31016,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,50 mikrogram/time,4 stk.,28104152207,"50,000",RGT,"4,000"
31018,"Escitalopram ""Teva""","Escitalopram ""Teva""",filmovertrukne tabletter,10 mg,100 stk. (blister),28104290108,"10,000",MG,"100,000"
31027,"Fentanyl ""Sandoz""","Fentanyl ""Sandoz""",depotplastre,50 mikrogram/time,8 stk.,28104152207,"50,000",RGT,"8,000"
31029,"Lansoprazol ""Teva""","Lansoprazole ""Teva""","enterokapsler, hÃ¥rde",15 mg,100 stk.,28103935306,"15,000",MG,"100,000"
31032,"Gabapentin ""Aurobindo""","Gabapentin ""Aurobindo""","kapsler, hÃ¥rde",400 mg,100 stk.,28104167507,"400,000",MG,"100,000"
31040,"Lansoprazol ""Teva""","Lansoprazole ""Teva""","enterokapsler, hÃ¥rde",30 mg,100 stk.,28103935406,"30,000",MG,"100,000"
31052,"Lansoprazol ""Teva""","Lansoprazole ""Teva""","enterokapsler, hÃ¥rde",30 mg,28 stk.,28103935406,"30,000",MG,"28,000"
31063,"Lansoprazol ""Teva""","Lansoprazole ""Teva""","enterokapsler, hÃ¥rde",30 mg,56 stk,28103935406,"30,000",MG,"56,000"
31070,Scopoderm,Scopoderm,depotplastre,1 mg/72 timer,2 stk. (blister),28101116082,"1,000",MGF,"2,000"
31085,"Salbutamol ""TEVA""","Salbutamol ""TEVA""","inhalationsvÃ¦ske til nebulisator, oplÃ¸sning",1mg/ml,"60 x 2,5 ml",28104149307,"1,000",MGM,"150,000"
31088,Humalog,Humalog,injektionsvÃ¦ske,100 E/ml,1 htgl. a 10 ml,28101706394,"100,000",UML,"10,000"
31096,Humalog,Humalog,injektionsvÃ¦ske,100 E/ml (Amp/pen),"5 cylinderamp. a 1,5 ml",28101890497,"100,000",UML,"7,500"
31099,"Losartankalium/hydrochlorthiazid ""Krka""","Losartan potassium / hydrochlorothiazide ""Krka""",filmovertrukne tabletter,"100+12,5 mg",98 stk. (blister),28104559909,,,"98,000"
31130,Milbemax,MILBEMAX,tabletter,"2,5 mg+25 mg",50 stk. (blister),28105253413,0.000,,"50,000"
31161,Alk (802) Hvepsegift,Alk (802) wasp venom,"injektionsvÃ¦ske, suspension",InitialsÃ¦t,4 htgl. a 5 ml,28101249885,"1,000",INS,"20,000"
31163,Ovison,Ovison,kutanoplÃ¸sning,1 mg/g,100 ml,28104940011,"1,000",MGG,"100,000"
31164,"Citalopram ""2care4""","Citalopram ""2care4""",filmovertrukne tabletter,30  mg,98 stk. (blister),28105419614,"30,000",MG,"98,000"
31195,Nordotol,Nordotol,tabletter,200 mg,250 stk.,28100948077,"200,000",MG,"250,000"
31196,Doneprion,Doneprion,filmovertrukne tabletter,5 mg,28 stk. (blister),28104227207,"5,000",MG,"28,000"
31207,Doneprion,Doneprion,filmovertrukne tabletter,10 mg,28 stk. (blister),28104227307,"10,000",MG,"28,000"
31211,Topimax,Topamax,filmovertrukne tabletter,200 mg,60 stk.,28101727094,"200,000",MG,"60,000"
31226,"Etodolac ""2care4""","Etodolac ""2care4""",filmovertrukne tabletter,300 mg,120 stk.,28105100812,"300,000",MG,"120,000"
31240,"Brimonidintartrat ""2care4""","Brimonidine tartrate ""2care4""","Ã¸jendrÃ¥ber, oplÃ¸sning",2 mg/ml,3 x 5 ml,28105076012,"2,000",MGM,"15,000"
31249,Avidart,Avidart,"kapsler, blÃ¸de","0,5 mg",30 stk. (blister),28104759110,0.500,MG,"30,000"
31279,Keppra,Keppra,filmovertrukne tabletter,250 mg,100 stk (blister) (Orifarm),28103034298,"250,000",MG,"100,000"
31280,Betnovat med Chinoform,Betnovat with Chinoform,creme,1 + 30 mg/g,25 g,28103449102,,,"25,000"
31286,Parlodel,Parlodel,tabletter,"2,5 mg",105 stk.,28101448091,"2,500",MG,"105,000"
31288,Asacol,Asacol,enterotabletter,400 mg,100 stk. (blister),28103782805,"400,000",MG,"100,000"
31291,Betnovat med Chinoform,Betnovat with Chinoform,creme,1 + 30 mg/g,50 g,28103449102,,,"50,000"
31297,Asacol,Asacol,enterotabletter,400 mg,300 stk. (blister),28103782805,"400,000",MG,"300,000"
31314,Temodal,Temodal,"kapsler, hÃ¥rde",20 mg,20 stk.,28103015298,"20,000",MG,"20,000"
31325,Temodal,Temodal,"kapsler, hÃ¥rde",100 mg,5 stk.,28103015398,"100,000",MG,"5,000"
31326,Betaferon,Betaferon,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","0,25 mg(8mill IE)/ml",4 x 3 sÃ¦t,28101665194,0.250,MGM,"12,000"
31328,Bezalip,Bezalip,tabletter,200 mg,100 stk. (blister),28101888897,"200,000",MG,"100,000"
31341,Nipent,NIPENT,"pulver til injektions- og infusionsvÃ¦ske, oplÃ¸sning",10 MG,10 mg,28101494092,"10,000",MG,"10,000"
31342,Micardis,Micardis,tabletter,80 mg,98 stk. (blister) (Paranova),28101906897,"80,000",MG,"98,000"
31348,Temodal,Temodal,"kapsler, hÃ¥rde",140 mg,5 stk.,28103991506,"140,000",MG,"5,000"
31351,Lamictal,Lamictal,tabletter,200 mg,56 stk.,28101479091,"200,000",MG,"56,000"
31365,"Ampicillin ""PCD""","Ampicillin ""PCD""",filmovertrukne tabletter,500 mg,24 stk.,28100693676,"500,000",MG,"24,000"
31371,Temodal,Temodal,"kapsler, hÃ¥rde",180 mg,5 stk.,28103991606,"180,000",MG,"5,000"
31376,"Ampicillin ""PCD""","Ampicillin ""PCD""",filmovertrukne tabletter,500 mg,100 stk.,28100693676,"500,000",MG,"100,000"
31385,Pirom,Pirom,"kapsler, hÃ¥rde",20 mg,5 x 30 stk.,28101305087,"20,000",MG,"150,000"
31393,Novorapid Novolet,NovoRapid,"injektionsvÃ¦ske, oplÃ¸sning",100 E/ml,5 x 3 ml,28103036698,"100,000",UML,"15,000"
31394,Temodal,Temodal,"kapsler, hÃ¥rde",250 mg,5 stk.,28103015498,"250,000",MG,"5,000"
31427,Oruvail,Oruvail,gel,25 mg/g,Tube a 60 g,28101395690,"25,000",MGG,"60,000"
31443,Bezalip Retard,Bezalip Retard,depottabletter,400 mg,30 stk. (blister),28101888997,"400,000",MG,"30,000"
31450,Ercostrol,Sandrena,gel,"0,5 mg/dosis",28 stk. (dosispose),28101573493,0.500,MGD,"28,000"
31468,Ronal,Ronal,tabletter,2 mg,10 stk.,28101304487,"2,000",MG,"10,000"
31476,Ronal,Ronal,tabletter,2 mg,30 stk.,28101304487,"2,000",MG,"30,000"
31478,"Finasterid ""Orion""","Finasteride ""Orion""",filmovertrukne tabletter,5 mg,30 stk. (blister),28104065007,"5,000",MG,"30,000"
31484,Bezalip Retard,Bezalip Retard,depottabletter,400 mg,100 stk. (blister),28101888997,"400,000",MG,"100,000"
31487,"Finasterid ""Orion""","Finasteride ""Orion""",filmovertrukne tabletter,5 mg,100 stk. (blister),28104065007,"5,000",MG,"100,000"
31492,Dermovat,Dermovat,salve,"0,5 mg/g",30 g,28101890997,0.500,MGG,"30,000"
31500,Alk (802) Hvepsegift,Alk (802) wasp venom,"injektionsvÃ¦ske, suspension",100.000 sq-u/ml,1 htgl. a 5 ml,28101249785,"100,000,000",SQM,"5,000"
31533,"Bicalutamid ""Ranbaxy""","Bicalutamide ""Ranbaxy""",filmovertrukne tabletter,150 mg,30 stk. (blister),28104181407,"150,000",MG,"30,000"
31534,Dermovat,Dermovat,salve,"0,5 mg/g",100 g,28101890997,0.500,MGG,"100,000"
31542,Ercostrol,Sandrena,gel,"0,5 mg/dosis",91 stk. (dosispose),28101573493,0.500,MGD,"91,000"
31559,Flixonase,Flixonase,nÃ¦sespray,50 mikg/dosis,120 doser,28101891097,"50,000",RGD,"120,000"
31567,Neulactil,Neulactil,tabletter,"2,5 mg",100 stk.,28100480965,"2,500",MG,"100,000"
31575,Cpd-sagman Fenwal,Cpd-sagman Fenwal,oplÃ¸sning til blodstabilisering,,1 pk. a 20 sÃ¦t firedobb.r1629b,28101136783,,,"20,000"
31583,Nicorette Classic,Nicorette Classic,medicinsk tyggegummi,2 mg,210 stk. (blister),28101064081,"2,000",MG,"210,000"
31588,Prestarium,Prestarium,filmovertrukne tabletter,10 mg,30 stk.,28104414108,"10,000",MG,"30,000"
31591,Ercostrol,Sandrena,gel,1 mg/dosis,28 stk. (dosispose),28101573593,"1,000",MGD,"28,000"
31595,Zoladex,Zoladex,implantat,"3,6 mg",1 stk.,28104684710,"3,600",MG,"1,000"
31599,Prestarium,Prestarium,filmovertrukne tabletter,10 mg,90 stk.,28104414108,"10,000",MG,"90,000"
31609,Nicorette Classic,Nicorette Classic,medicinsk tyggegummi,4 mg,210 stk. (blister),28101064181,"4,000",MG,"210,000"
31610,Prestarium,Prestarium,filmovertrukne tabletter,5 mg,30 stk.,28104414008,"5,000",MG,"30,000"
31621,Prestarium,Prestarium,filmovertrukne tabletter,5 mg,90 stk.,28104414008,"5,000",MG,"90,000"
31625,Ercostrol,Sandrena,gel,1 mg/dosis,91 stk. (dosispose),28101573593,"1,000",MGD,"91,000"
31634,Campral,Campral,enterotabletter,333 mg,168 stk. (blister),28104417408,"333,000",MG,"168,000"
31645,Campral,Campral,enterotabletter,333 mg,96 stk. (blister),28104417408,"333,000",MG,"96,000"
31656,Clobex,Etrivex,shampoo,500 mikrogram/g,125 ml,28104422508,"500,000",RGG,"125,000"
31658,Becenun,Becenun,infusionssubstans,100 mg,10 htgl. + solvens,28101065681,"100,000",MG,"10,000"
31667,Viagra,Viagra,filmovertrukne tabletter,100 mg,4 stk. (blister) (Europharma),28101907197,"100,000",MG,"4,000"
31679,Viagra,Viagra,filmovertrukne tabletter,100 mg,12 stk. (blister) (EuroPharmaDK),28101907197,"100,000",MG,"12,000"
31682,"Sotalol ""Mylan""","Sotalol ""Mylan""",tabletter,160 mg,30 stk. (blister),28101564693,"160,000",MG,"30,000"
31690,"Sotalol ""Mylan""","Sotalol ""Mylan""",tabletter,80 mg,30 stk. (blister),28101564593,"80,000",MG,"30,000"
31691,Viagra,Viagra,filmovertrukne tabletter,25 mg,4 stk. (blister) (Europharma),28101906997,"25,000",MG,"4,000"
31702,Viagra,Viagra,filmovertrukne tabletter,50 mg,4 stk. (blister) (EuroPharma),28101907097,"50,000",MG,"4,000"
31713,Viagra,Viagra,filmovertrukne tabletter,50 mg,12 stk. (blister) (Europharma),28101907097,"50,000",MG,"12,000"
31725,Tahor,Tahor,filmovertrukne tabletter,10 mg,28 stk. (blister),28104419008,"10,000",MG,"28,000"
31736,Tahor,Tahor,filmovertrukne tabletter,10 mg,90 stk. (blister),28104419008,"10,000",MG,"90,000"
31747,Detrusitol Retard,Detrusitol,"depotkapsler, hÃ¥rde","2,8 mg",28 stk. (blister),28104377608,"2,800",MG,"28,000"
31758,Detrusitol Retard,Detrusitol,"depotkapsler, hÃ¥rde","2,8 mg",98 stk. (blister),28104377608,"2,800",MG,"98,000"
31765,"Heparin ""Leo""","Heparin ""Leo""","injektionsvÃ¦ske, oplÃ¸sning",100 IE/ml,10 x 2 ml,28100983778,"100,000",IUM,"20,000"
31769,"Gemfibrozil ""Alternova""","Gemfibrozil ""Alternova""",filmovertrukne tabletter,600 mg,30 stk. (blister),28103792705,"600,000",MG,"30,000"
31770,Fosavance,Fosavance,tabletter,70 mg + 70 mikrogram,4 stk. (blister) (EuroPharma),28103733204,,,"4,000"
31778,"Gemfibrozil ""Alternova""","Gemfibrozil ""Alternova""",filmovertrukne tabletter,600 mg,100 stk. (blister),28103792705,"600,000",MG,"100,000"
31782,Fosavance,Fosavance,tabletter,70 mg + 70 mikrogram,12 stk. (blister) (Europharma),28103733204,,,"12,000"
31787,"Amlodipin ""Orion""","Amlodipine ""Orion""",tabletter,5 mg,28 stk. (blister),28103574903,"5,000",MG,"28,000"
31793,Symbicort Turbohaler,Symbicort Turbohaler,inhalationspulver,"4,5+160 mikrog/dosis",60 doser,28104315408,,,"60,000"
31796,"Amlodipin ""Orion""","Amlodipine ""Orion""",tabletter,5 mg,98 stk. (blister),28103574903,"5,000",MG,"98,000"
31799,Ridzol Vet.,Ridzol Vet.,"pulver, uoplÃ¸seligt",12%,1 kg,28100696376,"12,000",PC,"1,000"
31804,Mirapexin,Mirapexin,tabletter,"0,7 mg",100 stk. (blister) (EuroPharmaDK),28101827196,0.700,MG,"100,000"
31805,"Amlodipin ""Orion""","Amlodipine ""Orion""",tabletter,10 mg,28 stk. (blister),28103575003,"10,000",MG,"28,000"
31814,"Amlodipin ""Orion""","Amlodipine ""Orion""",tabletter,10 mg,98 stk. (blister),28103575003,"10,000",MG,"98,000"
31815,Penamycin Vet.,Penamycin Vet.,intramammÃ¦r salve,,48 appl. a 8 g,28100087855,,,"384,000"
31816,Bonviva,Bonviva,filmovertrukne tabletter,150 mg,1 stk. (blister) (EuropharmaDK),28103711904,"150,000",MG,"1,000"
31827,Bonviva,Bonviva,filmovertrukne tabletter,150 mg,3 stk. (blister) (Europharma),28103711904,"150,000",MG,"3,000"
31833,"Glimepirid ""Stada""","Glimepiride ""Stada""",tabletter,1 mg,30 stk. (blister),28103618403,"1,000",MG,"30,000"
31842,"Glimepirid ""Stada""","Glimepiride ""Stada""",tabletter,1 mg,90 stk. (blister),28103618403,"1,000",MG,"90,000"
31849,Novorapid Penfill,NovoRapid,"injektionsvÃ¦ske, oplÃ¸sning",100 E/ml,5 x 3 ml,28103036598,"100,000",UML,"15,000"
31851,"Glimepirid ""Stada""","Glimepiride ""Stada""",tabletter,2 mg,90 stk. (blister),28103618503,"2,000",MG,"90,000"
31852,Minirin,Minirin,smeltetabletter,60 mikg,30 stk. (blister),28104436908,"60,000",RG,"30,000"
31856,Lacrisert,Lacrisert,Ã¸jenlamel,5 mg,60 stk.,28101100682,"5,000",MG,"60,000"
31860,"Glimepirid ""Stada""","Glimepiride ""Stada""",tabletter,3 mg,90 stk. (blister),28103618603,"3,000",MG,"90,000"
31863,Minirin,Minirin,smeltetabletter,60 mikg,100 stk. (blister),28104436908,"60,000",RG,"100,000"
31864,Octavi,Octavi,injektionssubstans,,500 i.e.,28101352289,,,"500,000"
31869,"Glimepirid ""Stada""","Glimepiride ""Stada""",tabletter,4 mg,90 stk. (blister),28103618703,"4,000",MG,"90,000"
31872,Durbis,Durbis,"kapsler, hÃ¥rde",100 mg,100 stk.,28100608072,"100,000",MG,"100,000"
31873,Tilmovet Vet.,Tilmovet Vet.,koncentrat til oral oplÃ¸sning,250 mg/ml,960 ml,28104106107,"250,000",MGM,"960,000"
31874,Minirin,Minirin,smeltetabletter,120 mikg,30 stk. (blister),28104436808,"120,000",RG,"30,000"
31885,Minirin,Minirin,smeltetabletter,120 mikg,100 stk. (blister),28104436808,"120,000",RG,"100,000"
31887,"Doxycyclin ""BioVet"" Vet.","Doxycycline ""BioVet"" Vet.",pulver til oplÃ¸sning i drikkevand,50%,1000 g,28103774705,"50,000",PC,"1,000,000"
31896,"Lisinopril/Hydrochlorthiazid ""Alternova""","Lisinopril / Hydrochlorothiazide ""Alternova""",tabletter,"10+12,5 mg",30 stk. (blister),28103782205,,,"30,000"
31905,"Lisinopril/Hydrochlorthiazid ""Alternova""","Lisinopril / Hydrochlorothiazide ""Alternova""",tabletter,"10+12,5 mg",100 stk. (blister),28103782205,,,"100,000"
