atc_concept_code,atc_concept_name,atc_concept_id,ingredient_concept_code,ingredient_concept_name,ingredient_concept_id,standard_concept,relationship_ids,n_relationships
L04AD01,ciclosporin,21603924,3008,Cyclosporine,19010482,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01XA18,ciclosporin,21605142,3008,Cyclosporine,19010482,S,"ATC - RxNorm,Inferred class of,Maps to",3
J05AB12,cidofovir,21603138,83171,Cidofovir,1745072,S,"ATC - RxNorm,Inferred class of,Maps to",3
C09AA08,cilazapril,21601792,21102,Cilazapril,19050216,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AC23,cilostazol,40252639,21107,cilostazol,1350310,S,"ATC - RxNorm,Inferred class of,Maps to",3
A02BA01,cimetidine,21600082,2541,Cimetidine,997276,S,"ATC - RxNorm,Inferred class of,Maps to",3
H05BX01,cinacalcet,21602792,407990,cinacalcet,1548111,S,"ATC - RxNorm,Inferred class of,Maps to",3
C05AD04,cinchocaine,21601621,3339,Dibucaine,923840,S,"ATC - RxNorm,Inferred class of,Maps to",3
S02DA04,cinchocaine,40257080,3339,Dibucaine,923840,S,"ATC - RxNorm,Maps to",2
D04AB02,cinchocaine,21602021,3339,Dibucaine,923840,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01BB06,cinchocaine,21604234,3339,Dibucaine,923840,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01HA06,cinchocaine,21605103,3339,Dibucaine,923840,S,"ATC - RxNorm,Maps to",2
R05CA13,cineole,43534850,21116,Eucalyptol,19050346,S,"ATC - RxNorm,Maps to",2
N07CA02,cinnarizine,21604834,2549,Cinnarizine,19097481,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01MB06,cinoxacin,21603033,2550,Cinoxacin,997496,S,"ATC - RxNorm,Inferred class of,Maps to",3
C10AB08,ciprofibrate,21601872,21149,ciprofibrate,19050375,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01MA02,ciprofloxacin,21603009,2551,Ciprofloxacin,1797513,S,"ATC - RxNorm,Inferred class of,Maps to",3
S03AA07,ciprofloxacin,21605196,2551,Ciprofloxacin,1797513,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01AE03,ciprofloxacin,43534858,2551,Ciprofloxacin,1797513,S,"ATC - RxNorm,Inferred class of,Maps to",3
S02AA15,ciprofloxacin,21605161,2551,Ciprofloxacin,1797513,S,"ATC - RxNorm,Inferred class of,Maps to",3
A03FA02,cisapride,21600485,35255,Cisapride,932196,S,"ATC - RxNorm,Inferred class of,Maps to",3
M03AC11,cisatracurium,21604088,319864,Cisatracurium,19015726,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XA01,cisplatin,21603748,2555,Cisplatin,1397599,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06AB04,citalopram,21604712,2556,Citalopram,797617,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06BX06,citicoline,21604774,997602,Citicoline,40223464,S,"ATC - RxNorm,Inferred class of,Maps to",3
A05BA04,citiolone,21600525,21171,citiolone,19050441,S,"ATC - RxNorm,Maps to",2
A09AB04,citric acid,21600708,21183,Citric Acid,950435,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01BB04,cladribine,21601430,44157,Cladribine,19054825,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01FA09,clarithromycin,21602977,21212,Clarithromycin,1750500,S,"ATC - RxNorm,Inferred class of,Maps to",3
A03FA06,clebopride,21600489,21224,clebopride,19050761,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AA04,clemastine,21603449,2578,Clemastine,1197677,S,"ATC - RxNorm,Inferred class of,Maps to",3
D04AA14,clemastine,21602013,2578,Clemastine,1197677,S,"ATC - RxNorm,Inferred class of,Maps to",3
R03AC14,clenbuterol,21603268,2580,Clenbuterol,19097824,S,"ATC - RxNorm,Inferred class of,Maps to",3
R03CC13,clenbuterol,21603323,2580,Clenbuterol,19097824,S,"ATC - RxNorm,Inferred class of,Maps to",3
C08CA16,clevidipine,40256090,233603,clevidipine,19089969,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01FF01,clindamycin,21602985,2582,Clindamycin,997881,S,"ATC - RxNorm,Inferred class of,Maps to",3
D10AF01,clindamycin,21602305,2582,Clindamycin,997881,S,"ATC - RxNorm,Inferred class of,Maps to",3
G01AA10,clindamycin,21602372,2582,Clindamycin,997881,S,"ATC - RxNorm,Inferred class of,Maps to",3
S02AA05,clioquinol,21605151,5942,Clioquinol,980867,S,"ATC - RxNorm,Inferred class of,Maps to",3
G01AC02,clioquinol,21602379,5942,Clioquinol,980867,S,"ATC - RxNorm,Inferred class of,Maps to",3
P01AA02,clioquinol,21604852,5942,Clioquinol,980867,S,"ATC - RxNorm,Inferred class of,Maps to",3
D09AA10,clioquinol,21602273,5942,Clioquinol,980867,S,"ATC - RxNorm,Inferred class of,Maps to",3
D08AH30,clioquinol,21602228,5942,Clioquinol,980867,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05BA09,clobazam,21604574,21241,clobazam,19050832,S,"ATC - RxNorm,Inferred class of,Maps to",3
A08AA08,clobenzorex,21600689,21244,clobenzorex,19050840,S,"ATC - RxNorm,Inferred class of,Maps to",3
D07AD01,clobetasol,21602141,2590,Clobetasol,998415,S,"ATC - RxNorm,Inferred class of,Maps to",3
D07AB01,clobetasone,21602105,108074,Clobetasone,19005129,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01BA09,clobetasone,21603626,108074,Clobetasone,19005129,S,"ATC - RxNorm,Inferred class of,Maps to",3
R05DB03,clobutinol,21603412,21247,clobutinol,19050863,S,"ATC - RxNorm,Inferred class of,Maps to",3
D07AB21,clocortolone,21602117,21249,clocortolone,950882,S,"ATC - RxNorm,Inferred class of,Maps to",3
M05BA02,clodronic acid,21604150,3350,Clodronic Acid,19024249,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01BB06,clofarabine,21601432,44151,clofarabine,19054821,S,"ATC - RxNorm,Inferred class of,Maps to",3
J04BA01,clofazimine,21603123,2592,Clofazimine,1798476,S,"ATC - RxNorm,Inferred class of,Maps to",3
R05DB10,clofedanol,21603417,21254,chlophedianol,1150886,S,"ATC - RxNorm,Maps to",2
M02AA03,clofezone,21604039,183877,clofezone,19018512,S,"ATC - RxNorm,Maps to",2
M01AA05,clofezone,21603938,183877,clofezone,19018512,S,"ATC - RxNorm,Maps to",2
C10AB01,clofibrate,21601865,2594,Clofibrate,1598658,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01XX03,clofoctol,21603063,21264,clofoctol,19047240,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05CM02,clomethiazole,21604663,2372,Chlormethiazole,19092283,S,"ATC - RxNorm,Maps to",2
G03GB02,clomifene,21602611,2596,Clomiphene,1598819,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06AA04,clomipramine,21604691,2597,Clomipramine,798834,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01AA11,clomocycline,21602809,21272,clomocycline,19047265,S,"ATC - RxNorm,Inferred class of,Maps to",3
N03AE01,clonazepam,21604415,2598,Clonazepam,798874,S,"ATC - RxNorm,Inferred class of,Maps to",3
N02CX02,clonidine,21604385,2599,Clonidine,1398937,S,"ATC - RxNorm,Inferred class of,Maps to",3
C02AC01,clonidine,21600398,2599,Clonidine,1398937,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01EA04,clonidine,21603676,2599,Clonidine,1398937,S,"ATC - RxNorm,Inferred class of,Maps to",3
C03BA03,clopamide,21601492,2603,Clopamide,19099181,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AC04,clopidogrel,21600989,32968,clopidogrel,1322184,S,"ATC - RxNorm,Inferred class of,Maps to",3
H02AB14,cloprednol,21602742,21285,cloprednol,19050907,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05AH06,clotiapine,21604546,2620,clothiapine,19100363,S,"ATC - RxNorm,Maps to",2
N05BA21,clotiazepam,21604585,2622,clotiazepam,19068821,S,"ATC - RxNorm,Inferred class of,Maps to",3
G01AF02,clotrimazole,21602393,2623,Clotrimazole,1000632,S,"ATC - RxNorm,Inferred class of,Maps to",3
D01AC01,clotrimazole,21601920,2623,Clotrimazole,1000632,S,"ATC - RxNorm,Inferred class of,Maps to",3
A01AB18,clotrimazole,21600028,2623,Clotrimazole,1000632,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01CF02,cloxacillin,21602854,2625,Cloxacillin,1800835,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05BA22,cloxazolam,21604586,21311,cloxazolam,19051096,S,"ATC - RxNorm,Maps to",2
N05AH02,clozapine,21604542,2626,Clozapine,800878,S,"ATC - RxNorm,Inferred class of,Maps to",3
B02BD04,coagulation factor IX,21601064,4249,factor IX,1351935,S,"ATC - RxNorm,Inferred class of,Maps to",3
B02BD04,coagulation factor IX,21601064,617148,Coagulation Factor IX (Human),1386466,,Inferred class of,1
B02BD05,coagulation factor VII,21601065,4254,factor VII,44785020,S,"ATC - RxNorm,Maps to",2
B02BD02,coagulation factor VIII,21601062,4257,Factor VIII,1352213,S,"ATC - RxNorm,Inferred class of,Maps to",3
B02BD13,coagulation factor X,45893470,4262,factor X,44785022,S,"ATC - RxNorm,Maps to",2
B02BD07,coagulation factor XIII,21601067,1091605,"factor XIII, human",40236041,,Inferred class of,1
B02BD07,coagulation factor XIII,21601067,4271,factor XIII,19106100,S,"ATC - RxNorm,Maps to",2
V09XX01,cobalt (57Co) cyanocobalamine,21605563,91516,Cyanocobalamin Co57,19135931,S,"ATC - RxNorm,Maps to",2
B03BA04,cobamamide,21601124,21373,cobamamide,19048026,S,"ATC - RxNorm,Inferred class of,Maps to",3
V03AX03,cobicistat,43534867,1306284,cobicistat,42874220,S,"ATC - RxNorm,Maps to",2
S02DA02,cocaine,21605183,2653,Cocaine,1001419,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01HA01,cocaine,21605098,2653,Cocaine,1001419,S,"ATC - RxNorm,Inferred class of,Maps to",3
R02AD03,cocaine,21603244,2653,Cocaine,1001419,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01BC01,cocaine,21604247,2653,Cocaine,1001419,S,"ATC - RxNorm,Inferred class of,Maps to",3
R05DA04,codeine,21603399,2670,Codeine,1201620,S,"ATC - RxNorm,Inferred class of,Maps to",3
M04AC01,colchicine,21604141,2683,Colchicine,1101554,S,"ATC - RxNorm,Inferred class of,Maps to",3
A11CC05,colecalciferol,21600820,2418,Cholecalciferol,19095164,S,"ATC - RxNorm,Inferred class of,Maps to",3
A11CC05,colecalciferol,21600820,11253,Vitamin D,19009405,S,Inferred class of,1
C10AC04,colesevelam,21601879,141626,colesevelam,1518148,S,"ATC - RxNorm,Inferred class of,Maps to",3
C10AC02,colestipol,21601877,2685,Colestipol,1501617,S,"ATC - RxNorm,Inferred class of,Maps to",3
C10AC01,colestyramine,21601876,2447,Cholestyramine Resin,19095309,S,"ATC - RxNorm,Inferred class of,Maps to",3
R07AA01,colfosceril palmitate,21603533,69782,colfosceril palmitate,19125632,,ATC - RxNorm,1
A07AA10,colistin,21600612,2709,Colistin,901845,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01XB01,colistin,21603049,2709,Colistin,901845,S,"ATC - RxNorm,Inferred class of,Maps to",3
G04BX11,collagen,21602662,2714,Collagen,19069049,S,"ATC - RxNorm,Inferred class of,Maps to",3
B02BC07,collagen,21601055,2714,Collagen,19069049,S,"ATC - RxNorm,Inferred class of,Maps to",3
D03BA02,collagenase,21602000,58939,COLLAGENASE,980311,S,"ATC - RxNorm,Inferred class of,Maps to",3
D03BA02,collagenase,21602000,898492,collagenase Clostridium histolyticum,40172153,S,Inferred class of,1
M09AB02,collagenase clostridium histolyticum,40254972,898492,collagenase Clostridium histolyticum,40172153,S,"ATC - RxNorm,Inferred class of,Maps to",3
J07BC20,combinations,21601340,5240,Hepatitis B Surface Antigens,568224,,Inferred class of,1
J07BC20,combinations,21601340,26746,Hepatitis B Vaccine,501488,,Inferred class of,1
R01AX30,combinations,21603206,8516,Polyethylene Glycols,948515,S,Inferred class of,1
D01AE20,combinations,21601959,8723,Proflavine,19052317,S,Inferred class of,1
A10AB30,combinations,21600721,235275,"insulin, regular, beef-pork",1590165,S,Inferred class of,1
A10AC30,combinations,21600727,317598,"insulin beef-pork, isophane",1515106,,Inferred class of,1
A02AB10,combinations,21600063,89858,Aluminum carbonate,959420,S,Inferred class of,1
B05BA10,combinations,21601159,27712,invert sugar,19003107,S,Inferred class of,1
A10AC30,combinations,21600727,314685,"Insulin, Protamine Zinc, Beef-Pork",19013926,S,Inferred class of,1
A02AB10,combinations,21600063,18789,basic aluminum carbonate gel,934431,S,Inferred class of,1
A10AE30,combinations,21600741,235283,"Insulin, Prompt Zinc, Beef-Pork",19090229,S,Inferred class of,1
A10AE30,combinations,21600741,235281,"Ultralente Insulin, Beef-Pork",19090221,S,Inferred class of,1
A12BA30,combinations,21600882,54993,potassium citrate,976545,S,Inferred class of,1
A10AE30,combinations,21600741,314682,"Lente Insulin, Beef-Pork",1513843,S,Inferred class of,1
J01CR50,combinations of penicillins,21602867,7980,Penicillin G,1728416,S,Inferred class of,1
B06AC04,conestat alfa,40253606,1599831,C1 esterase inhibitor (recombinant),46275061,,ATC - RxNorm,1
C03XA02,conivaptan,21601559,302285,conivaptan,19010927,S,"ATC - RxNorm,Inferred class of,Maps to",3
G03CA57,conjugated estrogens,21602523,253166,"synthetic conjugated estrogens, A",1596779,S,Inferred class of,1
G03CA57,conjugated estrogens,21602523,4099,"Estrogens, Conjugated (USP)",1549080,S,"ATC - RxNorm,Inferred class of,Maps to",3
G03CA57,conjugated estrogens,21602523,618365,"synthetic conjugated estrogens, B",1586808,S,Inferred class of,1
V03AB20,copper sulfate,21605245,21579,Copper Sulfate,19057346,S,"ATC - RxNorm,Inferred class of,Maps to",3
V04CD04,corticorelin,21605311,74671,corticorelin ovine,19020789,S,Inferred class of,1
V04CD04,corticorelin,21605311,214461,Corticotropin-Releasing Hormone,19048699,S,"ATC - RxNorm,Maps to",2
H01AA01,corticotropin,21602685,376,Corticotropin,1541079,S,"ATC - RxNorm,Inferred class of,Maps to",3
H02AB10,cortisone,21602738,2878,Cortisone,1507705,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01BA03,cortisone,21603620,2878,Cortisone,1507705,S,"ATC - RxNorm,Inferred class of,Maps to",3
H02AB17,cortivazol,21602744,21660,cortivazol,19061907,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01EB04,crataegus glycosides,21600366,155097,Hawthorn preparation,1324250,S,Inferred class of,1
R05CA08,creosote,21603375,2915,Creosote,19008366,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XE16,crizotinib,40253398,1148495,crizotinib,40242675,S,"ATC - RxNorm,Inferred class of,Maps to",3
R01AC01,cromoglicic acid,21605033,42612,Cromolyn,1152631,S,"ATC - RxNorm,Inferred class of,Maps to",3
A07EB01,cromoglicic acid,21600661,42612,Cromolyn,1152631,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01GX01,cromoglicic acid,21605085,42612,Cromolyn,1152631,S,"ATC - RxNorm,Inferred class of,Maps to",3
R03BC01,cromoglicic acid,21603298,42612,Cromolyn,1152631,S,"ATC - RxNorm,Inferred class of,Maps to",3
D11AH03,cromoglicic acid,21602340,42612,Cromolyn,1152631,S,"ATC - RxNorm,Maps to",2
A07BC03,crospovidone,21600635,1310706,Crospovidone,42898837,S,"ATC - RxNorm,Maps to",2
N05AA06,cyamemazine,21604497,21877,cyamemazine,19051234,S,"ATC - RxNorm,Inferred class of,Maps to",3
B03BA01,cyanocobalamin,21601121,11248,Vitamin B 12,1308738,S,"ATC - RxNorm,Inferred class of,Maps to",3
B03BA51,"cyanocobalamin, combinations",21601126,5920,Intrinsic factor,1380472,S,Inferred class of,1
B03BA51,"cyanocobalamin, combinations",21601126,21373,cobamamide,19048026,S,Inferred class of,1
B03BA51,"cyanocobalamin, combinations",21601126,29421,mecobalamin,19009025,S,Inferred class of,1
C04AX01,cyclandelate,21601588,2970,Cyclandelate,1309323,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AE03,cyclizine,21603493,2977,Cyclizine,909358,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05CA10,cyclobarbital,21604617,2978,cyclobarbital,19072082,S,"ATC - RxNorm,Inferred class of,Maps to",3
M03BX08,cyclobenzaprine,21604122,21949,cyclobenzaprine,778711,S,"ATC - RxNorm,Inferred class of,Maps to",3
A05AX03,cyclobutyrol,21600520,21954,cyclobutyrol,19051590,S,"ATC - RxNorm,Inferred class of,Maps to",3
G03GB01,cyclofenil,21602610,2983,Cyclofenil,19072083,S,"ATC - RxNorm,Inferred class of,Maps to",3
R01AA02,cyclopentamine,21605011,59094,cyclopentamine,19080427,S,"ATC - RxNorm,Maps to",2
C03AA07,cyclopenthiazide,21601470,3000,Cyclopenthiazide,19010015,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01FA04,cyclopentolate,21605063,3001,Cyclopentolate,910232,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01AA01,cyclophosphamide,21601390,3002,Cyclophosphamide,1310317,S,"ATC - RxNorm,Inferred class of,Maps to",3
J04AB01,cycloserine,21603096,3007,Cycloserine,1710446,S,"ATC - RxNorm,Inferred class of,Maps to",3
C03AA09,cyclothiazide,21601472,22033,cyclothiazide,19082886,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AX02,cyproheptadine,21603505,3013,Cyproheptadine,1110727,S,"ATC - RxNorm,Inferred class of,Maps to",3
G03HA01,cyproterone,21602615,3014,Cyproterone,19010792,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01BC01,cytarabine,21601435,968804,Cytarabine liposome,40175460,S,Inferred class of,1
L01BC01,cytarabine,21601435,3041,Cytarabine,1311078,S,"ATC - RxNorm,Inferred class of,Maps to",3
J06BB09,cytomegalovirus immunoglobulin,21601267,22178,cytomegalovirus immune globulin,586491,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AE07,dabigatran etexilate,21601026,1037042,dabigatran etexilate,40228152,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XE23,dabrafenib,43534812,1424911,dabrafenib,43532299,S,"ATC - RxNorm,Maps to",2
L01AX04,dacarbazine,21601420,3098,Dacarbazine,1311409,S,"ATC - RxNorm,Inferred class of,Maps to",3
J05AX14,daclatasvir,45893499,1606218,daclatasvir,46221696,S,"ATC - RxNorm,Maps to",2
L04AC01,daclizumab,21603915,190353,Daclizumab,19036892,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01DA01,dactinomycin,21603730,3100,Dactinomycin,1311443,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01XA04,dalbavancin,21603046,1539239,dalbavancin,45774861,S,"ATC - RxNorm,Maps to",2
B01AB04,dalteparin,21600975,67109,Dalteparin,1301065,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AB09,danaparoid,21600980,78484,danaparoid,19026343,S,"ATC - RxNorm,Inferred class of,Maps to",3
G03XA01,danazol,21602620,3102,Danazol,1511449,S,"ATC - RxNorm,Inferred class of,Maps to",3
M03CA01,dantrolene,21604127,3105,Dantrolene,711714,S,"ATC - RxNorm,Inferred class of,Maps to",3
A06AB03,dantron,21600540,22293,danthron,19086560,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10BX09,dapagliflozin,40251701,1488564,dapagliflozin,44785829,S,"ATC - RxNorm,Maps to",2
S01EX02,dapiprazole,21603717,22298,dapiprazole,19086622,S,"ATC - RxNorm,Inferred class of,Maps to",3
D10AX05,dapsone,21602316,3108,Dapsone,1711759,S,"ATC - RxNorm,Inferred class of,Maps to",3
J04BA02,dapsone,21603124,3108,Dapsone,1711759,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01XX09,daptomycin,21603069,22299,Daptomycin,1786617,S,"ATC - RxNorm,Inferred class of,Maps to",3
B03XA02,darbepoetin alfa,21601134,283838,darbepoetin alfa,1304643,S,"ATC - RxNorm,Inferred class of,Maps to",3
G04BD10,darifenacin,21602643,136198,darifenacin,916230,S,"ATC - RxNorm,Inferred class of,Maps to",3
J05AE10,darunavir,21603158,460132,darunavir,1756831,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XE06,dasatinib,21603777,475342,dasatinib,1358436,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01DB02,daunorubicin,21603733,214468,Daunorubicin Liposomal,19051599,S,Inferred class of,1
L01DB02,daunorubicin,21603733,3109,Daunorubicin,1311799,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06BX04,deanol,21604772,3116,Deanol,1311826,S,"ATC - RxNorm,Inferred class of,Maps to",3
C02CC04,debrisoquine,21600420,3118,Debrisoquin,19011951,S,"ATC - RxNorm,Maps to",2
P03BA03,decamethrin,21604998,22374,decamethrin,19086786,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01BC08,decitabine,21601442,15657,decitabine,19024728,S,"ATC - RxNorm,Inferred class of,Maps to",3
V03AC03,deferasirox,21605262,614373,deferasirox,1786055,S,"ATC - RxNorm,Inferred class of,Maps to",3
V03AC02,deferiprone,21605261,11645,deferiprone,19011091,S,"ATC - RxNorm,Inferred class of,Maps to",3
V03AC01,deferoxamine,21605260,3131,Deferoxamine,1711947,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AX01,defibrotide,21601028,1311089,defibrotide,42898933,S,"ATC - RxNorm,Maps to",2
H02AB13,deflazacort,21602741,22396,deflazacort,19086888,S,"ATC - RxNorm,Inferred class of,Maps to",3
L02BX02,degarelix,21603847,475230,degarelix,19058410,S,"ATC - RxNorm,Inferred class of,Maps to",3
J05AG02,delavirdine,21603174,83816,Delavirdine,1747157,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01EB04,demecarium,21603683,107771,Demecarium,19004718,S,"ATC - RxNorm,Inferred class of,Maps to",3
D06AA01,demeclocycline,21602057,3154,Demeclocycline,1714527,S,"ATC - RxNorm,Inferred class of,Maps to",3
J01AA01,demeclocycline,21602799,3154,Demeclocycline,1714527,S,"ATC - RxNorm,Inferred class of,Maps to",3
G03DB05,demegestone,21602548,22483,demegestone,19052689,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XX29,denileukin diftitox,21603803,214470,denileukin diftitox,19051642,S,"ATC - RxNorm,Inferred class of,Maps to",3
M05BX04,denosumab,21604169,993449,denosumab,40222444,S,"ATC - RxNorm,Inferred class of,Maps to",3
G01AC05,dequalinium,21602381,3226,Dequalinium,19016063,S,"ATC - RxNorm,Inferred class of,Maps to",3
R02AA02,dequalinium,21603219,3226,Dequalinium,19016063,S,"ATC - RxNorm,Inferred class of,Maps to",3
D08AH01,dequalinium,21602225,3226,Dequalinium,19016063,S,"ATC - RxNorm,Inferred class of,Maps to",3
C02AA05,deserpidine,21600388,62174,deserpidine,1387219,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01AB07,desflurane,21604192,27340,desflurane,19002770,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06AA01,desipramine,21604688,3247,Desipramine,716968,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AE01,desirudin,21601020,114934,desirudin,19011712,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01AA07,deslanoside,21600236,3248,Deslanoside,19017074,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AX27,desloratadine,21603526,275635,desloratadine,1103006,S,"ATC - RxNorm,Inferred class of,Maps to",3
H01BA02,desmopressin,21602700,3251,desmopressin,1517070,S,"ATC - RxNorm,Inferred class of,Maps to",3
G03AC09,desogestrel,21602505,22656,Desogestrel,1588000,S,"ATC - RxNorm,Inferred class of,Maps to",3
D07AB08,desonide,21602112,3254,Desonide,917205,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01BA11,desonide,21603628,3254,Desonide,917205,S,"ATC - RxNorm,Inferred class of,Maps to",3
D07AC03,desoximetasone,21602122,3255,Desoximetasone,917336,S,"ATC - RxNorm,Inferred class of,Maps to",3
D07XC02,desoximetasone,21602191,3255,Desoximetasone,917336,S,"ATC - RxNorm,Inferred class of,Maps to",3
H02AA03,desoxycortone,21602727,3256,Deoxycorticosterone,19017895,S,"ATC - RxNorm,Inferred class of,Maps to",3
B06AA10,desoxyribonuclease,21601232,3210,Deoxyribonucleases,915841,S,"ATC - RxNorm,Maps to",2
N06AX23,desvenlafaxine,21604751,734064,Desvenlafaxine,717607,S,"ATC - RxNorm,Inferred class of,Maps to",3
D10AA03,dexamethasone,21602286,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
S02BA06,dexamethasone,21605168,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01BA01,dexamethasone,21603618,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
C05AA09,dexamethasone,21601613,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
A01AC02,dexamethasone,21600035,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
D07XB05,dexamethasone,21602187,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
D07AB19,dexamethasone,21602116,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
R01AD03,dexamethasone,21605045,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01CB01,dexamethasone,21603664,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
H02AB02,dexamethasone,21602730,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
S03BA01,dexamethasone,21605201,3264,Dexamethasone,1518254,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06BA02,dexamfetamine,21604755,3288,Dextroamphetamine,719311,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AB06,dexbrompheniramine,21603464,22696,dexbrompheniramine,1188052,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AB02,dexchlorpheniramine,21603460,22697,dexchlorpheniramine,1188114,S,"ATC - RxNorm,Inferred class of,Maps to",3
N04AA08,dexetimide,21604451,3267,Dexetimide,19082894,S,"ATC - RxNorm,Inferred class of,Maps to",3
A08AA04,dexfenfluramine,21600685,3268,Dexfenfluramine,719057,S,"ATC - RxNorm,Inferred class of,Maps to",3
M02AA27,dexketoprofen,45893521,237162,Dexketoprofen,19056874,S,"ATC - RxNorm,Maps to",2
M01AE17,dexketoprofen,21603983,237162,Dexketoprofen,19056874,S,"ATC - RxNorm,Inferred class of,Maps to",3
A02BC06,dexlansoprazole,40254795,816346,dexlansoprazole,19039926,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05CM18,dexmedetomidine,21604677,48937,Dexmedetomidine,19061088,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06BA11,dexmethylphenidate,21604764,352372,dexmethylphenidate,731533,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01XA12,dexpanthenol,21605138,22701,dexpanthenol,988294,S,"ATC - RxNorm,Inferred class of,Maps to",3
A11HA30,dexpanthenol,21600850,22701,dexpanthenol,988294,S,"ATC - RxNorm,Inferred class of,Maps to",3
D03AX03,dexpanthenol,21601991,22701,dexpanthenol,988294,S,"ATC - RxNorm,Inferred class of,Maps to",3
V03AF02,dexrazoxane,21605270,42736,Dexrazoxane,1353011,S,"ATC - RxNorm,Inferred class of,Maps to",3
B05AA05,dextran,21601142,42635,Dextran,1352890,S,"ATC - RxNorm,Inferred class of,Maps to",3
B05AA05,dextran,21601142,3272,Dextran 40,19019122,S,Inferred class of,1
B05AA05,dextran,21601142,3275,Dextran 75,19019193,S,Inferred class of,1
