vnr,Danish name,Active Substance,frequency,drugid,atccode,rxnorm_id,ingredient_concept_id,ingredient_concept_name
418787,Crestor,Rosuvastatin calcium,40,28104839111,C10AA07,301542,1510813,rosuvastatin
33924,Crestor,Rosuvastatin calcium,161,28103757104,C10AA07,301542,1510813,rosuvastatin
73514,Crestor,Rosuvastatin calcium,37,28104572709,C10AA07,301542,1510813,rosuvastatin
73525,Crestor,Rosuvastatin calcium,27,28104572709,C10AA07,301542,1510813,rosuvastatin
108853,Crestor,Rosuvastatin calcium,126,28103924206,C10AA07,301542,1510813,rosuvastatin
100128,Crestor,Rosuvastatin calcium,26,28104513509,C10AA07,301542,1510813,rosuvastatin
23272,Crestor,Rosuvastatin calcium,46,28103757104,C10AA07,301542,1510813,rosuvastatin
23335,Crestor,Rosuvastatin calcium,102,28103757104,C10AA07,301542,1510813,rosuvastatin
79643,Crestor,Rosuvastatin calcium,25,28103936606,C10AA07,301542,1510813,rosuvastatin
7099,Crestor,Rosuvastatin calcium,197,28103453602,C10AA07,301542,1510813,rosuvastatin
7155,Crestor,Rosuvastatin calcium,134,28103453702,C10AA07,301542,1510813,rosuvastatin
108589,Crinone,PROGESTERON,51,28101706794,G03DA04,8727,1552310,Progesterone
563379,Cutivat,,40,28101540893,,,,
590455,Cutivat,,39,28101540893,,,,
545160,Cyclo-progynon,,92,28100620672,,,,
459867,Cyklokapron,TRANEXAMSYRE,59,28100991168,B02AA02,10691,1303425,Tranexamic Acid
21899,Cyklokapron,TRANEXAMSYRE,86,28100991168,B02AA02,10691,1303425,Tranexamic Acid
83160,Cyklokapron,TRANEXAMSYRE,62,28104055307,B02AA02,10691,1303425,Tranexamic Acid
459859,Cyklokapron,TRANEXAMSYRE,150,28100991168,B02AA02,10691,1303425,Tranexamic Acid
13908,Cyklokapron,,38,28103449202,,,,
574731,Cyklokapron,,31,28101559993,,,,
97087,Cyklonova,TRANEXAMSYRE,86,28104061107,B02AA02,10691,1303425,Tranexamic Acid
63051,Cyklonova,TRANEXAMSYRE,26,28104061107,B02AA02,10691,1303425,Tranexamic Acid
21721,Cymbalta,DULOXETINHYDROCHLORID,88,28103594003,N06AX21,72625,715259,duloxetine
21975,Cymbalta,DULOXETINHYDROCHLORID,187,28103594103,N06AX21,72625,715259,duloxetine
21967,Cymbalta,DULOXETINHYDROCHLORID,450,28103594103,N06AX21,72625,715259,duloxetine
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,8570,948856,Polyvinyl Alcohol
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,27334,902251,hypromellose
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,6873,905371,Methylcellulose
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,34693,929128,Propylene glycol
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,38998,943191,tyloxapol
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,8560,948760,Polysorbate 80
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,2062,949279,Carboxymethylcellulose
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,8610,950056,Povidone
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,4910,961145,Glycerin
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,9863,967823,Sodium Chloride
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,577312,978577,"Mineral Oil, Light"
40543,Dacriosol,"Dextran 70, Hypromellose",241,28100923577,S01XA20,27291,19002257,hydroxypropylcellulose
15633,Dacriosol ukonserveret,,35,28103311301,,,,
25242,Daivobet,"BETAMETHASONDIPROPIONAT, Calcipotriol H",32,28103160200,D05AX52,,,
6579,Daivobet,"BETAMETHASONDIPROPIONAT, Calcipotriol H",136,28103160200,D05AX52,,,
77205,Daivobet,"BETAMETHASONDIPROPIONAT, Calcipotriol H",57,28103160200,D05AX52,,,
6637,Daivobet,"BETAMETHASONDIPROPIONAT, Calcipotriol H",65,28103160200,D05AX52,,,
152967,Daivonex,Calcipotriol,69,28101399190,D05AX02,29365,908921,calcipotriene
154310,Daivonex,Calcipotriol,25,28101533892,D05AX02,29365,908921,calcipotriene
2276,Daivonex,Calcipotriol,53,28101533892,D05AX02,29365,908921,calcipotriene
2265,Daivonex,Calcipotriol,64,28101533892,D05AX02,29365,908921,calcipotriene
153031,Daivonex,Calcipotriol,38,28101399190,D05AX02,29365,908921,calcipotriene
154294,Daivonex,Calcipotriol,25,28101533892,D05AX02,29365,908921,calcipotriene
154286,Dalacin,,37,28101504892,,,,
8904,Dalacin,CLINDAMYCINPHOSPHAT,79,28101103282,D10AF01,2582,997881,Clindamycin
494559,Dalacin,CLINDAMYCINPHOSPHAT,129,28101332288,D10AF01,2582,997881,Clindamycin
494542,Dalacin,CLINDAMYCINPHOSPHAT,42,28101332288,D10AF01,2582,997881,Clindamycin
53991,Dalacin,CLINDAMYCINPHOSPHAT,266,28101103282,D10AF01,2582,997881,Clindamycin
573883,Danafusin,,28,28103909206,,,,
34553,Dantrium,,42,28100980078,,,,
11528,Daonil,,1044,28101113982,,,,
10827,Daonil,,63,28101113882,,,,
11270,Daonil,,522,28101113882,,,,
453043,Daprox,,34,28101292687,,,,
453035,Daprox,,53,28101292687,,,,
453027,Daprox,,28,28101292687,,,,
477406,Daprox Entero,,42,28101335688,,,,
477497,Daprox Entero,,26,28101335788,,,,
571063,Dasselta,DESLORATADIN,53,28104876011,R06AX27,275635,1103006,desloratadine
188829,Dasselta,DESLORATADIN,55,28104876011,R06AX27,275635,1103006,desloratadine
46086,Decadron med Neomycin,,55,28100307759,,,,
6865,Delepsine,NATRIUMVALPROAT,144,28101029479,N03AG01,40254,745466,Valproate
6865,Delepsine,NATRIUMVALPROAT,144,28101029479,N03AG01,11118,19010963,Valproic Acid
469403,Delepsine,,83,28100905376,,,,
529172,Delepsine,NATRIUMVALPROAT,28,28101029479,N03AG01,11118,19010963,Valproic Acid
529172,Delepsine,NATRIUMVALPROAT,28,28101029479,N03AG01,40254,745466,Valproate
529180,Delepsine,NATRIUMVALPROAT,26,28101029579,N03AG01,40254,745466,Valproate
529180,Delepsine,NATRIUMVALPROAT,26,28101029579,N03AG01,11118,19010963,Valproic Acid
6880,Delepsine,NATRIUMVALPROAT,43,28101029579,N03AG01,11118,19010963,Valproic Acid
6880,Delepsine,NATRIUMVALPROAT,43,28101029579,N03AG01,40254,745466,Valproate
463828,Delepsine Retard,NATRIUMVALPROAT,277,28101760595,N03AG01,40254,745466,Valproate
463828,Delepsine Retard,NATRIUMVALPROAT,277,28101760595,N03AG01,11118,19010963,Valproic Acid
463836,Delepsine Retard,NATRIUMVALPROAT,537,28101760695,N03AG01,11118,19010963,Valproic Acid
463836,Delepsine Retard,NATRIUMVALPROAT,537,28101760695,N03AG01,40254,745466,Valproate
545970,Demolox,,37,28101038579,,,,
161190,Depakine Retard,,61,28101830596,,,,
161216,Depakine Retard,,34,28101830696,,,,
8640,Depakine Retard,,43,28101520792,,,,
570887,Depakine Retard,,88,28101520792,,,,
189514,Depo-medrol,METHYLPREDNISOLONACETAT,281,28100323959,H02AB04,6902,1506270,Methylprednisolone
141044,Depo-medrol,METHYLPREDNISOLONACETAT,102,28100323959,H02AB04,6902,1506270,Methylprednisolone
189522,Depo-medrol,METHYLPREDNISOLONACETAT,227,28100323959,H02AB04,6902,1506270,Methylprednisolone
518076,Depolan,MORPHINHYDROCHLORID (trihydrate),65,28103013398,N02AA01,477468,19112635,Morphine Liposomal
518076,Depolan,MORPHINHYDROCHLORID (trihydrate),65,28103013398,N02AA01,7052,1110410,Morphine
118281,Deprakine Retard,"NATRIUMVALPROAT, Valproinsyre",276,28101314887,N03AG01,40254,745466,Valproate
118281,Deprakine Retard,"NATRIUMVALPROAT, Valproinsyre",276,28101314887,N03AG01,11118,19010963,Valproic Acid
118331,Deprakine Retard,"NATRIUMVALPROAT, Valproinsyre",223,28101323088,N03AG01,40254,745466,Valproate
118331,Deprakine Retard,"NATRIUMVALPROAT, Valproinsyre",223,28101323088,N03AG01,11118,19010963,Valproic Acid
86011,Derinik,PRAMIPEXOL,172,28104254707,N04BC05,746741,720810,Pramipexole
385344,Dermovat,,107,28101732694,,,,
50112,Dermovat,Clobetasolpropionat,25,28100632673,D07AD01,2590,998415,Clobetasol
462028,Dermovat,Clobetasolpropionat,785,28100632573,D07AD01,2590,998415,Clobetasol
18008,Dermovat,,72,28103612003,,,,
462051,Dermovat,Clobetasolpropionat,218,28100632673,D07AD01,2590,998415,Clobetasol
462036,Dermovat,Clobetasolpropionat,443,28100632573,D07AD01,2590,998415,Clobetasol
462044,Dermovat,Clobetasolpropionat,550,28100632673,D07AD01,2590,998415,Clobetasol
419945,Dermovat,Clobetasolpropionat,190,28101036079,D07AD01,2590,998415,Clobetasol
381368,Dermovat,,42,28101683194,,,,
49791,Dermovat,Clobetasolpropionat,70,28100632573,D07AD01,2590,998415,Clobetasol
595779,Dermovate,Clobetasolpropionat,29,28105269713,D07AD01,2590,998415,Clobetasol
40426,"Desloratadine ""Actavis""",DESLORATADIN,31,28104873711,R06AX27,275635,1103006,desloratadine
418981,"Desloratadine ""Actavis""",DESLORATADIN,49,28104873711,R06AX27,275635,1103006,desloratadine
87902,DesmoMelt,DESMOPRESSIN,39,28104622909,H01BA02,3251,1517070,desmopressin
62296,DesmoMelt,DESMOPRESSIN,45,28104542709,H01BA02,3251,1517070,desmopressin
13273,"Desmopressin ""Actavis""",DESMOPRESSIN,57,28103015598,H01BA02,3251,1517070,desmopressin
513671,"Desmopressin ""Actavis""",DESMOPRESSIN,31,28103015598,H01BA02,3251,1517070,desmopressin
30336,"Desmopressin ""Paranova""",DESMOPRESSIN,49,28104435108,H01BA02,3251,1517070,desmopressin
517888,Detrusitol,,203,28101920897,,,,
517862,Detrusitol,,35,28101920797,,,,
31747,Detrusitol Retard,,51,28104377608,,,,
7505,Detrusitol Retard,TOLTERODINTARTRAT,343,28103246701,G04BD07,119565,913782,tolterodine
7769,Detrusitol Retard,TOLTERODINTARTRAT,385,28103246901,G04BD07,119565,913782,tolterodine
82215,Detrusitol Retard,,69,28104053006,,,,
7760,Detrusitol Retard,TOLTERODINTARTRAT,377,28103246901,G04BD07,119565,913782,tolterodine
79211,Detrusitol Retard,,34,28104591509,,,,
31758,Detrusitol Retard,,68,28104377608,,,,
542183,Diamicron,,85,28100911576,,,,
106906,Diamicron,,62,28100911576,,,,
5672,Diamicron Uno,GLICLAZID,103,28103164200,A10BB09,4816,19059796,Gliclazide
5674,Diamicron Uno,GLICLAZID,110,28103164200,A10BB09,4816,19059796,Gliclazide
5641,Diamicron Uno,GLICLAZID,54,28103164200,A10BB09,4816,19059796,Gliclazide
81604,Diasectral,,106,28101195384,,,,
41855,Dicillin,DICLOXACILLINNATRIUM (vandfrit),199,28101579793,J01CF01,3356,1724666,Dicloxacillin
41848,Dicillin,DICLOXACILLINNATRIUM (vandfrit),273,28101579793,J01CF01,3356,1724666,Dicloxacillin
41830,Dicillin,DICLOXACILLINNATRIUM (vandfrit),2460,28101579793,J01CF01,3356,1724666,Dicloxacillin
42168,Dicillin,DICLOXACILLINNATRIUM (vandfrit),422,28101579693,J01CF01,3356,1724666,Dicloxacillin
440418,Diclin,DICLOXACILLINNATRIUM (vandfrit),53,28103122912,J01CF01,3356,1724666,Dicloxacillin
548453,Diclocil,,42,28100635873,,,,
71712,Diclocil,,86,28100635873,,,,
548495,Diclocil,,93,28100498066,,,,
1937,Diclodan,DICLOFENACNATRIUM,293,28101567493,M01AB05,3355,1124300,Diclofenac
1815,Diclodan,DICLOFENACNATRIUM,51,28101567393,M01AB05,3355,1124300,Diclofenac
1950,Diclodan,DICLOFENACNATRIUM,52,28101567493,M01AB05,3355,1124300,Diclofenac
39688,"Diclofenac ""BMM Pharma""",DICLOFENACNATRIUM,35,28104012106,M01AB05,3355,1124300,Diclofenac
39697,"Diclofenac ""BMM Pharma""",DICLOFENACNATRIUM,31,28104012106,M01AB05,3355,1124300,Diclofenac
39715,"Diclofenac ""BMM Pharma""",DICLOFENACNATRIUM,35,28104012106,M01AB05,3355,1124300,Diclofenac
15741,"Diclofenac Rapid ""Actavis""",DICLOFENACKALIUM,184,28103307301,M01AB05,3355,1124300,Diclofenac
15747,"Diclofenac Rapid ""Actavis""",DICLOFENACKALIUM,66,28103307301,M01AB05,3355,1124300,Diclofenac
91055,"Diclofenac Rapid ""Actavis""",DICLOFENACKALIUM,85,28103307301,M01AB05,3355,1124300,Diclofenac
91067,"Diclofenac Rapid ""Actavis""",DICLOFENACKALIUM,31,28103307301,M01AB05,3355,1124300,Diclofenac
15649,"Diclofenac Rapid ""Actavis""",DICLOFENACKALIUM,32,28103307301,M01AB05,3355,1124300,Diclofenac
10362,"Diclofenac Rapid ""Orifarm""",DICLOFENACKALIUM,48,28103307501,M01AB05,3355,1124300,Diclofenac
10684,"Diclofenac Rapid ""Orifarm""",DICLOFENACKALIUM,98,28103307501,M01AB05,3355,1124300,Diclofenac
403514,"Diclofenac Rapid ""Orifarm""",DICLOFENACKALIUM,34,28103307501,M01AB05,3355,1124300,Diclofenac
153963,"Diclofenac Rapid ""Orifarm""",DICLOFENACKALIUM,52,28103307501,M01AB05,3355,1124300,Diclofenac
10671,"Diclofenac Rapid ""Orifarm""",DICLOFENACKALIUM,325,28103307501,M01AB05,3355,1124300,Diclofenac
6778,"Diclofenac Rapid ""Teva""",DICLOFENACKALIUM,658,28103185700,M01AB05,3355,1124300,Diclofenac
6789,"Diclofenac Rapid ""Teva""",DICLOFENACKALIUM,189,28103185700,M01AB05,3355,1124300,Diclofenac
6623,"Diclofenac Rapid ""Teva""",DICLOFENACKALIUM,101,28103185700,M01AB05,3355,1124300,Diclofenac
89610,"Diclofenac Rapid ""Teva""",DICLOFENACKALIUM,29,28103185700,M01AB05,3355,1124300,Diclofenac
14426,"Diclofenac Retard ""Actavis""",,48,28103355202,,,,
14437,"Diclofenac Retard ""Actavis""",,26,28103355202,,,,
14459,"Diclofenac Retard ""Actavis""",,67,28103355302,,,,
14470,"Diclofenac Retard ""Actavis""",,58,28103355302,,,,
29592,"Diclofenacnatrium ""Stulln""",DICLOFENACNATRIUM,46,28103548803,S01BC03,3355,1124300,Diclofenac
26842,Diclon,DICLOFENACNATRIUM,30,28103106599,M01AB05,3355,1124300,Diclofenac
30544,Diclon,,110,28101350089,,,,
30288,Diclon,,73,28101273186,,,,
26796,Diclon,DICLOFENACNATRIUM,37,28103106499,M01AB05,3355,1124300,Diclofenac
29561,Diclon,DICLOFENACNATRIUM,213,28101273586,M01AB05,3355,1124300,Diclofenac
30528,Diclon,,182,28101350089,,,,
30163,Diclon,,405,28101273286,,,,
29843,Diclon,,501,28101273286,,,,
29520,Diclon,,44,28101273486,,,,
570440,Diclon,,49,28103052898,,,,
29835,Diclon,DICLOFENACNATRIUM,36,28101273586,M01AB05,3355,1124300,Diclofenac
570457,Diclon,,159,28103052898,,,,
30494,Diclon,,117,28101350089,,,,
26830,Diclon,DICLOFENACNATRIUM,37,28103106599,M01AB05,3355,1124300,Diclofenac
570465,Diclon,,62,28103052898,,,,
10402,Diclon Rapid,DICLOFENACKALIUM,46,28103308401,M01AB05,3355,1124300,Diclofenac
10472,Diclon Rapid,DICLOFENACKALIUM,128,28103308401,M01AB05,3355,1124300,Diclofenac
10428,Diclon Rapid,DICLOFENACKALIUM,312,28103308401,M01AB05,3355,1124300,Diclofenac
52952,"Dicloxacillin ""Arrow""",DICLOXACILLINNATRIUM (vandfrit),127,28103512903,J01CF01,3356,1724666,Dicloxacillin
83790,Didronate,,98,28101062381,,,,
577494,Didronate,,204,28101062381,,,,
388439,"Didronate/Calcium ""Procter & Gamble""",,33,28101848896,,,,
16789,Didronel,,58,28101584293,,,,
411637,"Dienoestrol ""Cilag""",,86,28100650374,,,,
95083,Difenet,,75,28101443691,,,,
95091,Difenet,,45,28101443691,,,,
391540,Difenet,,38,28101874797,,,,
572677,Difenet,,46,28101443691,,,,
95075,Difenet,,45,28101443591,,,,
74393,Diflonid,,93,28101120782,,,,
446930,Diflucan,FLUCONAZOL,472,28101309287,J02AC01,4450,1754994,Fluconazole
446807,Diflucan,FLUCONAZOL,89,28101309187,J02AC01,4450,1754994,Fluconazole
566992,Diflucan,FLUCONAZOL,76,28101309287,J02AC01,4450,1754994,Fluconazole
426312,Diflucan,FLUCONAZOL,135,28101309287,J02AC01,4450,1754994,Fluconazole
183418,"Digoxin ""DAK""",DIGOXIN,1755,28100709776,C01AA05,3407,1326303,Digoxin
183434,"Digoxin ""DAK""",DIGOXIN,536,28100709876,C01AA05,3407,1326303,Digoxin
472229,"Digoxin ""DAK""",DIGOXIN,144,28100709776,C01AA05,3407,1326303,Digoxin
183400,"Digoxin ""DAK""",DIGOXIN,8242,28100709776,C01AA05,3407,1326303,Digoxin
158725,"Diklofenak ""Mylan""",,47,28101300487,,,,
160739,"Diklofenak ""Mylan""",,27,28101300487,,,,
115575,"Diklofenak ""Orifarm""",DICLOFENACNATRIUM,42,28103528903,M01AB05,3355,1124300,Diclofenac
80624,"Diklofenak ""Orifarm""",DICLOFENACNATRIUM,30,28103528903,M01AB05,3355,1124300,Diclofenac
115586,"Diklofenak ""Orifarm""",DICLOFENACNATRIUM,45,28103528903,M01AB05,3355,1124300,Diclofenac
558692,Dilcor,,49,28101445891,,,,
558684,Dilcor,,38,28101445891,,,,
565382,Dimitone,,34,28101596294,,,,
565325,Dimitone,,78,28101342388,,,,
565275,Dimitone,,47,28101596294,,,,
578492,Dimitone,,28,28101342388,,,,
565374,Dimitone,,119,28101797995,,,,
25444,Diovan,VALSARTAN,88,28103995606,C09CA03,69749,1308842,valsartan
5976,Diovan,VALSARTAN,55,28103275201,C09CA03,69749,1308842,valsartan
127328,Diovan,,40,28104244207,,,,
5910,Diovan,VALSARTAN,60,28103275101,C09CA03,69749,1308842,valsartan
18681,Diovan,VALSARTAN,75,28103764205,C09CA03,69749,1308842,valsartan
5932,Diovan,VALSARTAN,219,28103275101,C09CA03,69749,1308842,valsartan
5954,Diovan,VALSARTAN,30,28103275201,C09CA03,69749,1308842,valsartan
398776,Diovan,,78,28101833696,,,,
22708,"Diovan Comp 160 mg/12,5 mg","HYDROCHLORTHIAZID, VALSARTAN",90,28103512703,C09DA03,,,
13767,Diovan Comp 160 mg/25 mg,"HYDROCHLORTHIAZID, VALSARTAN",30,28103678704,C09DA03,,,
436022,"Diovan Comp 80 mg/12,5 mg","HYDROCHLORTHIAZID, VALSARTAN",44,28101933897,C09DA03,,,
436030,"Diovan Comp 80 mg/12,5 mg","HYDROCHLORTHIAZID, VALSARTAN",189,28101933897,C09DA03,,,
145490,Diproderm,BETAMETHASONDIPROPIONAT,77,28100615172,D07AC01,1514,920458,Betamethasone
3769,Diproderm,BETAMETHASONDIPROPIONAT,50,28103143900,D07AC01,1514,920458,Betamethasone
145482,Diproderm,BETAMETHASONDIPROPIONAT,339,28100615172,D07AC01,1514,920458,Betamethasone
3746,Diproderm,BETAMETHASONDIPROPIONAT,119,28103143900,D07AC01,1514,920458,Betamethasone
385211,Diproderm,BETAMETHASONDIPROPIONAT,65,28101735194,D07AC01,1514,920458,Betamethasone
571125,Diproderm,,77,28101560393,,,,
408732,Diproderm,BETAMETHASONDIPROPIONAT,44,28100636573,D07AC01,1514,920458,Betamethasone
7864,Diproderm,,67,28101560493,,,,
571034,Diproderm,BETAMETHASON,69,28101560293,D07AC01,1514,920458,Betamethasone
408757,Diproderm,BETAMETHASONDIPROPIONAT,71,28100636473,D07AC01,1514,920458,Betamethasone
408724,Diproderm,BETAMETHASONDIPROPIONAT,105,28100636573,D07AC01,1514,920458,Betamethasone
385229,Diproderm,BETAMETHASONDIPROPIONAT,79,28101735194,D07AC01,1514,920458,Betamethasone
408773,Diproderm,BETAMETHASONDIPROPIONAT,49,28100636473,D07AC01,1514,920458,Betamethasone
8672,Diproderm,BETAMETHASON,53,28101560293,D07AC01,1514,920458,Betamethasone
145508,Diproderm,BETAMETHASONDIPROPIONAT,37,28100615172,D07AC01,1514,920458,Betamethasone
413438,Diprofos Depot,"BETAMETHASONDINATRIUMPHOSPHAT, BETAMETH",41,28104732010,H02AB01,1514,920458,Betamethasone
35790,Diprolen,BETAMETHASONDIPROPIONAT,34,28101100782,D07AC01,1514,920458,Betamethasone
35808,Diprolen,BETAMETHASONDIPROPIONAT,165,28101100782,D07AC01,1514,920458,Betamethasone
182873,Diprolen,BETAMETHASONDIPROPIONAT,99,28101207285,D07AC01,1514,920458,Betamethasone
181595,Diprophos,"BETAMETHASONDINATRIUMPHOSPHAT, BETAMETH",36,28104930111,H02AB01,1514,920458,Betamethasone
8176,Diprosalic,"BETAMETHASONDIPROPIONAT, SALICYLSYRE",28,28101560693,D07XC01,1514,920458,Betamethasone
103587,Diprosalic,"BETAMETHASONDIPROPIONAT, SALICYLSYRE",36,28104106807,D07XC01,1514,920458,Betamethasone
418665,Diprosalic,"BETAMETHASONDIPROPIONAT, SALICYLSYRE",47,28100698876,D07XC01,1514,920458,Betamethasone
418657,Diprosalic,"BETAMETHASONDIPROPIONAT, SALICYLSYRE",74,28100698876,D07XC01,1514,920458,Betamethasone
157693,Diprosalic,"BETAMETHASONDIPROPIONAT, SALICYLSYRE",38,28100928577,D07XC01,1514,920458,Betamethasone
572016,Diprosalic,,91,28101532392,,,,
572057,Diprosalic,"BETAMETHASONDIPROPIONAT, SALICYLSYRE",26,28101560693,D07XC01,1514,920458,Betamethasone
504332,Diprospan,,36,28103046098,,,,
477631,Diprospan,"BETAMETHASONDINATRIUMPHOSPHAT, BETAMETH",42,28100901376,H02AB01,1514,920458,Betamethasone
177360,Diprospan,"BETAMETHASONDINATRIUMPHOSPHAT, BETAMETH",475,28100901376,H02AB01,1514,920458,Betamethasone
13824,Diprospan,"BETAMETHASONDINATRIUMPHOSPHAT, BETAMETH",52,28100901376,H02AB01,1514,920458,Betamethasone
498048,Diprospan,"BETAMETHASONDINATRIUMPHOSPHAT, BETAMETH",683,28100901376,H02AB01,1514,920458,Betamethasone
13802,Diprospan,"BETAMETHASONDINATRIUMPHOSPHAT, BETAMETH",199,28100901376,H02AB01,1514,920458,Betamethasone
192228,"Dipyridamol ""Alternova""",Dipyridamol,54,28105062012,B01AC07,3521,1331270,Dipyridamole
559971,Discotrine,GLYCERYLTRINITRAT,54,28101415390,C01DA02,4917,1361711,Nitroglycerin
112615,Discotrine,GLYCERYLTRINITRAT,33,28101415490,C01DA02,4917,1361711,Nitroglycerin
80465,Disipal,,359,28100031155,,,,
42879,Disipal,,168,28100673575,,,,
447482,Diural,FUROSEMID,122,28100656474,C03CA01,4603,956874,Furosemide
595421,Diural,FUROSEMID,94,28100656374,C03CA01,4603,956874,Furosemide
139162,Diural,FUROSEMID,1496,28100656474,C03CA01,4603,956874,Furosemide
447490,Diural,FUROSEMID,2282,28100656474,C03CA01,4603,956874,Furosemide
11031,Diural,FUROSEMID,64,28101028679,C03CA01,4603,956874,Furosemide
595462,Diural,FUROSEMID,218,28100656574,C03CA01,4603,956874,Furosemide
396507,Divina,"ESTRADIOLVALERAT, MEDROXYPROGESTERONACE",32,28101808696,G03FB06,,,
29587,Divina,,47,28101255186,,,,
433045,Divina Plus,"ESTRADIOLVALERAT, MEDROXYPROGESTERONACE",63,28101837196,G03FB06,,,
593269,Dogmatil,SULPIRID,260,28101406590,N05AL01,10239,19136626,Sulpiride
28209,Dogmatil,,320,28100685375,,,,
24059,Doktacillin,,133,28101290487,,,,
59063,Dolol,TRAMADOLHYDROCHLORID,167,28101809996,N02AX02,10689,1103314,Tramadol
463440,Dolol,TRAMADOLHYDROCHLORID,104,28101809996,N02AX02,10689,1103314,Tramadol
535807,Dolol,TRAMADOLHYDROCHLORID,117,28101917397,N02AX02,10689,1103314,Tramadol
42347,Dolol,TRAMADOLHYDROCHLORID,86,28101809996,N02AX02,10689,1103314,Tramadol
382507,Dolol,TRAMADOLHYDROCHLORID,1730,28101809996,N02AX02,10689,1103314,Tramadol
389901,Dolol,TRAMADOLHYDROCHLORID,120,28101809996,N02AX02,10689,1103314,Tramadol
59014,Dolol,TRAMADOLHYDROCHLORID,1943,28101809996,N02AX02,10689,1103314,Tramadol
59071,Dolol,TRAMADOLHYDROCHLORID,3157,28101809996,N02AX02,10689,1103314,Tramadol
149108,Dolol Retard UNO,TRAMADOLHYDROCHLORID,59,28103391102,N02AX02,10689,1103314,Tramadol
149097,Dolol Retard UNO,TRAMADOLHYDROCHLORID,71,28103391102,N02AX02,10689,1103314,Tramadol
448217,Doloproct,"Fluocortolonpivalat, LIDOCAINHYDROCHLOR",27,28101220085,C05AA08,4463,19055344,Fluocortolone
187377,Doloxene,,100,28101013760,,,,
174318,Doltard,MORPHINSULFAT,26,28101380289,N02AA01,477468,19112635,Morphine Liposomal
174144,Doltard,MORPHINSULFAT,301,28101380289,N02AA01,7052,1110410,Morphine
174144,Doltard,MORPHINSULFAT,301,28101380289,N02AA01,477468,19112635,Morphine Liposomal
174318,Doltard,MORPHINSULFAT,26,28101380289,N02AA01,7052,1110410,Morphine
174136,Doltard,MORPHINSULFAT,470,28101380189,N02AA01,7052,1110410,Morphine
174136,Doltard,MORPHINSULFAT,470,28101380189,N02AA01,477468,19112635,Morphine Liposomal
174060,Doltard,MORPHINSULFAT,68,28101380189,N02AA01,7052,1110410,Morphine
173575,Doltard,MORPHINSULFAT,102,28101380389,N02AA01,7052,1110410,Morphine
174060,Doltard,MORPHINSULFAT,68,28101380189,N02AA01,477468,19112635,Morphine Liposomal
173575,Doltard,MORPHINSULFAT,102,28101380389,N02AA01,477468,19112635,Morphine Liposomal
403533,Doltard,MORPHINSULFAT,70,28101380189,N02AA01,477468,19112635,Morphine Liposomal
403533,Doltard,MORPHINSULFAT,70,28101380189,N02AA01,7052,1110410,Morphine
487264,Domanion,,670,28101336088,,,,
487280,Domanion,,290,28101336188,,,,
38828,Domanion,,392,28101336188,,,,
503680,Domnamid,,70,28100656974,,,,
19971,"Domperidon ""Alternova""",DOMPERIDON,52,28103635304,A03FA03,3626,19037833,Domperidone
135118,"Donepezil ""Krka""","Donepezilhydrochlorid, monohydrat",44,28104854011,N06DA02,135447,715997,donepezil
135130,"Donepezil ""Krka""","Donepezilhydrochlorid, monohydrat",68,28104854011,N06DA02,135447,715997,donepezil
580809,"Donepezilhydrochlorid ""Actavis""",Donepezilhydrochlorid,38,28104458108,N06DA02,135447,715997,donepezil
112516,Donobid,,37,28100914877,,,,
20990,Donobid,,43,28100914877,,,,
688003,Dosisekspeditionsgebyr,,3220,,,,,
688002,Dosispakningsgebyr - pakket fra andet apotek,,2318,,,,,
688001,Dosispakningsgebyr - pakket fra eget apotek,,54,,,,,
373951,Dostinex,CABERGOLIN,97,28101439891,G02CB03,47579,1558471,cabergoline
41915,"Doxazosin ""Orifarm""",DOXAZOSINMESILAT,44,28103438602,C02CA04,49276,1363053,Doxazosin
150319,"Doxazosin ""Orifarm""",DOXAZOSINMESILAT,80,28103438602,C02CA04,49276,1363053,Doxazosin
20806,"Doxazosin ""Stada""",DOXAZOSINMESILAT,88,28103432302,C02CA04,49276,1363053,Doxazosin
13244,"Doxazosin Retard ""Arrow""",DOXAZOSINMESILAT,56,28103432202,C02CA04,49276,1363053,Doxazosin
30260,Dracanyl Turbuhaler,,25,28103863605,,,,
19454,Dracanyl Turbuhaler,,121,28103648204,,,,
421016,Dulcolax,BISACODYL,58,28100232757,A06AB02,1596,924939,Bisacodyl
49524,DuoTrav,"TIMOLOLMALEAT, Travoprost",56,28103808805,S01ED51,,,
