vnr,drug_concept_id,concept_class_id,pname,frequency,strnum,strunut,dosf_lt,concept_name,note
142323,40010935,Clinical Drug Form,Haiprex,185,1,G,tabletter,Atropine / Benzoic Acid / Hyoscyamine / Methenamine / Methylene blue / salol Oral Tablet,""
85251,1548199,Clinical Drug,"Østradiol ""DLF""",184,2,MG,filmovertrukne tabletter,Estradiol 2 MG Oral Tablet,""
8326,19063848,Clinical Drug,Betnovat,184,1,MGM,kutanopløsning,Betamethasone 1 MG/ML Topical Solution,""
557686,40052171,Clinical Drug Form,Isodur,184,60,MG,"depotkapsler, hårde",Isosorbide Mononitrate Extended Release Capsule,""
557686,40012586,Clinical Drug Form,Isodur,184,60,MG,"depotkapsler, hårde",Aspirin / Isosorbide Mononitrate 24 Hour Extended Release Capsule,""
190751,1178727,Clinical Drug,Confortid,184,25,MG,"kapsler, hårde",Indomethacin 25 MG Extended Release Oral Capsule,""
141754,40029129,Clinical Drug Form,Akarin,184,30,MG,filmovertrukne tabletter,Citalopram Oral Tablet,""
481534,19134047,Clinical Drug,Tradolan,184,50,MG,tabletter,tramadol hydrochloride 50 MG Oral Tablet,""
15741,40162307,Clinical Drug,"Diclofenac Rapid ""Actavis""",184,50,MG,filmovertrukne tabletter,Diclofenac Potassium 50 MG Oral Tablet,""
453613,40232769,Clinical Drug,OxyContin,184,80,MG,depottabletter,Oxycodone Hydrochloride 80 MG Extended Release Oral Tablet,""
503847,40131262,Clinical Drug Form,Celestonvalerat,183,0.1,PC,creme,Betamethasone / Fusidate Topical Cream,""
503847,40018131,Clinical Drug Form,Celestonvalerat,183,0.1,PC,creme,Betamethasone / Clotrimazole Topical Cream,""
396787,929889,Clinical Drug,"Lansoprazol ""Actavis""",183,30,MG,"enterokapsler, hårde",lansoprazole 30 MG Delayed Release Oral Capsule,""
503847,40018140,Clinical Drug Form,Celestonvalerat,183,0.1,PC,creme,Betamethasone / Gentamicin Sulfate (USP) / Tolnaftate Topical Cream,""
503847,40018143,Clinical Drug Form,Celestonvalerat,183,0.1,PC,creme,Betamethasone / Gentamicin Sulfate (USP) Topical Cream,""
56929,932750,Clinical Drug,Burinex,183,2,MG,tabletter,Bumetanide 2 MG Oral Tablet,""
12209,989485,Clinical Drug,Avodart,183,0.5,MG,"kapsler, bløde",Dutasteride 0.5 MG Oral Capsule,""
5536,40165773,Clinical Drug,"Enalapril ""1A Farma""",183,20,MG,tabletter,Enalapril Maleate 20 MG Oral Tablet,""
503847,40018129,Clinical Drug Form,Celestonvalerat,183,0.1,PC,creme,Betamethasone / Clioquinol Topical Cream,""
503847,40019108,Clinical Drug Form,Celestonvalerat,183,0.1,PC,creme,Betamethasone Topical Cream,""
503847,46233894,Clinical Drug Form,Celestonvalerat,183,0.1,PC,creme,Betamethasone / hydroquinone / Tretinoin Topical Cream,""
503847,40018154,Clinical Drug Form,Celestonvalerat,183,0.1,PC,creme,Betamethasone / Neomycin Topical Cream,""
503847,40018139,Clinical Drug Form,Celestonvalerat,183,0.1,PC,creme,Betamethasone / Gentamicin Sulfate (USP) / Miconazole Topical Cream,""
503847,40018137,Clinical Drug Form,Celestonvalerat,183,0.1,PC,creme,Betamethasone / Fusidic Acid Topical Cream,""
51326,1353780,Clinical Drug,Plendur,183,2.5,MG,depottabletter,Felodipine 2.5 MG Extended Release Oral Tablet,""
45583,40086860,Clinical Drug Form,Orfiril Long,182,150,MG,"depotkapsler, hårde",Valproic Acid Extended Release Capsule,""
30528,40162326,Clinical Drug,Diclon,182,100,MG,depottabletter,Diclofenac Sodium 100 MG Extended Release Oral Tablet,""
34498,,Not Mapped*,Asasantin Retard,182,,,"depotkapsler, hårde",,B01AC30
509273,19049086,Clinical Drug Comp,Ovestin,182,1,MGG,vaginalcreme,Estriol 1 MG,""
81807,797632,Clinical Drug,"Citalopram ""Sandoz""",181,10,MG,filmovertrukne tabletter,Citalopram 10 MG Oral Tablet,""
83114,19075601,Clinical Drug,"Clopidogrel ""Actavis""",181,75,MG,filmovertrukne tabletter,clopidogrel 75 MG Oral Tablet,""
4255,19019072,Clinical Drug,"Ibuprofen ""Actavis""",180,400,MG,filmovertrukne tabletter,Ibuprofen 400 MG Oral Tablet,""
462432,19133622,Clinical Drug,Myonil,180,60,MG,filmovertrukne tabletter,Diltiazem Hydrochloride 60 MG Oral Tablet,""
559828,19019072,Clinical Drug,Ibumetin,180,400,MG,filmovertrukne tabletter,Ibuprofen 400 MG Oral Tablet,Manual mapping
119164,19133634,Clinical Drug,Myonil Retard,180,180,MG,depottabletter,Diltiazem Hydrochloride 180 MG Extended Release Oral Tablet,""
119164,19134553,Clinical Drug,Myonil Retard,180,180,MG,depottabletter,Diltiazem 180 MG Extended Release Oral Tablet,""
40050,19019418,Clinical Drug,"Omeprazol ""Copyfarm""",180,20,MG,"enterokapsler, hårde",Omeprazole 20 MG Delayed Release Oral Capsule,""
485151,40078282,Clinical Drug Form,Pondocillin,179,700,MG,filmovertrukne tabletter,Pivampicillin Oral Tablet,""
69587,1539407,Clinical Drug,"Simvastatin ""Arrow""",179,40,MG,filmovertrukne tabletter,Simvastatin 40 MG Oral Tablet,""
167796,948079,Clinical Drug,"Pantoprazol ""Sandoz""",179,20,MG,enterotabletter,pantoprazole 20 MG Delayed Release Oral Tablet,""
45150,,Not Mapped*,Ancozan Comp,179,,,filmovertrukne tabletter,,C09DA01
29298,40025668,Clinical Drug Form,Emovat,179,0.05,PC,creme,Clobetasone Topical Cream,""
81852,19023636,Clinical Drug,"Citalopram ""Sandoz""",179,20,MG,filmovertrukne tabletter,Citalopram 20 MG Oral Tablet,""
485151,40008460,Clinical Drug Form,Pondocillin,179,700,MG,filmovertrukne tabletter,Amdinocillin Pivoxil / Pivampicillin Oral Tablet,""
23878,19133634,Clinical Drug,Myonil Retard,179,180,MG,depottabletter,Diltiazem Hydrochloride 180 MG Extended Release Oral Tablet,""
23878,19134553,Clinical Drug,Myonil Retard,179,180,MG,depottabletter,Diltiazem 180 MG Extended Release Oral Tablet,""
134019,19103819,Clinical Drug,"Venlafaxin ""Bluefish""",179,75,MG,"depotkapsler, hårde",venlafaxine 75 MG Extended Release Oral Capsule,""
7985,19002396,Ingredient,Locoid Lipid,178,0.1,PC,creme,Hydrocortisone butyrate,""
5296,766821,Clinical Drug,Seroquel,178,300,MG,filmovertrukne tabletter,quetiapine 300 MG Oral Tablet,""
77230,1115572,Ingredient,Beconase,178,50,RGD,"næsespray, suspension",Beclomethasone,""
139394,19135765,Clinical Drug,Mandolgin,177,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Extended Release Oral Capsule,""
74674,947732,Clinical Drug,Condyline,177,5,MGM,kutanopløsning,podofilox 5 MG/ML Topical Solution,""
15765,739209,Clinical Drug,"Sertralin ""Hexal""",177,50,MG,filmovertrukne tabletter,Sertraline 50 MG Oral Tablet,""
33623,19080217,Clinical Drug,"Pantoprazol ""Actavis""",177,40,MG,enterotabletter,pantoprazole 40 MG Delayed Release Oral Tablet,""
557416,19107949,Clinical Drug,"Kinin ""DAK""",177,100,MG,filmovertrukne tabletter,Quinine 100 MG Oral Tablet,""
21766,19079658,Clinical Drug,Spirix,177,25,MG,tabletter,Spironolactone 25 MG Oral Tablet,""
490821,19123592,Clinical Drug,Zarator,176,20,MG,filmovertrukne tabletter,atorvastatin 20 MG Oral Tablet,""
485904,,Not Mapped*,Corodil Comp,176,,,tabletter,,C09BA02
6091,40132039,Clinical Drug Form,Elocom,176,0.1,PC,creme,Mometasone Topical Cream,""
403929,19019073,Clinical Drug,Ibumetin,176,600,MG,filmovertrukne tabletter,Ibuprofen 600 MG Oral Tablet,Manual mapping
85094,19075394,Clinical Drug,"Citalopram ""Sandoz""",176,40,MG,filmovertrukne tabletter,Citalopram 40 MG Oral Tablet,""
3023,,Not Mapped*,Cozaar Comp. Forte,176,,,filmovertrukne tabletter,,C09DA01
142059,40163312,Clinical Drug,"Propranolol ""Mylan""",176,10,MG,filmovertrukne tabletter,Propranolol Hydrochloride 10 MG Oral Tablet,""
38190,19073188,Clinical Drug,Imadrax,176,500,MG,filmovertrukne tabletter,Amoxicillin 500 MG Oral Tablet,""
4233,19019073,Clinical Drug,"Ibuprofen ""Actavis""",176,600,MG,filmovertrukne tabletter,Ibuprofen 600 MG Oral Tablet,""
14677,1755074,Clinical Drug Comp,"Fluconazol ""HEXAL""",176,150,MG,"kapsler, hårde",Fluconazole 150 MG,""
99093,755763,Clinical Drug Comp,Fontex,175,20,MG,"kapsler, hårde",Fluoxetine 20 MG,""
153895,40007090,Clinical Drug Form,"Alendronat ""Mylan""",175,70,MG,tabletter,Alendronic acid Oral Tablet,""
153895,40007077,Clinical Drug Form,"Alendronat ""Mylan""",175,70,MG,tabletter,Alendronic acid / Cholecalciferol Oral Tablet,""
158287,19074697,Clinical Drug,Tegretol,175,200,MG,tabletter,Carbamazepine 200 MG Oral Tablet,""
7107,19080128,Clinical Drug,"Lisinopril ""Actavis""",175,10,MG,tabletter,Lisinopril 10 MG Oral Tablet,""
81870,19075394,Clinical Drug,"Citalopram ""Sandoz""",175,40,MG,filmovertrukne tabletter,Citalopram 40 MG Oral Tablet,""
153895,40173582,Clinical Drug Form,"Alendronat ""Mylan""",175,70,MG,tabletter,Alendronate / Cholecalciferol Oral Tablet,""
153895,40139800,Clinical Drug Form,"Alendronat ""Mylan""",175,70,MG,tabletter,Alendronic acid Oral Tablet,""
470385,40058015,Clinical Drug Form,Flixotide,175,250,RGD,"inhalationsspray, suspension",fluticasone / salmeterol Inhalant Solution,""
441568,19019073,Clinical Drug,"Ibuprofen ""Mylan""",175,600,MG,filmovertrukne tabletter,Ibuprofen 600 MG Oral Tablet,""
166864,19019072,Clinical Drug,"Ibuprofen ""Orifarm""",175,400,MG,filmovertrukne tabletter,Ibuprofen 400 MG Oral Tablet,""
470385,40058087,Clinical Drug Form,Flixotide,175,250,RGD,"inhalationsspray, suspension",fluticasone Inhalant Solution,""
153895,40173617,Clinical Drug Form,"Alendronat ""Mylan""",175,70,MG,tabletter,Alendronate Oral Tablet,""
7008,40228214,Clinical Drug,Benaday,174,10,MG,filmovertrukne tabletter,cetirizine hydrochloride 10 MG Oral Tablet,""
4981,40223815,Clinical Drug,Telfast,174,180,MG,filmovertrukne tabletter,Fexofenadine hydrochloride 180 MG Oral Tablet,""
37358,,Not Mapped*,"Madopar ""125""",174,,,tabletter,,N04BA02
144030,,Not Mapped*,Sinemet Depot Mite,174,,,depottabletter,,N04BA02
30709,739209,Clinical Drug,"Sertralin ""Orion""",174,50,MG,filmovertrukne tabletter,Sertraline 50 MG Oral Tablet,""
452953,19014880,Clinical Drug,Imurel,174,50,MG,filmovertrukne tabletter,Azathioprine 50 MG Oral Tablet,""
16216,1353818,Clinical Drug,"Felodipin ""HEXAL""",174,5,MG,depottabletter,Felodipine 5 MG Extended Release Oral Tablet,""
505867,40082724,Clinical Drug Form,Kenalog med Salicylsyre,174,,,kutanopløsning,Salicylic Acid / Triamcinolone Topical Solution,""
136684,705108,Clinical Drug,"Lamotrigin ""Teva""",174,100,MG,tabletter,lamotrigine 100 MG Oral Tablet,""
94323,19135765,Clinical Drug,"Tramadol ""Actavis""",173,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Extended Release Oral Capsule,""
10283,19063875,Clinical Drug,"Roxithromycin ""Orifarm""",173,150,MG,filmovertrukne tabletter,Roxithromycin 150 MG Oral Tablet,""
25587,1597772,Clinical Drug,"Glimepirid ""Winthrop""",173,2,MG,tabletter,glimepiride 2 MG Oral Tablet,""
20192,739207,Clinical Drug,"Sertralin ""Hexal""",173,100,MG,filmovertrukne tabletter,Sertraline 100 MG Oral Tablet,""
567545,907553,Ingredient,Benaliv,173,50,RGD,"næsespray, suspension",levocabastine,""
143602,1734134,Clinical Drug,Zitromax,173,500,MG,filmovertrukne tabletter,Azithromycin 500 MG Oral Tablet,""
508952,,Not Mapped*,Nuvelle,173,,,tabletter,,G03FB09
129685,1539407,Clinical Drug,"Simvastatin ""Teva""",173,40,MG,filmovertrukne tabletter,Simvastatin 40 MG Oral Tablet,""
193938,19020053,Clinical Drug,Pamol,173,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,Manual mapping
86011,40143514,Clinical Drug Form,Derinik,172,0.088,MG,tabletter,Pramipexole Oral Tablet,""
17326,40015172,Clinical Drug Form,Norspan,172,20,RGT,depotplastre,Buprenorphine Transdermal Patch,""
1408,904457,Clinical Drug,Nexium,172,20,MG,enterotabletter,Esomeprazole 20 MG Delayed Release Oral Tablet,""
5845,715940,Clinical Drug,Cipralex,172,10,MG,filmovertrukne tabletter,Escitalopram 10 MG Oral Tablet,""
60912,19017656,Clinical Drug,"Lercanidipinhydrochlorid ""Actavis""",172,10,MG,filmovertrukne tabletter,lercanidipine 10 MG Oral Tablet,""
146697,,Not Mapped*,"Amoxicillin/clavulansyre ""Actavis""",172,,,tabletter,,J01CR02
401505,19106836,Clinical Drug,"Fenemal ""DLF""",172,50,MG,tabletter,Phenobarbital 50 MG Oral Tablet,""
2350,984236,Clinical Drug,Accutin,172,20,MG,"kapsler, bløde",Isotretinoin 20 MG Oral Capsule,""
77455,19103819,Clinical Drug,"Venlafaxin ""Hexal""",172,75,MG,"depotkapsler, hårde",venlafaxine 75 MG Extended Release Oral Capsule,""
517953,1502856,Clinical Drug,"Tolbutamid ""DAK""",172,500,MG,tabletter,Tolbutamide 500 MG Oral Tablet,""
107821,19044885,Clinical Drug,Imozop,171,7.5,MG,filmovertrukne tabletter,zopiclone 7.5 MG Oral Tablet,""
1115,778479,Clinical Drug,Sirdalud,171,4,MG,tabletter,tizanidine 4 MG Oral Tablet,""
164584,929889,Clinical Drug,"Lansoprazol ""KRKA""",171,30,MG,"enterokapsler, hårde",lansoprazole 30 MG Delayed Release Oral Capsule,""
194696,40085740,Clinical Drug Form,Terbasmin,171,0.25,MGD,"inhalationsspray, suspension",Terbutaline Inhalant Solution,""
162099,40162729,Clinical Drug,Saroten,171,50,MG,tabletter,Amitriptyline Hydrochloride 50 MG Oral Tablet,""
130021,766842,Clinical Drug,Seroquel,171,200,MG,filmovertrukne tabletter,quetiapine 200 MG Oral Tablet,""
24209,40167200,Clinical Drug,"Metoprololsuccinat ""Hexal""",171,100,MG,depottabletter,metoprolol succinate 100 MG Extended Release Oral Tablet,""
29177,,Not Mapped*,Sparkal,170,,,tabletter,,C03EA01
19072,1360411,Clinical Drug Comp,"Glucosamin ""Gelenk""",170,400,MG,filmovertrukne tabletter,Glucosamine 400 MG,""
69184,19020053,Clinical Drug,Arax,170,500,MG,tabletter,Acetaminophen 500 MG Oral Tablet,""
418715,19020053,Clinical Drug,Panodil,170,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,""
19072,19132996,Clinical Drug Comp,"Glucosamin ""Gelenk""",170,400,MG,filmovertrukne tabletter,Glucosamine hydrochloride 400 MG,""
460196,19063885,Clinical Drug,Flemoxin Solutab,170,500,MG,opløselige tabletter,Amoxicillin 500 MG Disintegrating Oral Tablet,""
1394,904457,Clinical Drug,Nexium,170,20,MG,enterotabletter,Esomeprazole 20 MG Delayed Release Oral Tablet,""
465252,1189760,Clinical Drug,Vioxx,170,12.5,MG,tabletter,rofecoxib 12.5 MG Oral Tablet,""
518241,40162353,Clinical Drug Comp,Modifenac,169,75,MG,kapsler med modificeret udløsning,Diclofenac Sodium 75 MG,""
21044,45892980,Clinical Drug Form,Coversyl Novum,169,2.5,MG,filmovertrukne tabletter,Amlodipine / Perindopril Oral Tablet,""
21044,40049453,Clinical Drug Form,Coversyl Novum,169,2.5,MG,filmovertrukne tabletter,Indapamide / Perindopril Oral Tablet,""
21044,40068357,Clinical Drug Form,Coversyl Novum,169,2.5,MG,filmovertrukne tabletter,Perindopril Oral Tablet,""
518241,42705302,Clinical Drug Comp,Modifenac,169,75,MG,kapsler med modificeret udløsning,Diclofenac Potassium 75 MG,""
4586,1597773,Clinical Drug,Amaryl,169,4,MG,tabletter,glimepiride 4 MG Oral Tablet,""
61205,1734134,Clinical Drug,"Azithromycin ""Teva""",169,500,MG,filmovertrukne tabletter,Azithromycin 500 MG Oral Tablet,""
25009,19019072,Clinical Drug,Burana,169,400,MG,filmovertrukne tabletter,Ibuprofen 400 MG Oral Tablet,""
77987,1703745,Clinical Drug,"Aciclovir ""Actavis""",169,200,MG,tabletter,Acyclovir 200 MG Oral Tablet,""
48932,40228214,Clinical Drug,Allercetin,168,10,MG,filmovertrukne tabletter,cetirizine hydrochloride 10 MG Oral Tablet,""
452995,40232727,Clinical Drug,OxyContin,168,20,MG,depottabletter,Oxycodone Hydrochloride 20 MG Extended Release Oral Tablet,""
451682,19018976,Clinical Drug,Hexabotin,168,500,MG,filmovertrukne tabletter,Erythromycin 500 MG Oral Tablet,""
42879,19026335,Ingredient,Disipal,168,100,MG,tabletter,Orphenadrine Hydrochloride,""
23971,929889,Clinical Drug,"Lansoprazol ""KRKA""",168,30,MG,"enterokapsler, hårde",lansoprazole 30 MG Delayed Release Oral Capsule,""
451682,1747296,Clinical Drug,Hexabotin,168,500,MG,filmovertrukne tabletter,Erythromycin Estolate 500 MG Oral Tablet,""
451682,19125430,Clinical Drug,Hexabotin,168,500,MG,filmovertrukne tabletter,erythromycin stearate 500 MG Oral Tablet,""
84560,736021,Clinical Drug,Risperanne,168,0.5,MG,filmovertrukne tabletter,Risperidone 0.5 MG Oral Tablet,""
16307,1334492,Clinical Drug,"Ramipril ""Nycomed""",168,5,MG,tabletter,Ramipril 5 MG Oral Tablet,""
114090,929953,Clinical Drug,Lanzo,168,15,MG,enterokapsler,lansoprazole 15 MG Delayed Release Oral Capsule,""
52975,905233,Ingredient,Nasonex,168,50,RGD,"næsespray, suspension",Mometasone,""
16296,19070900,Ingredient,Ovitrelle,168,250,RG,"injektionsvæske, opløsning",choriogonadotropin alfa,""
162636,,Not Mapped*,Rontyl med Kaliumklorid,168,,,tabletter,,C03AB02
465450,19080243,Clinical Drug,Vioxx,168,25,MG,tabletter,rofecoxib 25 MG Oral Tablet,""
9386,961050,Clinical Drug,"Ranitidin ""Ratiopharm""",167,150,MG,filmovertrukne tabletter,Ranitidine 150 MG Oral Tablet,""
59063,19135765,Clinical Drug,Dolol,167,50,MG,"kapsler, hårde",tramadol hydrochloride 50 MG Extended Release Oral Capsule,""
14717,1755074,Clinical Drug Comp,"Fluconazol ""HEXAL""",166,150,MG,"kapsler, hårde",Fluconazole 150 MG,""
503284,19020053,Clinical Drug,Pinex,166,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,""
5733,40232726,Clinical Drug Comp,Oxynorm,166,20,MG,"kapsler, hårde",Oxycodone Hydrochloride 20 MG,""
5733,1125113,Clinical Drug Comp,Oxynorm,166,20,MG,"kapsler, hårde",Oxycodone 20 MG,""
409977,766820,Clinical Drug,"Quetiapin ""Accord""",166,25,MG,filmovertrukne tabletter,quetiapine 25 MG Oral Tablet,""
578799,19007738,Clinical Drug,Tolmin,165,10,MG,filmovertrukne tabletter,Mianserin 10 MG Oral Tablet,""
453480,40232727,Clinical Drug,OxyContin,165,20,MG,depottabletter,Oxycodone Hydrochloride 20 MG Extended Release Oral Tablet,""
35808,920828,Clinical Drug Comp,Diprolen,165,0.5,MGG,salve,Betamethasone 0.5 MG,""
528315,40058013,Clinical Drug Form,Flixotide Diskus,165,250,RG,inhalationspulver,fluticasone / salmeterol Inhalant Powder,""
528315,40058083,Clinical Drug Form,Flixotide Diskus,165,250,RG,inhalationspulver,fluticasone Inhalant Powder,""
586602,40228214,Clinical Drug,Zyrtec,164,10,MG,filmovertrukne tabletter,cetirizine hydrochloride 10 MG Oral Tablet,""
4298,19096758,Clinical Drug,Aerius,164,5,MG,filmovertrukne tabletter,desloratadine 5 MG Oral Tablet,""
18898,1755074,Clinical Drug Comp,"Fluconazol ""Nycomed""",164,150,MG,"kapsler, hårde",Fluconazole 150 MG,""
518050,19078603,Clinical Drug,Mixtard 30/70 Pen,164,100,IUM,"injektionsvæske, suspension","insulin human, isophane 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Injectable Suspension",Manual mapping
593434,798877,Clinical Drug,Rivotril,164,2,MG,tabletter,Clonazepam 2 MG Oral Tablet,""
141663,40072326,Clinical Drug Form,Pilokarpin Isopto,163,2,PC,øjendråber,Neostigmine / Pilocarpine Ophthalmic Solution,""
2294,1154197,Clinical Drug,Singulair,163,4,MG,tyggetabletter,montelukast 4 MG Chewable Tablet,""
445759,19077375,Clinical Drug,Proscar,163,5,MG,filmovertrukne tabletter,Finasteride 5 MG Oral Tablet,""
141663,40076049,Clinical Drug Form,Pilokarpin Isopto,163,2,PC,øjendråber,Pilocarpine / Timolol Ophthalmic Solution,""
141663,40076010,Clinical Drug Form,Pilokarpin Isopto,163,2,PC,øjendråber,Physostigmine / Pilocarpine Ophthalmic Solution,""
141663,40076463,Clinical Drug Form,Pilokarpin Isopto,163,2,PC,øjendråber,Pilocarpine Ophthalmic Solution,""
141663,40131620,Clinical Drug Form,Pilokarpin Isopto,163,2,PC,øjendråber,hyaluronate / Pilocarpine Ophthalmic Solution,""
60830,40163075,Clinical Drug,Anafranil Retard,163,75,MG,depottabletter,Clomipramine Hydrochloride 75 MG Extended Release Oral Tablet,""
43856,19019418,Clinical Drug,"Omeprazol ""Pensa""",163,20,MG,"enterokapsler, hårde",Omeprazole 20 MG Delayed Release Oral Capsule,""
141663,40044099,Clinical Drug Form,Pilokarpin Isopto,163,2,PC,øjendråber,Hyaluronic Acid / Pilocarpine Ophthalmic Solution,""
11008,757690,Clinical Drug,Abilify,163,10,MG,tabletter,aripiprazole 10 MG Oral Tablet,""
141663,40037861,Clinical Drug Form,Pilokarpin Isopto,163,2,PC,øjendråber,Epinephrine / Pilocarpine Ophthalmic Solution,""
570242,40164929,Clinical Drug,Glucophage,162,500,MG,tabletter,Metformin hydrochloride 500 MG Oral Tablet,""
63500,40162878,Clinical Drug,"Bisoprolol ""Actavis""",162,5,MG,tabletter,Bisoprolol Fumarate 5 MG Oral Tablet,""
77693,40165773,Clinical Drug,Corodil,162,20,MG,tabletter,Enalapril Maleate 20 MG Oral Tablet,""
526798,40086856,Clinical Drug Form,Orfiril,162,600,MG,enterotabletter,Valproic Acid Enteric Coated Tablet,""
116342,40165773,Clinical Drug,"Enalapril ""Actavis""",162,20,MG,tabletter,Enalapril Maleate 20 MG Oral Tablet,""
24973,19007332,Clinical Drug,"Methotrexat ""Sandoz""",162,2.5,MG,tabletter,Methotrexate 2.5 MG Oral Tablet,""
593384,798875,Clinical Drug,Rivotril,161,0.5,MG,tabletter,Clonazepam 0.5 MG Oral Tablet,""
115048,19018875,Clinical Drug,Aciloc,161,400,MG,tabletter,Cimetidine 400 MG Oral Tablet,""
33924,40165245,Clinical Drug,Crestor,161,10,MG,filmovertrukne tabletter,Rosuvastatin calcium 10 MG Oral Tablet,""
47340,19063885,Clinical Drug,Flemoxin Solutab,160,500,MG,opløselige tabletter,Amoxicillin 500 MG Disintegrating Oral Tablet,""
55279,948079,Clinical Drug,"Pantoprazol ""Nycomed""",160,20,MG,enterotabletter,pantoprazole 20 MG Delayed Release Oral Tablet,""
155515,40177829,Clinical Drug,Amikal,160,5,MG,tabletter,Amiloride Hydrochloride 5 MG Oral Tablet,""
10356,,Not Mapped*,Activelle,160,,,filmovertrukne tabletter,,G03FA01
530188,,Not Mapped*,Movicol,160,,,"pulver til oral opløsning, enkeltdosisbeholder",,A06AD65
468082,797632,Clinical Drug,Cipramil,160,10,MG,filmovertrukne tabletter,Citalopram 10 MG Oral Tablet,""
570457,40162362,Clinical Drug,Diclon,159,75,MG,depottabletter,Diclofenac Sodium 75 MG Extended Release Oral Tablet,""
118315,40162324,Clinical Drug Comp,Voltaren,159,100,MG,suppositorier,Diclofenac Sodium 100 MG,""
118315,42705258,Clinical Drug Comp,Voltaren,159,100,MG,suppositorier,Diclofenac Potassium 100 MG,""
6606,44785040,Clinical Drug Comp,"Gabapentin ""Actavis""",159,300,MG,"kapsler, hårde",gabapentin enacarbil 300 MG,""
6606,797432,Clinical Drug Comp,"Gabapentin ""Actavis""",159,300,MG,"kapsler, hårde",gabapentin 300 MG,""
11978,1353818,Clinical Drug,"Felodipin ""Actavis""",158,5,MG,depottabletter,Felodipine 5 MG Extended Release Oral Tablet,""
483663,19082349,Clinical Drug,Vibeden,158,1,MGM,"injektionsvæske, opløsning",Hydroxocobalamin 1 MG/ML Injectable Solution,""
443143,40241955,Clinical Drug,"Klorokinfosfat ""DAK""",158,250,MG,filmovertrukne tabletter,chloroquine phosphate 250 MG Oral Tablet,""
503144,19018787,Clinical Drug,Allocodan,157,300,MG,tabletter,Allopurinol 300 MG Oral Tablet,""
37531,40126805,Clinical Drug Form,Elocon,157,0.1,PC,kutanopløsning,Mometasone Topical Solution,""
116331,40165762,Clinical Drug,"Enalapril ""Actavis""",157,10,MG,tabletter,Enalapril Maleate 10 MG Oral Tablet,""
68445,40169046,Clinical Drug,Tambocor,157,100,MG,tabletter,Flecainide Acetate 100 MG Oral Tablet,""
31999,,Not Mapped*,"Amoxicillin/clavuvlansyre ""2care4""",157,,,filmovertrukne tabletter,,J01CR02
63374,,Not Mapped*,Anartan Comp.,156,,,filmovertrukne tabletter,,C09DA01
137521,,Not Mapped*,Oculac,156,50,MGM,"øjendråber, opløsning, enkeltdosisbeholder",,S01XA20
91842,1103361,Clinical Drug,"Tramadol Retard ""Actavis""",156,100,MG,depottabletter,tramadol hydrochloride 100 MG Extended Release Oral Tablet,""
24514,1113262,Clinical Drug Comp,"Magnyl Svage ""DAK""",156,150,MG,filmovertrukne tabletter,Aspirin 150 MG,""
545194,19091575,Clinical Drug Comp,Brentan,156,1200,MG,"vaginalkapsler, bløde",Miconazole 1200 MG,""
545194,40185207,Clinical Drug Comp,Brentan,156,1200,MG,"vaginalkapsler, bløde",Miconazole Nitrate 1200 MG,""
35485,19007332,Clinical Drug,"Methotrexate ""Orifarm""",156,2.5,MG,tabletter,Methotrexate 2.5 MG Oral Tablet,""
75291,40171905,Clinical Drug,Veraloc,156,40,MG,tabletter,Verapamil hydrochloride 40 MG Oral Tablet,""
418095,1596920,Clinical Drug,Mixtard 20/80 Pen,156,100,IUM,"injektionsvæske, suspension","insulin human, isophane 80 UNT/ML / Regular Insulin, Human 20 UNT/ML Injectable Suspension",Manual mapping
496810,,Not Mapped*,Ketodur,156,25,MG,depotkapsler,,N02AB01
75267,19018875,Clinical Drug,Aciloc,156,400,MG,tabletter,Cimetidine 400 MG Oral Tablet,""
13901,1596977,Ingredient,Insulatard InnoLet,156,100,IUM,"injektionsvæske, suspension, fyldt pen","Regular Insulin, Human",""
35064,40185276,Clinical Drug,"Losartankalium ""Actavis""",156,100,MG,filmovertrukne tabletter,Losartan Potassium 100 MG Oral Tablet,""
22807,929889,Clinical Drug,"Lansoprazol ""ratiopharm""",155,30,MG,"enterokapsler, hårde",lansoprazole 30 MG Delayed Release Oral Capsule,""
427245,19021720,Clinical Drug,Noritren,155,25,MG,tabletter,Nortriptyline 25 MG Oral Tablet,""
7133,40165245,Clinical Drug,Crestor,155,10,MG,filmovertrukne tabletter,Rosuvastatin calcium 10 MG Oral Tablet,""
30072,1107882,Clinical Drug,Clarityn,155,10,MG,tabletter,Loratadine 10 MG Oral Tablet,""
93178,,Not Mapped*,"Enalapril Hydrochlorthiazid ""Teva""",155,,,tabletter,,C09BA02
13668,1539411,Clinical Drug,"Simvastatin ""Hexal""",154,20,MG,filmovertrukne tabletter,Simvastatin 20 MG Oral Tablet,""
87914,42902742,Clinical Drug,Lantus Solo Star,154,100,UML,"injektionsvæske, opløsning, fyldt pen",Insulin Glargine 100 UNT/ML Pen Injector,""
