vnr,ingredient_concept_id,drug_concept_id,concept_class_id,ma,pname,frequency,streng,strengtodecimal,dosf_lt,ao,concept_name,ingredient_concept_name,amount_value,numerator_value,denominator_value,dose_concept_id
28249,1545958,1545996,Clinical Drug,|,"Atorvastatin ""Hexal""",77,40 mg,40,filmovertrukne tabletter,|,atorvastatin 40 MG Oral Tablet,atorvastatin,40,,,19082573
28249,1545958,1545994,Clinical Drug Comp,|,"Atorvastatin ""Hexal""",77,40 mg,40,filmovertrukne tabletter,|,atorvastatin 40 MG,atorvastatin,40,,,
28348,1236744,1236754,Clinical Drug,|,Bricanyl Turbohaler,52,"0,5 mg/dosis",0.5,inhalationspulver,|,Terbutaline 0.5 MG/ACTUAT Inhalant Solution,Terbutaline,,0.5,,19095898
28348,1236744,40163429,Clinical Drug,|,Bricanyl Turbohaler,52,"0,5 mg/dosis",0.5,inhalationspulver,|,Terbutaline Sulfate 0.5 MG Inhalant Powder,Terbutaline,0.5,,,19082259
28348,1236744,40163431,Clinical Drug,|,Bricanyl Turbohaler,52,"0,5 mg/dosis",0.5,inhalationspulver,|,Terbutaline Sulfate 0.5 MG/ML Injectable Solution,Terbutaline,,0.5,,19082103
28348,1236744,1236770,Clinical Drug Comp,|,Bricanyl Turbohaler,52,"0,5 mg/dosis",0.5,inhalationspulver,|,Terbutaline 0.5 MG/ACTUAT,Terbutaline,,0.5,,
28348,1236744,40163428,Clinical Drug Comp,|,Bricanyl Turbohaler,52,"0,5 mg/dosis",0.5,inhalationspulver,|,Terbutaline Sulfate 0.5 MG,Terbutaline,0.5,,,
28348,1236744,40163430,Clinical Drug Comp,|,Bricanyl Turbohaler,52,"0,5 mg/dosis",0.5,inhalationspulver,|,Terbutaline Sulfate 0.5 MG/ML,Terbutaline,,0.5,,
28387,715233,19021513,Clinical Drug,|,"Baklofen ""Mylan""",34,25 mg,25,tabletter,|,Baclofen 25 MG Oral Tablet,Baclofen,25,,,19082573
28387,715233,715278,Clinical Drug Comp,|,"Baklofen ""Mylan""",34,25 mg,25,tabletter,|,Baclofen 25 MG,Baclofen,25,,,
28396,1115008,19008095,Clinical Drug,|,"Naproxen-E ""Mylan""",37,250 mg,250,enterotabletter,|,Naproxen 250 MG Delayed Release Oral Tablet,Naproxen,250,,,19001949
28396,1115008,19060300,Clinical Drug,|,"Naproxen-E ""Mylan""",37,250 mg,250,enterotabletter,|,Naproxen 250 MG Oral Capsule,Naproxen,250,,,19082168
28396,1115008,19019272,Clinical Drug,|,"Naproxen-E ""Mylan""",37,250 mg,250,enterotabletter,|,Naproxen 250 MG Oral Tablet,Naproxen,250,,,19082573
28396,1115008,19105457,Clinical Drug,|,"Naproxen-E ""Mylan""",37,250 mg,250,enterotabletter,|,Naproxen 250 MG Rectal Suppository,Naproxen,250,,,19082200
28396,1115008,1115070,Clinical Drug Comp,|,"Naproxen-E ""Mylan""",37,250 mg,250,enterotabletter,|,Naproxen 250 MG,Naproxen,250,,,
28407,930021,40235405,Clinical Drug,|,Xatral,79,"2,5 mg",2.5,filmovertrukne tabletter,|,Alfuzosin hydrochloride 2.5 MG Extended Release Oral Tablet,alfuzosin,2.5,,,19082079
28407,930021,40235406,Clinical Drug,|,Xatral,79,"2,5 mg",2.5,filmovertrukne tabletter,|,Alfuzosin hydrochloride 2.5 MG Oral Tablet,alfuzosin,2.5,,,19082573
28407,930021,40235404,Clinical Drug Comp,|,Xatral,79,"2,5 mg",2.5,filmovertrukne tabletter,|,Alfuzosin hydrochloride 2.5 MG,alfuzosin,2.5,,,
28442,916005,916008,Clinical Drug,|,Vesicare,62,10 mg,10,filmovertrukne tabletter,|,solifenacin succinate 10 MG Oral Tablet,Solifenacin,10,,,19082573
28442,916005,916009,Clinical Drug Comp,|,Vesicare,62,10 mg,10,filmovertrukne tabletter,|,solifenacin succinate 10 MG,Solifenacin,10,,,
28497,720810,,,|,Oprymea,47,"0,088 mg",0.088,tabletter,|,,Pramipexole,,,,
28498,,,,|,Cardizem Retard,465,120 mg,120,depottabletter,|,,,,,,
28519,720810,,,|,Oprymea,47,"0,18 mg",0.18,tabletter,|,,Pramipexole,,,,
28531,720810,,,|,Oprymea,41,"0,7 mg",0.7,tabletter,|,,Pramipexole,,,,
28589,930021,40235405,Clinical Drug,|,Xatral,290,"2,5 mg",2.5,filmovertrukne tabletter,|,Alfuzosin hydrochloride 2.5 MG Extended Release Oral Tablet,alfuzosin,2.5,,,19082079
28589,930021,40235406,Clinical Drug,|,Xatral,290,"2,5 mg",2.5,filmovertrukne tabletter,|,Alfuzosin hydrochloride 2.5 MG Oral Tablet,alfuzosin,2.5,,,19082573
28589,930021,40235404,Clinical Drug Comp,|,Xatral,290,"2,5 mg",2.5,filmovertrukne tabletter,|,Alfuzosin hydrochloride 2.5 MG,alfuzosin,2.5,,,
28645,,,,|,"Amlodipin ""Pfizer""",27,5 mg,5,tabletter,|,,,,,,
28722,930021,40235401,Clinical Drug,|,"Alfuzosin ""Orifarm""",49,10 mg,10,depottabletter,|,Alfuzosin hydrochloride 10 MG Extended Release Oral Capsule,alfuzosin,10,,,19082077
28722,930021,40164024,Clinical Drug,|,"Alfuzosin ""Orifarm""",49,10 mg,10,depottabletter,|,Alfuzosin hydrochloride 10 MG Extended Release Oral Tablet,alfuzosin,10,,,19082079
28722,930021,40164023,Clinical Drug Comp,|,"Alfuzosin ""Orifarm""",49,10 mg,10,depottabletter,|,Alfuzosin hydrochloride 10 MG,alfuzosin,10,,,
28738,,,,|,Estraderm,48,50 mikg/24 timer,50,depotplastre,|,,,,,,
28761,906780,19123254,Clinical Drug,|,Primperan,41,5 mg/ml,5,"injektionsvÃ¦ske, oplÃ¸sning",|,Metoclopramide 5 MG Disintegrating Oral Tablet,Metoclopramide,5,,,19082076
28761,906780,906933,Clinical Drug,|,Primperan,41,5 mg/ml,5,"injektionsvÃ¦ske, oplÃ¸sning",|,Metoclopramide 5 MG Oral Tablet,Metoclopramide,5,,,19082573
28761,906780,19061971,Clinical Drug,|,Primperan,41,5 mg/ml,5,"injektionsvÃ¦ske, oplÃ¸sning",|,Metoclopramide 5 MG Rectal Suppository,Metoclopramide,5,,,19082200
28761,906780,19078921,Clinical Drug,|,Primperan,41,5 mg/ml,5,"injektionsvÃ¦ske, oplÃ¸sning",|,Metoclopramide 5 MG/ML Injectable Solution,Metoclopramide,,5,,19082103
28761,906780,42902426,Clinical Drug,|,Primperan,41,5 mg/ml,5,"injektionsvÃ¦ske, oplÃ¸sning",|,Metoclopramide 5 MG/ML Prefilled Syringe,Metoclopramide,,5,,19126920
28761,906780,43532946,Clinical Drug,|,Primperan,41,5 mg/ml,5,"injektionsvÃ¦ske, oplÃ¸sning",|,Metoclopramide Hydrochloride 5 MG/ML Oral Solution,Metoclopramide,,5,,19082170
28761,906780,906938,Clinical Drug Comp,|,Primperan,41,5 mg/ml,5,"injektionsvÃ¦ske, oplÃ¸sning",|,Metoclopramide 5 MG,Metoclopramide,5,,,
28761,906780,906935,Clinical Drug Comp,|,Primperan,41,5 mg/ml,5,"injektionsvÃ¦ske, oplÃ¸sning",|,Metoclopramide 5 MG/ML,Metoclopramide,,5,,
28761,906780,43532750,Clinical Drug Comp,|,Primperan,41,5 mg/ml,5,"injektionsvÃ¦ske, oplÃ¸sning",|,Metoclopramide Hydrochloride 5 MG/ML,Metoclopramide,,5,,
28861,19055729,,,|,"Alendronat ""Stada""",96,70 mg,70,tabletter,|,,Alendronic acid,,,,
28870,19055729,,,|,"Alendronat ""Stada""",259,70 mg,70,tabletter,|,,Alendronic acid,,,,
28888,929887,929889,Clinical Drug,|,"Lansoprazol ""Stada""",91,30 mg,30,"enterokapsler, hÃ¥rde",|,lansoprazole 30 MG Delayed Release Oral Capsule,lansoprazole,30,,,19082255
28888,929887,19098167,Clinical Drug,|,"Lansoprazol ""Stada""",91,30 mg,30,"enterokapsler, hÃ¥rde",|,lansoprazole 30 MG Disintegrating Oral Tablet,lansoprazole,30,,,19082076
28888,929887,19113636,Clinical Drug,|,"Lansoprazol ""Stada""",91,30 mg,30,"enterokapsler, hÃ¥rde",|,lansoprazole 30 MG Extended Release Oral Capsule,lansoprazole,30,,,19082077
28888,929887,19121169,Clinical Drug,|,"Lansoprazol ""Stada""",91,30 mg,30,"enterokapsler, hÃ¥rde",|,lansoprazole 30 MG Extended Release Oral Tablet,lansoprazole,30,,,19082079
28888,929887,19095273,Clinical Drug Comp,|,"Lansoprazol ""Stada""",91,30 mg,30,"enterokapsler, hÃ¥rde",|,lansoprazole 30 MG,lansoprazole,30,,,
28897,929887,929889,Clinical Drug,|,"Lansoprazol ""Stada""",52,30 mg,30,"enterokapsler, hÃ¥rde",|,lansoprazole 30 MG Delayed Release Oral Capsule,lansoprazole,30,,,19082255
28897,929887,19098167,Clinical Drug,|,"Lansoprazol ""Stada""",52,30 mg,30,"enterokapsler, hÃ¥rde",|,lansoprazole 30 MG Disintegrating Oral Tablet,lansoprazole,30,,,19082076
28897,929887,19113636,Clinical Drug,|,"Lansoprazol ""Stada""",52,30 mg,30,"enterokapsler, hÃ¥rde",|,lansoprazole 30 MG Extended Release Oral Capsule,lansoprazole,30,,,19082077
28897,929887,19121169,Clinical Drug,|,"Lansoprazol ""Stada""",52,30 mg,30,"enterokapsler, hÃ¥rde",|,lansoprazole 30 MG Extended Release Oral Tablet,lansoprazole,30,,,19082079
28897,929887,19095273,Clinical Drug Comp,|,"Lansoprazol ""Stada""",52,30 mg,30,"enterokapsler, hÃ¥rde",|,lansoprazole 30 MG,lansoprazole,30,,,
28915,,,,|,Cosopt,29,5+20 mg/ml,,"Ã¸jendrÃ¥ber, oplÃ¸sning",|,,,,,,
28964,1332418,19129157,Clinical Drug,|,"Amlodipin ""Sandoz""",58,5 mg,5,tabletter,|,Amlodipine 5 MG Disintegrating Oral Tablet,Amlodipine,5,,,19082076
28964,1332418,19108731,Clinical Drug,|,"Amlodipin ""Sandoz""",58,5 mg,5,tabletter,|,Amlodipine 5 MG Extended Release Oral Capsule,Amlodipine,5,,,19082077
28964,1332418,19103475,Clinical Drug,|,"Amlodipin ""Sandoz""",58,5 mg,5,tabletter,|,Amlodipine 5 MG Oral Capsule,Amlodipine,5,,,19082168
28964,1332418,1332419,Clinical Drug,|,"Amlodipin ""Sandoz""",58,5 mg,5,tabletter,|,Amlodipine 5 MG Oral Tablet,Amlodipine,5,,,19082573
28964,1332418,1332450,Clinical Drug Comp,|,"Amlodipin ""Sandoz""",58,5 mg,5,tabletter,|,Amlodipine 5 MG,Amlodipine,5,,,
28975,1332418,19129157,Clinical Drug,|,"Amlodipin ""Sandoz""",542,5 mg,5,tabletter,|,Amlodipine 5 MG Disintegrating Oral Tablet,Amlodipine,5,,,19082076
28975,1332418,19108731,Clinical Drug,|,"Amlodipin ""Sandoz""",542,5 mg,5,tabletter,|,Amlodipine 5 MG Extended Release Oral Capsule,Amlodipine,5,,,19082077
28975,1332418,19103475,Clinical Drug,|,"Amlodipin ""Sandoz""",542,5 mg,5,tabletter,|,Amlodipine 5 MG Oral Capsule,Amlodipine,5,,,19082168
28975,1332418,1332419,Clinical Drug,|,"Amlodipin ""Sandoz""",542,5 mg,5,tabletter,|,Amlodipine 5 MG Oral Tablet,Amlodipine,5,,,19082573
28975,1332418,1332450,Clinical Drug Comp,|,"Amlodipin ""Sandoz""",542,5 mg,5,tabletter,|,Amlodipine 5 MG,Amlodipine,5,,,
28986,1332418,19129157,Clinical Drug,|,"Amlodipin ""Sandoz""",151,5 mg,5,tabletter,|,Amlodipine 5 MG Disintegrating Oral Tablet,Amlodipine,5,,,19082076
28986,1332418,19108731,Clinical Drug,|,"Amlodipin ""Sandoz""",151,5 mg,5,tabletter,|,Amlodipine 5 MG Extended Release Oral Capsule,Amlodipine,5,,,19082077
28986,1332418,19103475,Clinical Drug,|,"Amlodipin ""Sandoz""",151,5 mg,5,tabletter,|,Amlodipine 5 MG Oral Capsule,Amlodipine,5,,,19082168
28986,1332418,1332419,Clinical Drug,|,"Amlodipin ""Sandoz""",151,5 mg,5,tabletter,|,Amlodipine 5 MG Oral Tablet,Amlodipine,5,,,19082573
28986,1332418,1332450,Clinical Drug Comp,|,"Amlodipin ""Sandoz""",151,5 mg,5,tabletter,|,Amlodipine 5 MG,Amlodipine,5,,,
28998,1332418,19129155,Clinical Drug,|,"Amlodipin ""Sandoz""",30,10 mg,10,tabletter,|,Amlodipine 10 MG Disintegrating Oral Tablet,Amlodipine,10,,,19082076
28998,1332418,19073093,Clinical Drug,|,"Amlodipin ""Sandoz""",30,10 mg,10,tabletter,|,Amlodipine 10 MG Oral Tablet,Amlodipine,10,,,19082573
28998,1332418,1332448,Clinical Drug Comp,|,"Amlodipin ""Sandoz""",30,10 mg,10,tabletter,|,Amlodipine 10 MG,Amlodipine,10,,,
29010,1332418,19129155,Clinical Drug,|,"Amlodipin ""Sandoz""",384,10 mg,10,tabletter,|,Amlodipine 10 MG Disintegrating Oral Tablet,Amlodipine,10,,,19082076
29010,1332418,19073093,Clinical Drug,|,"Amlodipin ""Sandoz""",384,10 mg,10,tabletter,|,Amlodipine 10 MG Oral Tablet,Amlodipine,10,,,19082573
29010,1332418,1332448,Clinical Drug Comp,|,"Amlodipin ""Sandoz""",384,10 mg,10,tabletter,|,Amlodipine 10 MG,Amlodipine,10,,,
29021,1332418,19129155,Clinical Drug,|,"Amlodipin ""Sandoz""",128,10 mg,10,tabletter,|,Amlodipine 10 MG Disintegrating Oral Tablet,Amlodipine,10,,,19082076
29021,1332418,19073093,Clinical Drug,|,"Amlodipin ""Sandoz""",128,10 mg,10,tabletter,|,Amlodipine 10 MG Oral Tablet,Amlodipine,10,,,19082573
29021,1332418,1332448,Clinical Drug Comp,|,"Amlodipin ""Sandoz""",128,10 mg,10,tabletter,|,Amlodipine 10 MG,Amlodipine,10,,,
29043,797617,19124512,Clinical Drug,|,"Citalopram ""Orifarm""",50,20 mg,20,filmovertrukne tabletter,|,Citalopram 20 MG Disintegrating Oral Tablet,Citalopram,20,,,19082076
29043,797617,19127394,Clinical Drug,|,"Citalopram ""Orifarm""",50,20 mg,20,filmovertrukne tabletter,|,Citalopram 20 MG Oral Capsule,Citalopram,20,,,19082168
29043,797617,19023636,Clinical Drug,|,"Citalopram ""Orifarm""",50,20 mg,20,filmovertrukne tabletter,|,Citalopram 20 MG Oral Tablet,Citalopram,20,,,19082573
29043,797617,797636,Clinical Drug Comp,|,"Citalopram ""Orifarm""",50,20 mg,20,filmovertrukne tabletter,|,Citalopram 20 MG,Citalopram,20,,,
29066,1149380,,,|,Flixonase,1276,50 mikg/dosis,50,"nÃ¦sespray, suspension",|,,fluticasone,,,,
29078,,,,|,Valdoxan,154,25 mg,25,filmovertrukne tabletter,|,,,,,,
29100,,,,|,Valdoxan,51,25 mg,25,filmovertrukne tabletter,|,,,,,,
29116,,,,|,Primperan,104,10 mg,10,tabletter,|,,,,,,
29166,,,,|,Sparkal Mite,62,"25 + 2,5 mg",,tabletter,|,,,,,,
29177,,,,|,Sparkal,170,50 + 5 mg,,tabletter,|,,,,,,
29298,19005129,,,|,Emovat,179,0.05%,0.05,creme,|,,Clobetasone,,,,
29512,906780,19063195,Clinical Drug,|,Gastro-Timelets,103,30 mg,30,"depotkapsler, hÃ¥rde",|,Metoclopramide 30 MG Extended Release Oral Capsule,Metoclopramide,30,,,19082077
29512,906780,19090629,Clinical Drug Comp,|,Gastro-Timelets,103,30 mg,30,"depotkapsler, hÃ¥rde",|,Metoclopramide 30 MG,Metoclopramide,30,,,
29520,,,,|,Diclon,44,50 mg,50,suppositorier,|,,,,,,
29525,,,,|,"Lansoprazol ""Actavis""",47,30 mg,30,"enterokapsler, hÃ¥rde",|,,,,,,
29534,,,,|,"Lansoprazol ""Actavis""",29,30 mg,30,"enterokapsler, hÃ¥rde",|,,,,,,
29546,906780,19063195,Clinical Drug,|,Gastro-Timelets,93,30 mg,30,"depotkapsler, hÃ¥rde",|,Metoclopramide 30 MG Extended Release Oral Capsule,Metoclopramide,30,,,19082077
29546,906780,19090629,Clinical Drug Comp,|,Gastro-Timelets,93,30 mg,30,"depotkapsler, hÃ¥rde",|,Metoclopramide 30 MG,Metoclopramide,30,,,
29561,1124300,42707517,Clinical Drug,|,Diclon,213,100 mg,100,suppositorier,|,Diclofenac Potassium 100 MG Oral Capsule,Diclofenac,100,,,19082168
29561,1124300,42707583,Clinical Drug,|,Diclon,213,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Delayed Release Oral Tablet,Diclofenac,100,,,19001949
29561,1124300,40162325,Clinical Drug,|,Diclon,213,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Extended Release Oral Capsule,Diclofenac,100,,,19082077
29561,1124300,40162326,Clinical Drug,|,Diclon,213,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Extended Release Oral Tablet,Diclofenac,100,,,19082079
29561,1124300,42707518,Clinical Drug,|,Diclon,213,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Oral Capsule,Diclofenac,100,,,19082168
29561,1124300,42707584,Clinical Drug,|,Diclon,213,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Oral Tablet,Diclofenac,100,,,19082573
29561,1124300,40162328,Clinical Drug,|,Diclon,213,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Rectal Suppository,Diclofenac,100,,,19082200
29561,1124300,42705258,Clinical Drug Comp,|,Diclon,213,100 mg,100,suppositorier,|,Diclofenac Potassium 100 MG,Diclofenac,100,,,
29561,1124300,40162324,Clinical Drug Comp,|,Diclon,213,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG,Diclofenac,100,,,
29587,,,,|,Divina,47,,,tabletter,|,,,,,,
29592,1124300,40162321,Clinical Drug,|,"Diclofenacnatrium ""Stulln""",46,1 mg/ml,1,"Ã¸jendrÃ¥ber, oplÃ¸sning, enkeltdosisbeholder",|,Diclofenac Sodium 1 MG/ML Ophthalmic Solution,Diclofenac,,1,,19129634
29592,1124300,40162320,Clinical Drug Comp,|,"Diclofenacnatrium ""Stulln""",46,1 mg/ml,1,"Ã¸jendrÃ¥ber, oplÃ¸sning, enkeltdosisbeholder",|,Diclofenac Sodium 1 MG/ML,Diclofenac,,1,,
29775,,,,|,Geodon,42,40 mg,40,"kapsler, hÃ¥rde",|,,,,,,
29835,1124300,42707517,Clinical Drug,|,Diclon,36,100 mg,100,suppositorier,|,Diclofenac Potassium 100 MG Oral Capsule,Diclofenac,100,,,19082168
29835,1124300,42707583,Clinical Drug,|,Diclon,36,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Delayed Release Oral Tablet,Diclofenac,100,,,19001949
29835,1124300,40162325,Clinical Drug,|,Diclon,36,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Extended Release Oral Capsule,Diclofenac,100,,,19082077
29835,1124300,40162326,Clinical Drug,|,Diclon,36,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Extended Release Oral Tablet,Diclofenac,100,,,19082079
29835,1124300,42707518,Clinical Drug,|,Diclon,36,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Oral Capsule,Diclofenac,100,,,19082168
29835,1124300,42707584,Clinical Drug,|,Diclon,36,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Oral Tablet,Diclofenac,100,,,19082573
29835,1124300,40162328,Clinical Drug,|,Diclon,36,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG Rectal Suppository,Diclofenac,100,,,19082200
29835,1124300,42705258,Clinical Drug Comp,|,Diclon,36,100 mg,100,suppositorier,|,Diclofenac Potassium 100 MG,Diclofenac,100,,,
29835,1124300,40162324,Clinical Drug Comp,|,Diclon,36,100 mg,100,suppositorier,|,Diclofenac Sodium 100 MG,Diclofenac,100,,,
29843,,,,|,Diclon,501,50 mg,50,enterotabletter,|,,,,,,
29855,,,,|,"Clozapin ""2care4""",27,100 mg,100,tabletter,|,,,,,,
30043,1563600,19077733,Clinical Drug,|,Pregnyl,30,5000 IE,5000,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",|,Chorionic Gonadotropin 5000 UNT/ML Injectable Solution,Chorionic Gonadotropin,,5000,,19082103
30043,1563600,19099479,Clinical Drug Comp,|,Pregnyl,30,5000 IE,5000,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",|,Chorionic Gonadotropin 5000 UNT/ML,Chorionic Gonadotropin,,5000,,
30072,,,,|,Clarityn,155,10 mg,10,tabletter,|,,,,,,
30163,,,,|,Diclon,405,50 mg,50,enterotabletter,|,,,,,,
30260,,,,|,Dracanyl Turbuhaler,25,"0,5 mg/dosis",0.5,inhalationspulver,|,,,,,,
30288,,,,|,Diclon,73,25 mg,25,enterotabletter,|,,,,,,
30336,1517070,,,|,"Desmopressin ""Paranova""",49,120 mikrog,120,smeltetabletter,|,,desmopressin,,,,
30351,,,,|,"Ketoconazol ""Alternova""",33,2%,2,shampoo,|,,,,,,
30353,797617,19124512,Clinical Drug,|,Cipramil,47,20 mg,20,filmovertrukne tabletter,|,Citalopram 20 MG Disintegrating Oral Tablet,Citalopram,20,,,19082076
30353,797617,19127394,Clinical Drug,|,Cipramil,47,20 mg,20,filmovertrukne tabletter,|,Citalopram 20 MG Oral Capsule,Citalopram,20,,,19082168
30353,797617,19023636,Clinical Drug,|,Cipramil,47,20 mg,20,filmovertrukne tabletter,|,Citalopram 20 MG Oral Tablet,Citalopram,20,,,19082573
30353,797617,797636,Clinical Drug Comp,|,Cipramil,47,20 mg,20,filmovertrukne tabletter,|,Citalopram 20 MG,Citalopram,20,,,
30494,,,,|,Diclon,117,100 mg,100,depottabletter,|,,,,,,
30528,,,,|,Diclon,182,100 mg,100,depottabletter,|,,,,,,
30544,,,,|,Diclon,110,100 mg,100,depottabletter,|,,,,,,
30577,,,,|,Adalat Oros,98,30 mg,30,depottabletter,|,,,,,,
30620,904453,19123103,Clinical Drug,|,"Esomeprazol ""Sandoz""",32,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Capsule,Esomeprazole,20,,,19082255
30620,904453,904457,Clinical Drug,|,"Esomeprazol ""Sandoz""",32,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Tablet,Esomeprazole,20,,,19001949
30620,904453,904456,Clinical Drug,|,"Esomeprazol ""Sandoz""",32,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Capsule,Esomeprazole,20,,,19082168
30620,904453,19101746,Clinical Drug,|,"Esomeprazol ""Sandoz""",32,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Tablet,Esomeprazole,20,,,19082573
30620,904453,904455,Clinical Drug Comp,|,"Esomeprazol ""Sandoz""",32,20 mg,20,enterotabletter,|,Esomeprazole 20 MG,Esomeprazole,20,,,
30627,800878,800933,Clinical Drug,|,Leponex,40,100 mg,100,tabletter,|,Clozapine 100 MG Disintegrating Oral Tablet,Clozapine,100,,,19082076
30627,800878,800881,Clinical Drug,|,Leponex,40,100 mg,100,tabletter,|,Clozapine 100 MG Oral Tablet,Clozapine,100,,,19082573
30627,800878,19081113,Clinical Drug Comp,|,Leponex,40,100 mg,100,tabletter,|,Clozapine 100 MG,Clozapine,100,,,
30655,904453,19123105,Clinical Drug,|,"Esomeprazol ""Sandoz""",45,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Delayed Release Oral Capsule,Esomeprazole,40,,,19082255
30655,904453,904458,Clinical Drug,|,"Esomeprazol ""Sandoz""",45,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Delayed Release Oral Tablet,Esomeprazole,40,,,19001949
30655,904453,19101790,Clinical Drug,|,"Esomeprazol ""Sandoz""",45,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Oral Capsule,Esomeprazole,40,,,19082168
30655,904453,19101745,Clinical Drug,|,"Esomeprazol ""Sandoz""",45,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Oral Tablet,Esomeprazole,40,,,19082573
30655,904453,904454,Clinical Drug Comp,|,"Esomeprazol ""Sandoz""",45,40 mg,40,enterotabletter,|,Esomeprazole 40 MG,Esomeprazole,40,,,
30709,739138,19061165,Clinical Drug,|,"Sertralin ""Orion""",174,50 mg,50,filmovertrukne tabletter,|,Sertraline 50 MG Oral Capsule,Sertraline,50,,,19082168
30709,739138,739209,Clinical Drug,|,"Sertralin ""Orion""",174,50 mg,50,filmovertrukne tabletter,|,Sertraline 50 MG Oral Tablet,Sertraline,50,,,19082573
30709,739138,739211,Clinical Drug Comp,|,"Sertralin ""Orion""",174,50 mg,50,filmovertrukne tabletter,|,Sertraline 50 MG,Sertraline,50,,,
30710,904453,19123103,Clinical Drug,|,"Esomeprazol ""Sandoz""",27,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Capsule,Esomeprazole,20,,,19082255
30710,904453,904457,Clinical Drug,|,"Esomeprazol ""Sandoz""",27,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Tablet,Esomeprazole,20,,,19001949
30710,904453,904456,Clinical Drug,|,"Esomeprazol ""Sandoz""",27,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Capsule,Esomeprazole,20,,,19082168
30710,904453,19101746,Clinical Drug,|,"Esomeprazol ""Sandoz""",27,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Tablet,Esomeprazole,20,,,19082573
30710,904453,904455,Clinical Drug Comp,|,"Esomeprazol ""Sandoz""",27,20 mg,20,enterotabletter,|,Esomeprazole 20 MG,Esomeprazole,20,,,
30721,904453,19123103,Clinical Drug,|,"Esomeprazol ""Sandoz""",29,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Capsule,Esomeprazole,20,,,19082255
30721,904453,904457,Clinical Drug,|,"Esomeprazol ""Sandoz""",29,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Delayed Release Oral Tablet,Esomeprazole,20,,,19001949
30721,904453,904456,Clinical Drug,|,"Esomeprazol ""Sandoz""",29,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Capsule,Esomeprazole,20,,,19082168
30721,904453,19101746,Clinical Drug,|,"Esomeprazol ""Sandoz""",29,20 mg,20,enterotabletter,|,Esomeprazole 20 MG Oral Tablet,Esomeprazole,20,,,19082573
30721,904453,904455,Clinical Drug Comp,|,"Esomeprazol ""Sandoz""",29,20 mg,20,enterotabletter,|,Esomeprazole 20 MG,Esomeprazole,20,,,
30737,956874,956944,Clinical Drug,|,Furix Retard,37,60 mg,60,"depotkapsler, hÃ¥rde",|,Furosemide 60 MG Extended Release Oral Capsule,Furosemide,60,,,19082077
30737,956874,957204,Clinical Drug Comp,|,Furix Retard,37,60 mg,60,"depotkapsler, hÃ¥rde",|,Furosemide 60 MG,Furosemide,60,,,
30755,904453,19123105,Clinical Drug,|,"Esomeprazol ""Sandoz""",28,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Delayed Release Oral Capsule,Esomeprazole,40,,,19082255
30755,904453,904458,Clinical Drug,|,"Esomeprazol ""Sandoz""",28,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Delayed Release Oral Tablet,Esomeprazole,40,,,19001949
30755,904453,19101790,Clinical Drug,|,"Esomeprazol ""Sandoz""",28,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Oral Capsule,Esomeprazole,40,,,19082168
30755,904453,19101745,Clinical Drug,|,"Esomeprazol ""Sandoz""",28,40 mg,40,enterotabletter,|,Esomeprazole 40 MG Oral Tablet,Esomeprazole,40,,,19082573
30755,904453,904454,Clinical Drug Comp,|,"Esomeprazol ""Sandoz""",28,40 mg,40,enterotabletter,|,Esomeprazole 40 MG,Esomeprazole,40,,,
