concept_id,concept_name,concept_code,frequency
9388,peripheral vascular resistance unit,[PRU],1
9369,permeability of vacuum,[mu_0],1
9299,permittivity of vacuum,[eps_0],1
9627,phot,ph,1
9376,pica,[pca],1
8564,picogram,pg,1
8704,picogram per cell,pg/{cell},1
8820,picogram per deciliter,pg/dL,1
9625,picogram per liter,pg/L,1
44777638,picogram per microiliter,pg/uL,1
8845,picogram per milliliter,pg/mL,1
9626,picogram per millimeter,pg/mm,1
44777639,picokatal,pkat,1
9628,picoliter,pL,1
9629,picometer,pm,1
44777641,picomol per gram hemoglobin,pmol/g{HGB},1
44777642,picomol per hour and milligram of hemoglobin,pmol/h/mg{HGB},1
44777643,picomol per kilogram,pmol/kg,1
9630,picomole,pmol,1
44777640,picomole per 24 hours,pmol/(24.h),1
9631,picomole per deciliter,pmol/dL,1
9148,picomole per eight times 10 to the 8th red blood cells,pmol/8.10*8.{RBC},1
8729,picomole per liter,pmol/L,1
9633,picomole per micromole,pmol/umol,1
9632,picomole per milliliter,pmol/mL,1
9634,picosecond,ps,1
9381,pied french foot,[pied],1
9390,pint (British),[pt_br],1
9391,pint (US),[pt_us],1
9320,planck constant,[h],1
9384,point,[pnt],1
9622,poise,P,1
8641,poise per gram,p/g,1
9386,pouce french inch,[pouce],1
8739,pound (US),[lb_us],1
9343,pound (apothecary),[lb_ap],1
9345,pound (troy system),[lb_tr],1
9346,pound force (avoirdupois),[lbf_av],1
9389,pound per sqare inch,[psi],1
9377,printer's pica,[pca_pr],1
9385,printer's point,[pnt_pr],1
9378,prism diopter,[p'diop],1
9357,proton mass,[m_p],1
9393,quart (British),[qt_br],1
9394,quart (US),[qt_us],1
9636,radian,rad,1
9637,radiation absorbed dose,RAD,1
9638,radiation equivalent man,REM,1
8523,ratio,{ratio},1
8606,ratio unit,[ratio'U],1
44777571,red blood cells per high power field,{RBC}/[HPF],1
9428,red blood cells per microliter,{RBC}/uL,1
8598,relative,{relative},1
44777572,relative to H2O,{relative'to'H2O},1
44777573,relative to saline,{relative'to'saline},1
8509,risk,{risk},1
9396,rod (British),[rd_br],1
9397,rod (US),[rd_us],1
9635,roentgen,R,1
44777566,score,[score],1
9400,scruple,[sc_ap],1
8555,second,s,1
9212,second,'',1
9401,section,[sct],1
9409,short ton (US),[ston_av],1
9639,siemens,S,1
9645,sievert,Sv,1
8779,signal to cutoff ratio,{signal}/[{CO'ratio}],1
9407,smoot,[smoot],1
8631,sperm motility at 60 minutes,%{sperm'motility'at'60'min},1
9430,spermatozoa per milliliter,{sperm}/mL,1
9641,sphere,sph,1
9403,square foot,[sft_i],1
9404,square inch,[sin_i],1
8617,square meter,m2,1
9406,square mile,[smi_us],1
9572,square millimeter,mm2,1
9408,square rod,[srd_us],1
9411,square yard,[syd_i],1
9313,standard acceleration of free fall,[g],1
9454,standard atmosphere,atm,1
9362,statute mile,[mi_i],1
9642,steradian,sr,1
9643,stere,st,1
9640,stilb,sb,1
9644,stokes,St,1
9410,stone,[stone_av],1
8565,streptozyme (STZ) agglutination titer unit,[STZ'unit],1
9583,synodal month,mo_s,1
9412,tablespoon,[tbs_us],1
9431,tablet,{tbl},1
9416,teaspoon,[tsp_us],1
9455,technical atmosphere,att,1
9646,tesla,T,1
9380,the number pi,[pi],1
9447,the number ten,10^,1
9264,thermal unit (British),[Btu],1
9268,thermal unit (international),[Btu_IT],1
9270,thermochemical British Thermal Unit,[Btu_th],1
9477,thermochemical calorie,cal_th,1
8566,thousand,10*3,1
44777579,thousand allergen-specific IgE antibody units per liter,10*3.[UA]/L,1
44777580,thousand cells per liter,10*3.{cells}/L,1
44777581,thousand copies per liter,10*3.{copies}/L,1
9437,thousand copies per milliliter,10*3.{copies}/mL,1
8961,thousand per cubic millimeter,10*3/mm3,1
9435,thousand per liter,10*3/L,1
8848,thousand per microliter,10*3/uL,1
9436,thousand per milliliter,10*3/mL,1
9434,thousand red blood cells,10*3.{RBC},1
44777576,thousand red blood cells,10*3(rbc),1
8938,thousandth per microliter,10*-3/uL,1
8524,times,.,1
8628,times average,{times'avg},1
8525,titer,{titer},1
9647,tonne,t,1
9417,township,[twp],1
44777575,trillion cells per liter,10*12.{cells}/L,1
8734,trillion per liter,10*12/L,1
44777661,trimester,3.mo,1
9451,tropical year,a_t,1
9413,tuberculin unit,[tb'U],1
45891003,tuberculin unit per milliliter,[tb'U]/mL,1
9648,unified atomic mass unit,u,1
8662,unit per 10,[U]/10,1
8783,unit per 10 cells,[U]/10.{cells},1
44777567,unit per 24 hours,[U]/(24.h),1
45891017,unit per actuation,[U]/{actuat},1
9031,unit per billion red blood cells,[U]/10*12.{RBC},1
44777568,unit per deciliter,[U]/dL,1
45890999,unit per dose,[U]/[dose],1
45891006,unit per drop,[U]/[drop],1
8629,unit per gram,[U]/g,1
8915,unit per gram of creatinine,[U]/g{creat},1
9651,unit per gram of hemoglobin,[U]/g{HGB},1
8979,unit per gram of total protein,[U]/g{tot'prot},1
8630,unit per hour,[U]/h,1
8645,unit per liter,[U]/L,1
45891030,unit per milligram,[U]/mg,1
8763,unit per milliliter,[U]/mL,1
9083,unit per milliliter of red blood cells,[U]/mL{RBC},1
45891034,unit per square centimeter,[U]/cm2,1
9272,velocity of light,[c],1
9677,volt,V,1
9234,volume percent,%{vol},1
45891010,volume percent volume,{vol}%{vol},1
45891012,volume percent weight,{vol}%{wt},1
9678,watt,W,1
8511,week,wk,1
45891005,week supply,wk{supply},1
45891009,weight percent volume,{wt]%{vol],1
45891011,weight percent weight,{wt}%{wt},1
44777574,white blood cells per high power field,{WBC}/[HPF],1
9316,winchester gallon,[gal_wi],1
9419,yard (British),[yd_br],1
9421,yard (US),[yd_us],1
9420,yard (international),[yd_i],1
9448,year,a,1
