Drugid,Navn,,Lægemiddelform,Styrketekst,AktiveSubstanser,MftIndehaver,ATC-kode,Godkendt procedure,Godkendt rolle,Registreringsdato,Er i Medicinpriser,,Sidst opdateret: 15-03-2016
28104485809,"Buprenorphine ""Bluefish""",,"resoribletter, sublinguale",2 mg,BUPRENORPHINHYDROCHLORID,Bluefish Pharmaceuticals AB,N07BC01,Decentral procedure,CMS,08-07-2010,Ja,,
28104485909,"Buprenorphine ""Bluefish""",,"resoribletter, sublinguale",8 mg,BUPRENORPHINHYDROCHLORID,Bluefish Pharmaceuticals AB,N07BC01,Decentral procedure,CMS,08-07-2010,Ja,,
28103759204,"Buprenorphine ""Ethypharm""",,"resoribletter, sublinguale","0,4 mg",BUPRENORPHINHYDROCHLORID,Ethypharm,N02AE01,MRP,RMS,29-03-2007,Nej,,
28103759304,"Buprenorphine ""Ethypharm""",,"resoribletter, sublinguale",2 mg,BUPRENORPHINHYDROCHLORID,Ethypharm,N07BC01,MRP,RMS,29-03-2007,Nej,,
28103759404,"Buprenorphine ""Ethypharm""",,"resoribletter, sublinguale",8 mg,BUPRENORPHINHYDROCHLORID,Ethypharm,N07BC01,MRP,RMS,29-03-2007,Nej,,
28104576009,"Buprenorphine ""Orifarm""",,"resoribletter, sublinguale",2 mg,BUPRENORPHINHYDROCHLORID,Orifarm Generics A/S,N07BC01,Decentral procedure,CMS,21-12-2010,Ja,,
28104576109,"Buprenorphine ""Orifarm""",,"resoribletter, sublinguale",8 mg,BUPRENORPHINHYDROCHLORID,Orifarm Generics A/S,N07BC01,Decentral procedure,CMS,21-12-2010,Ja,,
28105363113,"Buprenorphine ""Sandoz""",,depotplastre,10 mikrogram/time,BUPRENORPHIN,Sandoz A/S,N02AE01,Decentral procedure,CMS,28-01-2016,Nej,,
28105363213,"Buprenorphine ""Sandoz""",,depotplastre,15 mikrogram/time,BUPRENORPHIN,Sandoz A/S,N02AE01,Decentral procedure,CMS,28-01-2016,Nej,,
28105363313,"Buprenorphine ""Sandoz""",,depotplastre,20 mikrogram/time,BUPRENORPHIN,Sandoz A/S,N02AE01,Decentral procedure,CMS,28-01-2016,Nej,,
28105363013,"Buprenorphine ""Sandoz""",,depotplastre,5 mikrogram/time,BUPRENORPHIN,Sandoz A/S,N02AE01,Decentral procedure,CMS,28-01-2016,Nej,,
28104612209,"Buprenorphine ""Sandoz""",,"resoribletter, sublinguale",2 mg,BUPRENORPHINHYDROCHLORID,Sandoz A/S,N07BC01,Decentral procedure,CMS,31-08-2011,Ja,,
28104612309,"Buprenorphine ""Sandoz""",,"resoribletter, sublinguale",8 mg,BUPRENORPHINHYDROCHLORID,Sandoz A/S,N07BC01,Decentral procedure,CMS,31-08-2011,Ja,,
28104733210,"Buprenorphine ""Teva""",,"resoribletter, sublinguale",2 mg,BUPRENORPHINHYDROCHLORID,Teva Denmark A/S,N07BC01,Decentral procedure,CMS,27-10-2011,Nej,,
28104733310,"Buprenorphine ""Teva""",,"resoribletter, sublinguale",8 mg,BUPRENORPHINHYDROCHLORID,Teva Denmark A/S,N07BC01,Decentral procedure,CMS,27-10-2011,Nej,,
28101212185,Burinex,,"injektionsvæske, opløsning","0,5 mg/ml",BUMETANID,LEO Pharma A/S,C03CA02,National,DKMA,31-10-1985,Ja,,
28100594371,Burinex,,tabletter,1 mg,BUMETANID,LEO Pharma A/S,C03CA02,National,DKMA,11-09-1972,Ja,,
28104394108,Burinex,,tabletter,1 mg,BUMETANID,2care4 ApS,C03CA02,Par-Imp,DKMA,16-12-2008,Ja,,
28104691510,Burinex,,tabletter,1 mg,BUMETANID,Orifarm A/S,C03CA02,Par-Imp,DKMA,02-09-2010,Ja,,
28105552315,Burinex,,tabletter,1 mg,BUMETANID,Paranova Danmark A/S,C03CA02,Par-Imp,DKMA,30-03-2015,Ja,,
28101666494,Burinex,,tabletter,2 mg,BUMETANID,LEO Pharma A/S,C03CA02,MRP,RMS,03-02-1995,Ja,,
28100948277,Burinex,,tabletter,5 mg,BUMETANID,LEO Pharma A/S,C03CA02,National,DKMA,19-12-1978,Ja,,
28104579209,Burinex,,tabletter,5 mg,BUMETANID,2care4 ApS,C03CA02,Par-Imp,DKMA,03-12-2009,Ja,,
28104832011,Burinex,,tabletter,5 mg,BUMETANID,Orifarm A/S,C03CA02,Par-Imp,DKMA,13-09-2011,Ja,,
28105551615,Burinex,,tabletter,5 mg,BUMETANID,Abacus Medicine A/S,C03CA02,Par-Imp,DKMA,30-03-2015,Ja,,
28105619915,Burinex,,tabletter,5 mg,BUMETANID,Paranova Danmark A/S,C03CA02,Par-Imp,DKMA,17-08-2015,Nej,,
28100474065,Buronil,,overtrukne tabletter,25 mg,MELPERONHYDROCHLORID,MediLink A/S,N05AD03,National,DKMA,17-10-1967,Ja,,
28101018155,Buscopan,,"injektionsvæske, opløsning",20 mg/ml,Hyoscinbutylbromid,Boehringer Ingelheim Int. GmbH,A03BB01,National,DKMA,31-10-1955,Ja,,
28100122055,Buscopan,,overtrukne tabletter,10 mg,Hyoscinbutylbromid,Boehringer Ingelheim Int. GmbH,A03BB01,National,DKMA,31-10-1955,Ja,,
28103362802,Busilvex,,"koncentrat til infusionsvæske, opløsning",6 mg/ml,BUSULFAN,Pierre Fabre Medicament,L01AB01,Central,MOD,09-07-2003,Ja,,
28103854705,Busol,,"injektionsvæske, opløsning",4 mikrogram/ml,BUSERELINACETAT,aniMedica GmbH,QH01CA90,National,DKMA,14-05-2007,Ja,,
28103012798,"Buspiron ""Actavis""",,tabletter,10 mg,BUSPIRONHYDROCHLORID,Actavis Group hf.,N05BE01,National,DKMA,29-09-1999,Ja,,
28104785310,"Buspirone ""Orion""",,tabletter,10 mg,BUSPIRONHYDROCHLORID,Orion Corporation,N05BE01,Decentral procedure,CMS,18-07-2012,Ja,,
28104785210,"Buspirone ""Orion""",,tabletter,5 mg,BUSPIRONHYDROCHLORID,Orion Corporation,N05BE01,Decentral procedure,CMS,18-07-2012,Nej,,
28105306013,"Busulfan ""Fresenius Kabi""",,"koncentrat til infusionsvæske, opløsning",6 mg/ml,BUSULFAN,Fresenius Kabi Oncology Plc.,L01AB01,Central,MOD,22-09-2014,Nej,,
28104996611,Butagran Equi,,oralt pulver,200 mg/g,PHENYLBUTAZON,Dopharma Research B.V.,QM01AA01,Decentral procedure,CMS,19-12-2012,Ja,,
28104492609,Butoxvet,,"pour-on, suspension","7,5 mg/ml",Deltamethrin,Intervet International B.V.,QP53AC11,Decentral procedure,CMS,16-04-2010,Ja,,
28104751210,BuTrans,,depotplastre,10 mikrogram/time,BUPRENORPHIN,Norpharma A/S,N02AE01,Decentral procedure,RMS,16-05-2012,Nej,,
28104751310,BuTrans,,depotplastre,20 mikrogram/time,BUPRENORPHIN,Norpharma A/S,N02AE01,Decentral procedure,RMS,16-05-2012,Nej,,
28104751110,BuTrans,,depotplastre,5 mikrogram/time,BUPRENORPHIN,Norpharma A/S,N02AE01,Decentral procedure,RMS,16-05-2012,Nej,,
28101728794,Buventol Easyhaler,,inhalationspulver,100 mikrogram/dosis,SALBUTAMOLSULFAT,Orion Corporation,R03AC02,National,DKMA,08-03-1996,Ja,,
28101728894,Buventol Easyhaler,,inhalationspulver,200 mikrogram/dosis,SALBUTAMOLSULFAT,Orion Corporation,R03AC02,National,DKMA,08-03-1996,Ja,,
28105665015,Buventol Easyhaler,,inhalationspulver,200 mikrogram/dosis,SALBUTAMOLSULFAT,2care4 ApS,R03AC02,Par-Imp,DKMA,29-01-2016,Ja,,
28105692310,Bydureon,,"pulver og solvens til depotinjektionsvæske, suspension",2 mg,Exenatid,AstraZeneca AB,A10BX04,Central,MOD,17-06-2011,Nej,,
28104670810,Bydureon,,"pulver og solvens til depotinjektionsvæske, suspension i fyldt pen",2 mg,Exenatid,AstraZeneca AB,A10BX04,Central,MOD,17-06-2011,Ja,,
28103874105,Byetta,,"injektionsvæske, opløsning, fyldt pen",10 mikrogram,Exenatid,AstraZeneca AB,A10BX04,Central,MOD,20-11-2006,Ja,,
28103874005,Byetta,,"injektionsvæske, opløsning, fyldt pen",5 mikrogram,Exenatid,AstraZeneca AB,A10BX04,Central,MOD,20-11-2006,Ja,,
28101807196,Cabaser,,tabletter,1 mg,CABERGOLIN,Pfizer ApS,N04BC06,National,DKMA,13-03-1996,Ja,,
28101807296,Cabaser,,tabletter,2 mg,CABERGOLIN,Pfizer ApS,N04BC06,National,DKMA,13-03-1996,Ja,,
28105246513,"Cabergolin ""2care4""",,tabletter,"0,5 mg",CABERGOLIN,2care4 ApS,G02CB03,Par-Imp,DKMA,10-06-2014,Ja,,
28105104712,"Cabergoline ""Sandoz""",,tabletter,"0,5 mg",CABERGOLIN,Sandoz A/S,G02CB03,MRP,CMS,21-11-2012,Ja,,
28103928706,"Cabergolin ""Teva""",,tabletter,"0,5 mg",CABERGOLIN,Teva Denmark A/S,G02CB03,Decentral procedure,RMS,29-11-2007,Ja,,
28103928806,"Cabergolin ""Teva""",,tabletter,1 mg,CABERGOLIN,Teva Denmark A/S,N04BC06,Decentral procedure,RMS,29-11-2007,Nej,,
28103928906,"Cabergolin ""Teva""",,tabletter,2 mg,CABERGOLIN,Teva Denmark A/S,N04BC06,Decentral procedure,RMS,29-11-2007,Nej,,
28101716794,Caelyx,,"koncentrat til infusionsvæske, opløsning",2 mg/ml,DOXORUBICINHYDROCHLORID,Janssen-Cilag International NV,L01DB01,Central,MOD,21-06-1996,Ja,,
28101818996,Calcichew-D3 Forte,,tyggetabletter,500 mg+10 mikrogram,"Calciumcarbonat, Cholecalciferol",Takeda Pharma A/S,A12AX,MRP,CMS,20-06-1997,Ja,,
28105503114,Calcichew-D3 Forte,,tyggetabletter,500 mg+10 mikrogram,"Calciumcarbonat, Cholecalciferol",Orifarm A/S,A12AX,Par-Imp,DKMA,30-06-2015,Ja,,
28105626815,Calcichew-D3 Forte,,tyggetabletter,500 mg+10 mikrogram,"Calciumcarbonat, Cholecalciferol",2care4 ApS,A12AX,Par-Imp,DKMA,26-08-2015,Nej,,
28105603715,Calcigran Forte,,tyggetabletter,500 mg+10 mikrogram,"Calciumcarbonat, Cholecalciferol",Orifarm A/S,A12AX,Par-Imp,DKMA,30-06-2015,Nej,,
28101471391,Calciject 30+3 Vet.,,"injektionsvæske, opløsning",249 + 51 + 30 mg/ml,"BORSYRE, CALCIUMGLUCONAT (monohydrat), Magnesiumhypophosphithexahydrat",ScanVet Animal Health A/S,QA12AX,National,DKMA,02-06-1992,Ja,,
28101471191,Calciject 40 Vet.,,"injektionsvæske, opløsning",30mg Ca/ml + 65mg/ml,"BORSYRE, CALCIUMGLUCONAT (monohydrat)",ScanVet Animal Health A/S,QA12AX,National,DKMA,02-06-1992,Ja,,
28101471291,Calciject PMD Vet.,,"injektionsvæske, opløsning",166 +34+200+50 mg/ml,"BORSYRE, CALCIUMGLUCONAT (monohydrat), Glucose, vandfri, Magnesiumhypophosphithexahydrat",ScanVet Animal Health A/S,QA12AX,National,DKMA,02-06-1992,Ja,,
28105548115,"Calcipotriol/Betamethasone ""Sandoz""",,salve,"50 mikrog/g+0,5 mg/g","BETAMETHASON, Calcipotriol",Sandoz A/S,D05AX52,Decentral procedure,CMS,13-01-2016,Nej,,
28105109112,"Calcipotriol/Betamethasone ""Teva""",,salve,"50 mikrog/g+0,5 mg/g","BETAMETHASONDINATRIUMPHOSPHAT, Calcipotriol Hydrate",Teva Denmark A/S,D05AX52,Decentral procedure,CMS,04-09-2013,Nej,,
28103898706,"Calcipotriol ""Sandoz""",,creme,50 mikrogram/g,Calcipotriol,Sandoz A/S,D05AX02,Decentral procedure,CMS,25-06-2007,Nej,,
28103878305,"Calcipotriol ""Sandoz""",,salve,50 mikrogram/g,Calcipotriol,Sandoz A/S,D05AX02,Decentral procedure,CMS,26-03-2007,Nej,,
28101621385,"Calciumchlorid ""SAD""",,"injektionsvæske, opløsning","0,5 MMOL/ML",CALCIUMCHLORIDHEXAHYDRAT,Amgros I/S,A12AA07,National,DKMA,01-10-1986,Nej,,
28104671310,"Calciumfolinat ""Actavis""",,"injektions-/infusionsvæske, opløsning",10 mg/ml,Calciumfolinat,Actavis Group PTC ehf.,V03AF03,Decentral procedure,RMS,20-06-2011,Nej,,
28103159500,"Calciumfolinat ""Ebewe""",,"injektions-/infusionsvæske, opløsning",10 mg/ml,Calciumfolinatpentahydrat,Ebewe Pharma Ges.m.b.H. Nfg. KG,V03AF03,MRP,CMS,30-10-2000,Ja,,
28105476814,"Calciumfolinat ""Fresenius Kabi""",,"injektions-/infusionsvæske, opløsning",10 mg/ml,Calciumfolinat,Fresenius Kabi Deutschland GmbH,V03AF03,Decentral procedure,CMS,07-12-2015,Nej,,
28101946397,"Calciumfolinat ""Hospira""",,"injektionsvæske, opløsning",10 mg/ml,Calciumfolinat,Hospira Nordic AB,V03AF03,National,DKMA,01-12-1999,Ja,,
28103772405,"Calciumgluconat ""B. Braun""",,"injektionsvæske, opløsning",10 %,CALCIUMGLUCONAT (monohydrat),B. Braun Melsungen,B05BB01,MRP,CMS,21-07-2005,Ja,,
28100466264,Calcium-Sandoz,,brusetabletter,500 mg,"Calciumcarbonat, CALCIUMLACTOGLUCONAT",Sandoz A/S,A12AA06,MRP,CMS,27-10-1964,Ja,,
28101515692,Calcium-Sandoz,,brusetabletter,500 mg,"Calciumcarbonat, CALCIUMLACTOGLUCONAT",Paranova Danmark A/S,A12AA06,Par-Imp,DKMA,21-09-1993,Ja,,
28100042755,Calcium-Sandoz,,"injektionsvæske, opløsning",9 mg Ca/ml,Calciumglubionat,Sandoz A/S,A12AA02,National,DKMA,23-05-1955,Nej,,
28103296301,Calfovit D3,,pulver til oral suspension,1200 mg+20 mikrogram,"Cholecalciferol, Tricalciumphosphat",Menarini International Operation,A12AX,MRP,CMS,10-01-2002,Nej,,
52610066899,Calmigen 300,,filmovertrukne tabletter,,Perikum SICCUM ekstrakt (Prikbladet Perikon),Abigo Pharma A/S,N06AX25,Natur,DKMA,23-03-2000,Nej,,
52610064798,Calmigen Caps,,"kapsler, hårde",,Prikbladet Perikon urt ( Perikum) ekstrakt,Jemo-Pharm A/S,N06AX25,Natur,DKMA,27-04-1998,Nej,,
28104895511,Calolex,,"orale dråber, opløsning",20 mg/ml,Escitalopramoxalat,Chanelle Healthcare Limited,N06AB10,Decentral procedure,CMS,23-03-2012,Nej,,
28103419502,Camoxip,,tabletter,15 mg,MELOXICAM,Hexal AG,M01AC06,MRP,RMS,31-10-2003,Nej,,
28103419402,Camoxip,,tabletter,"7,5 mg",MELOXICAM,Hexal AG,M01AC06,MRP,RMS,31-10-2003,Nej,,
28101754395,Campral,,enterotabletter,333 mg,Acamprosatcalcium,Merck Sante s.a.s.,N07BB03,National,DKMA,09-11-1999,Ja,,
28104417408,Campral,,enterotabletter,333 mg,Acamprosatcalcium,EuroPharma.DK ApS,N07BB03,Par-Imp,DKMA,17-02-2009,Ja,,
28105493814,Campral,,enterotabletter,333 mg,Acamprosatcalcium,Paranova Danmark A/S,N07BB03,Par-Imp,DKMA,16-01-2015,Ja,,
28105627615,Campral,,enterotabletter,333 mg,Acamprosatcalcium,Orifarm A/S,N07BB03,Par-Imp,DKMA,31-08-2015,Nej,,
28101828396,Campto,,"koncentrat til infusionsvæske, opløsning",20 mg/ml,IRINOTECANHYDROCHLORIDTRIHYDRAT,Pfizer ApS,L01XX19,MRP,CMS,16-07-1998,Nej,,
28100643674,Canaural,,øredråber,,"Diethanolaminfusidat, Framycetinsulfat, Nystatin, PREDNISOLON",Dechra Veterinary Products A/S,QS02CA01,National,DKMA,08-04-1976,Ja,,
28103198900,Cancidas,,"pulver til koncentrat til infusionsvæske, opløsning",50 mg,CASPOFUNGINACETAT,Merck Sharp & Dohme Ltd.,J02AX04,Central,MOD,24-10-2001,Ja,,
28103199000,Cancidas,,"pulver til koncentrat til infusionsvæske, opløsning",70 mg,CASPOFUNGINACETAT,Merck Sharp & Dohme Ltd.,J02AX04,Central,MOD,24-10-2001,Ja,,
28104577909,Candecombi,,tabletter,"16+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Krka Sverige AB,C09DA06,Decentral procedure,CMS,15-03-2011,Nej,,
28104578009,Candecombi,,tabletter,"32+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Krka Sverige AB,C09DA06,Decentral procedure,CMS,15-03-2011,Nej,,
28104578109,Candecombi,,tabletter,32+25 mg,"CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Krka Sverige AB,C09DA06,Decentral procedure,CMS,15-03-2011,Nej,,
28104577809,Candecombi,,tabletter,"8+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Krka Sverige AB,C09DA06,Decentral procedure,CMS,15-03-2011,Nej,,
28104133607,Candemox,,tabletter,16 mg,CANDESARTANCILEXETIL,Sandoz A/S,C09CA06,Decentral procedure,CMS,06-07-2009,Ja,,
28104133707,Candemox,,tabletter,32 mg,CANDESARTANCILEXETIL,Sandoz A/S,C09CA06,Decentral procedure,CMS,06-07-2009,Ja,,
28104133407,Candemox,,tabletter,4 mg,CANDESARTANCILEXETIL,Sandoz A/S,C09CA06,Decentral procedure,CMS,06-07-2009,Ja,,
28104133507,Candemox,,tabletter,8 mg,CANDESARTANCILEXETIL,Sandoz A/S,C09CA06,Decentral procedure,CMS,06-07-2009,Ja,,
28104359608,Candemox Comp,,tabletter,"16+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Sandoz A/S,C09DA06,Decentral procedure,CMS,23-03-2010,Ja,,
28104625409,"Candesartancilexetil ""Actavis""",,tabletter,16 mg,CANDESARTANCILEXETIL,Actavis Group PTC ehf.,C09CA06,Decentral procedure,RMS,20-09-2011,Nej,,
28104625509,"Candesartancilexetil ""Actavis""",,tabletter,32 mg,CANDESARTANCILEXETIL,Actavis Group PTC ehf.,C09CA06,Decentral procedure,RMS,20-09-2011,Nej,,
28104625209,"Candesartancilexetil ""Actavis""",,tabletter,4 mg,CANDESARTANCILEXETIL,Actavis Group PTC ehf.,C09CA06,Decentral procedure,RMS,20-09-2011,Nej,,
28104625309,"Candesartancilexetil ""Actavis""",,tabletter,8 mg,CANDESARTANCILEXETIL,Actavis Group PTC ehf.,C09CA06,Decentral procedure,RMS,20-09-2011,Nej,,
28104577509,"Candesartancilexetil/Hydrochlorthiazid ""Krka""",,tabletter,"16+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",KRKA d.d. Novo mesto,C09DA06,Decentral procedure,CMS,15-03-2011,Ja,,
28104577609,"Candesartancilexetil/Hydrochlorthiazid ""Krka""",,tabletter,"32+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",KRKA d.d. Novo mesto,C09DA06,Decentral procedure,CMS,15-03-2011,Nej,,
28104577709,"Candesartancilexetil/Hydrochlorthiazid ""Krka""",,tabletter,32+25 mg,"CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",KRKA d.d. Novo mesto,C09DA06,Decentral procedure,CMS,15-03-2011,Nej,,
28104577409,"Candesartancilexetil/Hydrochlorthiazid ""Krka""",,tabletter,"8+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",KRKA d.d. Novo mesto,C09DA06,Decentral procedure,CMS,15-03-2011,Nej,,
28105011312,"Candesartancilexetil ""Labochem""",,tabletter,16 mg,CANDESARTANCILEXETIL,Labochem Ltd,C09CA06,Decentral procedure,RMS,23-07-2013,Nej,,
28105011412,"Candesartancilexetil ""Labochem""",,tabletter,32 mg,CANDESARTANCILEXETIL,Labochem Ltd,C09CA06,Decentral procedure,RMS,23-07-2013,Nej,,
28105011112,"Candesartancilexetil ""Labochem""",,tabletter,4 mg,CANDESARTANCILEXETIL,Labochem Ltd,C09CA06,Decentral procedure,RMS,23-07-2013,Nej,,
28105011212,"Candesartancilexetil ""Labochem""",,tabletter,8 mg,CANDESARTANCILEXETIL,Labochem Ltd,C09CA06,Decentral procedure,RMS,23-07-2013,Nej,,
28105152312,"Candesartan/Hydrochlorothiazide ""Jubilant""",,tabletter,"16+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Jubilant Pharmaceuticals nv,C09DA06,Decentral procedure,CMS,27-08-2013,Nej,,
28105152412,"Candesartan/Hydrochlorothiazide ""Jubilant""",,tabletter,32+25 mg,"CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Jubilant Pharmaceuticals nv,C09DA06,Decentral procedure,CMS,27-08-2013,Nej,,
28104722110,"Candesartan/Hydrochlorothiazide ""Orion""",,tabletter,"16+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Orion Corporation,C09DA06,Decentral procedure,CMS,12-08-2011,Ja,,
28105290513,"Candesartan/Hydrochlorothiazide ""Orion""",,tabletter,"32+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Orion Corporation,C09DA06,Decentral procedure,CMS,23-09-2014,Nej,,
28105290613,"Candesartan/Hydrochlorothiazide ""Orion""",,tabletter,32+25 mg,"CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Orion Corporation,C09DA06,Decentral procedure,CMS,23-09-2014,Nej,,
28104722010,"Candesartan/Hydrochlorothiazide ""Orion""",,tabletter,"8+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Orion Corporation,C09DA06,Decentral procedure,CMS,12-08-2011,Ja,,
28104625709,"Candesartan/Hydrochlorthiazid ""Actavis""",,tabletter,"16+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Actavis Group PTC ehf.,C09DA06,Decentral procedure,RMS,20-09-2011,Nej,,
28105147012,"Candesartan/Hydrochlorthiazid ""Actavis""",,tabletter,"32 mg+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Actavis Group PTC ehf.,C09DA06,Decentral procedure,RMS,03-01-2014,Nej,,
28105147112,"Candesartan/Hydrochlorthiazid ""Actavis""",,tabletter,32 mg+25 mg,"CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Actavis Group PTC ehf.,C09DA06,Decentral procedure,RMS,03-01-2014,Nej,,
28104625609,"Candesartan/Hydrochlorthiazid ""Actavis""",,tabletter,"8+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Actavis Group PTC ehf.,C09DA06,Decentral procedure,RMS,20-09-2011,Nej,,
28104719110,"Candesartan ""Krka""",,tabletter,16 mg,CANDESARTANCILEXETIL,Krka Sverige AB,C09CA06,Decentral procedure,CMS,16-03-2012,Ja,,
28104719210,"Candesartan ""Krka""",,tabletter,32 mg,CANDESARTANCILEXETIL,Krka Sverige AB,C09CA06,Decentral procedure,CMS,16-03-2012,Ja,,
28104718910,"Candesartan ""Krka""",,tabletter,4 mg,CANDESARTANCILEXETIL,Krka Sverige AB,C09CA06,Decentral procedure,CMS,16-03-2012,Ja,,
28104719010,"Candesartan ""Krka""",,tabletter,8 mg,CANDESARTANCILEXETIL,Krka Sverige AB,C09CA06,Decentral procedure,CMS,16-03-2012,Ja,,
28104728910,"Candesartan ""Orion""",,tabletter,16 mg,CANDESARTANCILEXETIL,Orion Corporation,C09CA06,Decentral procedure,CMS,21-11-2011,Ja,,
28104729010,"Candesartan ""Orion""",,tabletter,32 mg,CANDESARTANCILEXETIL,Orion Corporation,C09CA06,Decentral procedure,CMS,21-11-2011,Ja,,
28104728710,"Candesartan ""Orion""",,tabletter,4 mg,CANDESARTANCILEXETIL,Orion Corporation,C09CA06,Decentral procedure,CMS,21-11-2011,Ja,,
28104728810,"Candesartan ""Orion""",,tabletter,8 mg,CANDESARTANCILEXETIL,Orion Corporation,C09CA06,Decentral procedure,CMS,21-11-2011,Ja,,
28105154612,Candexil,,tabletter,"8+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",2care4 ApS,C09DA06,Par-Imp,DKMA,03-12-2012,Ja,,
28104822710,Candiva Comp,,tabletter,"32 mg+12,5 mg","CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Teva Denmark A/S,C09DA06,Decentral procedure,CMS,25-04-2012,Nej,,
28104822910,Candiva Comp,,tabletter,32 mg+25 mg,"CANDESARTANCILEXETIL, HYDROCHLORTHIAZID",Teva Denmark A/S,C09DA06,Decentral procedure,CMS,25-04-2012,Nej,,
28105417014,Canergy Vet.,,tabletter,100 mg,PROPENTOFYLLIN,Le Vet Beheer B.V.,QC04AD90,Decentral procedure,CMS,06-05-2015,Nej,,
28100608472,Canesten,,creme,1%,CLOTRIMAZOL,Bayer AB,D01AC01,National,DKMA,15-07-1974,Ja,,
28100913877,Canesten,,vaginalcreme,1%,CLOTRIMAZOL,Bayer AB,G01AF02,National,DKMA,28-02-1978,Ja,,
28100608672,Canesten,,vaginaltabletter,100 mg,CLOTRIMAZOL,Bayer AB,G01AF02,National,DKMA,15-07-1974,Ja,,
28103587803,Canesten,,vaginaltabletter,100 mg,CLOTRIMAZOL,Orifarm A/S,G01AF02,Par-Imp,DKMA,10-12-2003,Ja,,
28105605915,Canesten,,vaginaltabletter,100 mg,CLOTRIMAZOL,2care4 ApS,G01AF02,Par-Imp,DKMA,17-07-2015,Nej,,
28101084381,Canesten,,vaginaltabletter,500 mg,CLOTRIMAZOL,Bayer AB,G01AF02,National,DKMA,01-09-1982,Ja,,
28103536103,Canesten,,vaginaltabletter,500 mg,CLOTRIMAZOL,Orifarm A/S,G01AF02,Par-Imp,DKMA,30-09-2003,Ja,,
28103863705,Canesten,,vaginaltabletter,500 mg,CLOTRIMAZOL,Paranova Danmark A/S,G01AF02,Par-Imp,DKMA,06-01-2006,Ja,,
28105606115,Canesten,,vaginaltabletter,500 mg,CLOTRIMAZOL,2care4 ApS,G01AF02,Par-Imp,DKMA,17-07-2015,Nej,,
28101892997,Canesten,,vaginaltabletter og creme,500 mg + 10 mg/g,CLOTRIMAZOL,Bayer AB,G01AF02,National,DKMA,30-07-1997,Ja,,
28104394608,Canesten,,vaginaltabletter og creme,500 mg + 10 mg/g,CLOTRIMAZOL,Orifarm A/S,G01AF02,Par-Imp,DKMA,02-12-2008,Ja,,
28105606315,Canesten,,vaginaltabletter og creme,500 mg + 10 mg/g,CLOTRIMAZOL,2care4 ApS,G01AF02,Par-Imp,DKMA,17-07-2015,Nej,,
28105446814,Canicaral Vet.,,tabletter,160 mg,Carprofen,Le Vet Beheer B.V.,QM01AE91,Decentral procedure,CMS,25-06-2015,Nej,,
28105446714,Canicaral Vet.,,tabletter,40 mg,Carprofen,Le Vet Beheer B.V.,QM01AE91,Decentral procedure,CMS,25-06-2015,Nej,,
28103951606,Canidryl,,tabletter,100 mg,Carprofen,Chanelle Pharmaceutical Man. Ltd,QM01AE91,MRP,CMS,08-01-2007,Ja,,
28103951406,Canidryl,,tabletter,20 mg,Carprofen,Chanelle Pharmaceutical Man. Ltd,QM01AE91,MRP,CMS,08-01-2007,Ja,,
28103951506,Canidryl,,tabletter,50 mg,Carprofen,Chanelle Pharmaceutical Man. Ltd,QM01AE91,MRP,CMS,08-01-2007,Ja,,
28105560015,Canigen L4,,"injektionsvæske, suspension",,"Leptospira interrogans serogruppe Australis serovar Bratislava (stamme As-05-073), Leptospira interrogans serogruppe Canicola serovar Portland-vere (stamme Ca-12-000), Leptospira interrogans serogruppe Grippotyphosa serovar Dadas (stamme Gr-01-005), Leptospira interrogans serogruppe Icterohaemorragiae serovar Copenhageni (stamme Ic-02-001)",Intervet International B.V.,QI07AB01,Central,MOD,03-07-2015,Nej,,
28104676710,CaniLeish,,"lyofilisat og solvens til injektionsvæske, suspension",100 mikrogram,Leishmania infantum sekreterede proteiner (ESP),Virbac S.A.,QI07AO01,Central,MOD,14-03-2011,Ja,,
