dosf_lt,frequency,dosf_lt_en,RXNorm ID,RXNorm term,Other options,Remarks
infus,1,infus,,,,
pasta/cement,1,pasta / cement,,,,
"tabletter til rektalvÌ_ske, suspension",1,tablets for rectal suspension,,,,
"lyofilisat og suspension til injektionsvÌ_ske, suspension",1,Lyophilisate and suspension for suspension for injection,,,,
pulver og solvens til oplÌüsning til intravesikal anvendelse,1,powder and solvent for solution for intravesical use,,,,
tyggegummi,1,chewing gum,,,,
"pulver og solvens til tandkÌüdsgel, fyldt injektionssprÌüjte",1,powder and solvent for tandkÌüdsgel prefilled syringe,,,,
intramammarier i engangssprÌüjter,1,intra mammary arteries in disposable syringes,,,,
vaselin,1,Petrolatum,,,,
peritonaeldialysevÌ_ske,1,peritonaeldialysevÌ_ske,,,,
pulver til ÌüjendrÌ´ber,1,powder for eye drops,,,,
"pulver til oplÌüsning til intravesikal anvendelse og til injektionsvÌ_ske, oplÌüsning",1,powder for solution for intravesical use and for injection,,,,
inhalationsvÌ_ske (endosisbeholder),1,inhalation (endosisbeholder),,,,
dentalindlÌ_g,1,dental posts,,,,
"suspension og emulsion til injektionsvÌ_ske, emulsion",1,suspension and emulsion for emulsion for injection,,,,
oplÌüsning til lokal anvendelse (tÌürstof),1,solution for topical use (dry matter),,,,
gazetamponer,1,gauze pads,,,,
"liniment, viskÌüs",1,"liniment, viscous",,,,
"lyofilisat og solvens til injektionsvÌ_ske, susp.",1,Lyophilisate and solvent for solution for injection susp.,,,,
ÌüjendrÌ´ber/Ìüjensalve,1,eye drops / eye ointment,,,,
"piller, overtrukne",1,"pills, coated",,,,
"lyofilisat og solvens, suspension til nasal administration",1,Lyophilisate and solvent for suspension for nasal administration,,,,
hÌ_modialyse-/hÌ_mofiltreringsvÌ_ske,1,hemodialysis / haemofiltration,,,,
"pour-on, suspension",1,"pour-on, suspension",,,,
tinktur,1,tincture,,,,
olie,1,oil,,,,
"Ìüjen- og ÌüredrÌ´ber, oplÌüsning",1,"eye and ear drops, solution",,,,
koncentrat til infusionsvÌ_ske,1,concentrate for solution for infusion,,,,
dentalpasta,1,dental paste,,,,
"gel, brev",1,"gel, letter",,,,
periodontalgel,1,periodontalgel,,,,
Ìüjen- og nÌ_sesalve,1,Eye and nose ointment,,,,
"injektionsvÌ_ske, oplÌüsning, til subkutan injektion",1,"solution for injection, for subcutaneous injection",,,,
katetercreme,1,catheter cream,,,,
badevand,1,bathing water,,,,
"infusionsvÌ_ske, oplÌüsning og oral oplÌüsning",1,infusion and oral solution,,,,
"injektionssubstans, intravenÌüs",1,"powder for injection, intravenous",,,,
"endocervikalgel, enkeltdosisbeholder",1,"endocervikalgel, single-dose container",,,,
pulver og solvens til oplÌüsning til nebulisator,1,powder and solvent for nebuliser solution,,,,
sprayoplÌüsning,1,spray solution,,,,
matrix til implantation,1,matrix for implantation,,,,
badeadditiv,1,bath additive,,,,
koncentrat til oplÌüsning til behandling af fisk,1,concentrate for solution for the treatment of fish,,,,
depotgranulat til oral suspension,1,prolonged-release granules for oral suspension,,,,
pulver til oplÌüsning til lokal anvendelse,1,powder for solution for local use,,,,
mundhulepasta,1,oral cavity pasta,,,,
pulver til anvendelse i drikkevand/mÌ_lk,1,powder for use in drinking water / milk,,,,
tabletter SR (Sustained Release),1,SR tablets (sustained release),,,,
pulver til inhalationsvÌ_ske,1,Powder for inhalation,,,,
tabletter IR (Immediate Release),1,IR tablets (Immediate Release),,,,
"oralt pulver, oplÌüseligt",1,"oral powder, soluble",,,,
injektions- og infusionskoncentrat,1,injection and infusion,,,,
oplÌüseligt pulver,1,soluble powder,,,,
"sÌ_be, medicinsk",1,"soap, medicinal",,,,
sterilt tÌürstof,1,sterile dry,,,,
"pulver og suspension til injektionsvÌ_ske, suspension i fyldt injektionssprÌüjte",1,powder and suspension for suspension for injection in pre-filled syringe,,,,
"koncentrat til badevand, suspension og injektionsvÌ_ske, suspension",1,"concentrate for bathing, suspension and suspension for injection",,,,
"lyofilisat til injektionsvÌ_ske, oplÌüsning",1,lyophilisate for solution for injection,,,,
"pulver og oplÌüsning til injektionsvÌ_ske, oplÌüsning",1,powder and solvent for solution for injection,,,,
stave,1,spell,,,,
lotion,1,lotion,,,,
fedtsalve,1,fat ointment,,,,
injektionsvÌ_ske til primÌ_r vaccination,1,injections for primary vaccination,,,,
"solvens til parenteral anvendelse/injektionsvÌ_ske, oplÌüsning",1,solvent for parenteral use / injection,,,,
koncentrat til liniment,1,concentrate for liniment,,,,
pulver til vaskbehandling,1,powder for washing treatment,,,,
"ÌüjendrÌ´ber, ukons.",1,"eye drops, ukons.",,,,
transdermalt system,1,transdermal system,,,,
salvekompres,1,salvekompres,,,,
radiofarmaceutisk prÌ_parationssÌ_t til infusion,1,radiopharmaceutical preparations for infusion,,,,
"orale drÌ´ber, emulsion",1,"oral drops, emulsion",,,,
oral suspension i brev,1,oral suspension in letter,,,,
tandproteselak,1,denture lacquer,,,,
pasta til rÌüntgenundersÌügelse,1,pasta radiography,,,,
"injektionsvÌ_ske, oplÌüsning, nÌ´lefri injektor",1,"injection, needle-free injector",,,,
"peritonealdialysevÌ_ske, oplÌüsning",1,peritoneal dialysis solution,,,,
"koncentrat og solvens til koncentrat til infusionsvÌ_ske, oplÌüsning",1,concentrate and solvent for concentrate for solution for infusion,,,,
